"Entry","Name","DTF","DTS","DTM"
175,"PI 298357 LSP AGL",137.666666666667,159,177.333333333333
176,"PI 298631 LSP AGL",148.666666666667,162,184
177,"PI 298644 LSP AGL",146,163.666666666667,183.666666666667
178,"PI 298645 AGL",132,150,178
179,"PI 298921 AGL",127.666666666667,148.333333333333,176
180,"PI 298922 LSP AGL",150,169.333333333333,182.333333333333
181,"PI 298923 LSP AGL",145,164,184
182,"PI 299116 LSP AGL",127.666666666667,151.666666666667,174.333333333333
183,"PI 299120 LSP AGL",125.333333333333,141,172.333333333333
184,"PI 299121 LSP AGL",121,135,173.666666666667
185,"PI 299126 LSP AGL",125.333333333333,141.666666666667,172.333333333333
186,"PI 299163 LSP AGL",145,162,182.333333333333
187,"PI 299164 LSP AGL",129.666666666667,152.666666666667,178
188,"PI 299165 AGL",134.666666666667,156.333333333333,182
189,"PI 299177 LSP AGL",134.666666666667,155,182
190,"PI 299237 LSP AGL",133.333333333333,151.666666666667,179
191,"PI 299289 AGL",132.666666666667,151.666666666667,173.333333333333
192,"PI 299312 AGL",141.333333333333,159.333333333333,178
193,"PI 299345 AGL",129.333333333333,151.666666666667,177.333333333333
194,"PI 299351 LSP AGL",143.666666666667,158.333333333333,182
195,"PI 299366 LSP AGL",124,137.666666666667,177.666666666667
196,"PI 299375 LSP AGL",137,154,179.333333333333
197,"PI 300250 LSP AGL",133.333333333333,154.333333333333,176.666666666667
198,"PI 302398 LSP AGL",121,145,175
199,"PI 308614 LSP AGL",133.333333333333,152.666666666667,173.333333333333
200,"PI 311107 LSP AGL",135,161.333333333333,184
201,"PI 312175 LSP AGL",137.666666666667,161,177.333333333333
202,"PI 320935 LSP AGL",134.333333333333,150.666666666667,181
203,"PI 320936 LSP AGL",118.333333333333,134,171.666666666667
204,"PI 320937 LSP AGL",132,158.666666666667,181
205,"CN 105866 AGL",145,162.666666666667,182.333333333333
206,"PI 320941 LSP AGL",148,167.333333333333,180.333333333333
207,"PI 320945 LSP AGL",144.666666666667,163.666666666667,180.666666666667
208,"PI 320946 LSP AGL",127.666666666667,148.666666666667,174.333333333333
209,"PI 320952 LSP AGL",137.333333333333,161.333333333333,184
210,"PI 320953 LSP AGL",144.666666666667,164.333333333333,183.666666666667
211,"PI 320954 LSP AGL",129.666666666667,148.666666666667,175
212,"PI 329157 LSP AGL",131.333333333333,156,177.333333333333
213,"PI 329167 LSP AGL",133.333333333333,153.666666666667,183.666666666667
214,"PI 339266 LSP AGL",134.666666666667,163.666666666667,177.666666666667
215,"PI 339283 LSP AGL",134.5,155.5,174.666666666667
216,"PI 339285 AGL",131.666666666667,151.666666666667,172.333333333333
217,"PI 339289 LSP AGL",146.333333333333,164,185
218,"PI 339292 LSP AGL",135.333333333333,158.666666666667,173.666666666667
219,"PI 339296 AGL",144.666666666667,159,183.666666666667
220,"PI 343026 LSP AGL",135,154,175
221,"PI 345627 LSP AGL",137.666666666667,156.333333333333,180.666666666667
222,"PI 358602 LSP AGL",137.333333333333,158.333333333333,182
223,"PI 368647 LSP AGL",138,159.333333333333,181
224,"PI 368651 LSP AGL",141.333333333333,159.333333333333,176.333333333333
225,"PI 370481 LSP AGL",134.333333333333,156,181
226,"PI 374116 LSP AGL",138.666666666667,152.666666666667,175
227,"PI 374117 LSP AGL",133.333333333333,152.333333333333,180.666666666667
228,"PI 374118 AGL",125.666666666667,142.666666666667,172.666666666667
