Expt,Lat,Lon,Start,End
Campus 2021,52.133629,-106.61682,2021-05-27,2021-09-08
Preston 2021,52.122358,-106.621066,2021-05-27,2021-09-08
Campus 2022,52.133629,-106.61682,2022-05-24,2022-08-31
Preston 2022,52.122358,-106.621066,2022-05-30,2022-08-31
