"env","LON","LAT","DOY","YYYYMMDD","daysFromStart","T2M","T2M_MAX","T2M_MIN","T2MDEW","ALLSKY_SFC_LW_DWN","ALLSKY_SFC_SW_DWN","ALLSKY_SFC_SW_DNI","ALLSKY_SFC_PAR_TOT","ALLSKY_SFC_UVA","ALLSKY_SFC_UVB","PRECTOT","EVPTRNS","QV2M","RH2M","GWETROOT","GWETTOP","FROST_DAYS","WS2M","P_ETP","VPD","N","RTA","n","TH1","TH2","PAR_TEMP","DayLength"
"Campus 2021",-106.61682,52.133629,147,2021-05-27,1,12.75,20.21,3.2,-0.17,24.43,29.68,39.37,12.95,1.65,0.03,0.07,2.51,3.96,44.17,0.41,0.4,0,6.48,-2.44,0.965404654242298,16.208,40.074,15.923,55.88654825,53.8888,1.0156862745098,16.2077078768386
"Campus 2021",-106.61682,52.133629,148,2021-05-28,2,15.1,21.72,9.72,4.06,29.16,21.79,20.85,9.61,1.3,0.03,2.25,2.52,5.42,50.42,0.41,0.42,0,6.03,-0.27,1.08539013784865,16.247,40.203,8.426,58.8582258,57.7616,0.636423841059603,16.2472272333603
"Campus 2021",-106.61682,52.133629,149,2021-05-29,3,14.19,19.54,9.23,4.3,26.68,25.7,27.81,11.15,1.46,0.03,0.13,2.21,5.46,53.99,0.41,0.4,0,5.55,-2.08,0.888647951344545,16.286,40.327,11.231,57.65789919,56.938,0.785764622973925,16.2855205642462
"Campus 2021",-106.61682,52.133629,150,2021-05-30,4,15.76,22.84,5.97,2.8,25.46,30.43,42.79,13.35,1.71,0.03,0,4.03,4.91,46.33,0.4,0.39,0,1.89,-4.03,1.11065256165655,16.323,40.446,17.269,59.66900192,57.968,0.847081218274112,16.3225546738898
"Campus 2021",-106.61682,52.133629,151,2021-05-31,5,18.16,24.51,12.26,7.25,28.38,21.21,10.48,9.37,1.24,0.02,1.32,2.66,6.74,50.73,0.39,0.39,0,3.62,-1.34,1.23241196925705,16.358,40.559,4.227,62.87565232,61.97,0.515969162995595,16.3582966827608
"Campus 2021",-106.61682,52.133629,152,2021-06-01,6,19.46,25.23,12.71,11.25,29.92,23.44,16.38,10.48,1.37,0.03,2.25,2.64,8.79,61.3,0.39,0.42,0,1.75,-0.39,1.00579347198597,16.393,40.667,6.603,65.1063902,64.71,0.538540596094553,16.3927141209096
"Campus 2021",-106.61682,52.133629,153,2021-06-02,7,22.25,28.8,15.1,13.67,31.24,25.22,24.59,11.42,1.48,0.03,0.9,3.84,10.4,59.68,0.39,0.41,0,2.76,-2.94,1.27325226459877,16.426,40.77,9.907,68.934272,68.3712,0.513258426966292,16.4257750242936
"Campus 2021",-106.61682,52.133629,154,2021-06-03,8,25.17,33.68,16.06,14.49,32.1,27.3,29.44,12.35,1.59,0.04,0.14,6.36,10.98,55.81,0.39,0.38,0,1.93,-6.22,1.87502735657363,16.457,40.868,11.855,72.61377323,71.5864,0.490663488279698,16.4574480334815
"Campus 2021",-106.61682,52.133629,155,2021-06-04,9,22.84,28.05,17.29,10.52,32,20.52,18.71,9.35,1.27,0.03,0.16,5.49,8.67,50.5,0.38,0.37,0,2.64,-5.33,1.61082325828271,16.488,40.96,7.532,68.997758,67.8272,0.409369527145359,16.4877024942458
"Campus 2021",-106.61682,52.133629,156,2021-06-05,10,20.67,26.74,13.49,9.66,30.92,20.21,11.25,9.16,1.24,0.03,0.6,3.83,8.02,50.83,0.38,0.36,0,3.14,-3.23,1.32858030298154,16.517,41.047,4.527,66.17550539,65.3476,0.443154329946783,16.5165085594968
"Campus 2021",-106.61682,52.133629,157,2021-06-06,11,15.63,19.29,10.34,7.16,29.16,17.22,9.8,7.8,1.07,0.02,0.63,1.82,6.73,58.83,0.37,0.37,0,4.21,-1.19,0.73390052154772,16.544,41.128,3.942,59.65078771,59.4076,0.499040307101727,16.5438372919704
"Campus 2021",-106.61682,52.133629,158,2021-06-07,12,16.98,22.3,12.04,3.65,28.09,24.6,26.36,10.71,1.41,0.03,0.6,3.35,5.34,44.88,0.37,0.37,0,3.92,-2.75,1.255981728233,16.57,41.204,10.601,61.18037776,59.494,0.630742049469965,16.5696607670331
"Campus 2021",-106.61682,52.133629,159,2021-06-08,13,16.54,23,10.09,7.6,30.06,17.23,7.25,7.78,1.08,0.02,3.12,2.44,6.93,57.94,0.37,0.38,0,1.84,0.68,0.978489356934584,16.594,41.275,2.915,60.89942324,60.476,0.47037484885127,16.5939521749331
"Campus 2021",-106.61682,52.133629,160,2021-06-09,14,19.05,23.53,13.37,11.43,33.18,14.7,9.1,6.64,0.93,0.02,1.84,3.06,8.83,63.63,0.38,0.41,0,3.81,-1.22,0.866850646601361,16.617,41.34,3.658,64.63170985,64.3648,0.348556430446194,16.6166859217908
"Campus 2021",-106.61682,52.133629,161,2021-06-10,15,19.02,25.69,14.04,13.25,33.3,11.29,3.55,5.32,0.74,0.02,19.66,2.44,10.1,71.59,0.39,0.49,0,4.36,17.22,0.929073207940243,16.638,41.4,1.427,64.94908382,64.99,0.279705573080967,16.637837728597
"Campus 2021",-106.61682,52.133629,162,2021-06-11,16,16.83,21.13,13.2,9.42,30.21,15.83,3.98,7.19,1,0.02,7.81,2.75,7.94,65.02,0.42,0.51,0,5.62,5.06,0.831134880302036,16.657,41.454,1.599,61.46787734,61.4212,0.427213309566251,16.6573847274715
"Campus 2021",-106.61682,52.133629,163,2021-06-12,17,17.55,23.7,10.09,6.99,27.67,24.02,20.04,10.65,1.42,0.03,0.01,4.31,6.59,52.53,0.41,0.41,0,2.46,-4.3,1.081791590062,16.675,41.502,8.052,62.13053485,61.2664,0.606837606837607,16.6753055544218
"Campus 2021",-106.61682,52.133629,164,2021-06-13,18,19.47,26.47,10.01,7.43,27.04,31.13,44.39,13.74,1.75,0.04,0,6.49,6.76,49.43,0.41,0.39,0,2,-6.49,1.31050797005476,16.692,41.545,17.835,64.52999079,63.3448,0.705701078582435,16.6915804378456
"Campus 2021",-106.61682,52.133629,165,2021-06-14,19,23.72,31.7,14.19,10.98,30.1,30.18,42.49,13.68,1.74,0.04,0.19,8.31,8.61,47.93,0.4,0.38,0,4.59,-8.12,1.83556119188698,16.706,41.583,17.07,69.91451604,68.8728,0.57672849915683,16.7061912820293
"Campus 2021",-106.61682,52.133629,166,2021-06-15,20,26.18,34.96,17.04,14.22,32.75,28.61,35.84,13.09,1.68,0.04,5.47,9.27,10.84,50.64,0.39,0.38,0,5.64,-3.8,2.15481288147019,16.719,41.615,14.399,73.38925648,72.4992,0.5,16.7191217449166
"Campus 2021",-106.61682,52.133629,167,2021-06-16,21,20.13,23.92,16.25,10.16,29.75,26.51,29.15,11.84,1.56,0.04,2.38,3.94,8.56,56.68,0.39,0.44,0,5.17,-1.56,1.16734365620892,16.73,41.641,11.712,65.79564716,64.9876,0.588176850471932,16.7303573094529
"Campus 2021",-106.61682,52.133629,168,2021-06-17,22,16.71,21.53,11.39,5.94,29.73,20.58,18.95,9.24,1.26,0.03,0.06,3.6,6.12,50.81,0.38,0.38,0,5.58,-3.54,1.0268671558796,16.74,41.662,7.614,60.97471749,60.0484,0.552962298025135,16.7398853478521
"Campus 2021",-106.61682,52.133629,169,2021-06-18,23,16.05,21.07,10.46,8.99,30.81,15.22,11.49,6.99,0.98,0.02,0.55,2.91,7.51,64.69,0.38,0.38,0,3.2,-2.36,0.734715879833097,16.748,41.677,4.617,60.32874755,60.4864,0.435514018691589,16.7476951781864
"Campus 2021",-106.61682,52.133629,170,2021-06-19,24,15.37,20.51,12.12,9.03,29.41,18.54,10.75,8.47,1.16,0.02,4.26,1.43,7.57,66.78,0.38,0.43,0,3,2.83,0.763000428115539,16.754,41.687,4.32,59.36160514,59.8208,0.551073519843852,16.7537781127612
"Campus 2021",-106.61682,52.133629,171,2021-06-20,25,13.81,19.03,9.02,4.21,26.98,25.67,25.77,11.14,1.47,0.03,0.21,2.83,5.48,56.12,0.38,0.39,0,3.83,-2.62,0.850172788208609,16.758,41.691,10.358,57.13361028,56.5256,0.806661839246923,16.7581274978073
"Campus 2021",-106.61682,52.133629,172,2021-06-21,26,17.18,24.02,7.81,5.9,27.13,28.15,30.11,12.37,1.59,0.03,0.03,4.01,6.26,48.92,0.38,0.37,0,2.21,-3.98,1.09454243786561,16.761,41.689,12.106,61.54065144,60.504,0.720023282887078,16.7607387441021
"Campus 2021",-106.61682,52.133629,173,2021-06-22,27,22.92,29.44,14.02,11.45,31.49,23.05,22.65,10.46,1.38,0.03,1.28,6,9.11,51.07,0.37,0.37,0,2.28,-4.72,1.50212329767107,16.762,41.682,9.108,69.15038156,68.242,0.456369982547993,16.7616093482186
"Campus 2021",-106.61682,52.133629,174,2021-06-23,28,19.8,23.78,14.26,11.17,30.66,22.61,21.24,10.09,1.36,0.03,4.97,4.01,8.92,60.69,0.38,0.43,0,4.41,0.96,0.957606342336698,16.761,41.669,8.544,65.5557838,65.0212,0.50959595959596,16.7607389041885
"Campus 2021",-106.61682,52.133629,175,2021-06-24,29,18.11,23.17,12.4,9.79,28.6,26.42,24.32,11.72,1.53,0.03,0.01,3.13,7.94,60.02,0.38,0.38,0,1.65,-3.12,0.92840257401974,16.758,41.651,9.785,63.14716578,62.8344,0.64715626725566,16.7581291054624
"Campus 2021",-106.61682,52.133629,176,2021-06-25,30,21.22,27.2,14.06,11.66,31.71,20.48,16.94,9.3,1.25,0.03,0.38,4.64,9.07,56.25,0.37,0.37,0,3.3,-4.26,1.23464659783519,16.754,41.627,6.818,67.2613375,66.6176,0.438265786993403,16.7537837371483
"Campus 2021",-106.61682,52.133629,177,2021-06-26,31,22.64,28.2,14.92,14.2,31.78,28.79,36.72,13.15,1.7,0.04,0.84,5.57,10.65,62.54,0.37,0.36,0,2.16,-4.73,1.14086864705564,16.748,41.597,14.784,69.71264544,68.952,0.58083038869258,16.7477086586018
"Campus 2021",-106.61682,52.133629,178,2021-06-27,32,22.16,26.86,17.17,13.17,30.43,28.93,37.71,13.08,1.68,0.04,0.66,4.71,9.99,59.26,0.36,0.37,0,2.92,-4.05,1.2328839242891,16.74,41.562,15.189,68.77611584,68.1012,0.590252707581227,16.7399117765431
"Campus 2021",-106.61682,52.133629,179,2021-06-28,33,23.48,30.09,15.28,10.48,30.29,30,41.61,13.6,1.73,0.04,0.02,7.05,8.27,46.23,0.36,0.35,0,1.49,-7.03,1.73259504962459,16.73,41.521,16.766,69.45416596,68.4528,0.579216354344123,16.7304030089632
"Campus 2021",-106.61682,52.133629,180,2021-06-29,34,25.47,32.55,16.33,11.99,31.01,29.88,40.02,13.43,1.7,0.04,0,7.69,9.21,45.22,0.35,0.33,0,1.02,-7.69,1.97906189329481,16.719,41.475,16.132,71.86659866,70.9864,0.527287004318806,16.7191942401736
"Campus 2021",-106.61682,52.133629,181,2021-06-30,35,27,33.86,19.41,12.71,32.27,28.86,36.46,13.05,1.65,0.04,0.34,7.17,9.62,43.39,0.35,0.33,0,2.3,-6.83,2.29641547730197,16.706,41.424,14.704,73.563377,72.7756,0.483333333333333,16.706299267434
"Campus 2021",-106.61682,52.133629,182,2021-07-01,36,27.97,35.63,19.1,11.85,31.3,30.08,41.35,13.45,1.71,0.04,0.8,6.9,9.11,39.48,0.34,0.32,0,4.31,-6.1,2.6274557547513,16.692,41.366,16.686,74.24219044,73.436,0.480872363246335,16.6917337396673
"Campus 2021",-106.61682,52.133629,183,2021-07-02,37,30.22,39.45,21.11,14.54,34.37,28.54,35.71,13.06,1.67,0.04,0.07,6.29,11.04,40.23,0.33,0.3,0,4.13,-6.22,3.17740055283118,16.676,41.304,14.417,77.06124094,76.6544,0.43216412971542,16.675515088838
"Campus 2021",-106.61682,52.133629,184,2021-07-03,38,25.5,30.94,19.41,13.28,33.45,22.83,18.35,10.4,1.36,0.03,0.63,3.53,10.58,51.15,0.33,0.31,0,4.08,-2.9,1.84026509563395,16.658,41.236,7.413,72.5533675,71.4808,0.407843137254902,16.6576624546253
"Campus 2021",-106.61682,52.133629,185,2021-07-04,39,21.83,25.99,16.89,10.79,31.8,21.7,18.83,9.89,1.3,0.03,0.09,2.67,8.5,50.19,0.33,0.31,0,3.44,-2.58,1.34731199859204,16.638,41.162,7.611,67.65204223,66.9144,0.453046266605589,16.6381966030716
"Campus 2021",-106.61682,52.133629,186,2021-07-05,40,19.71,25.71,13.94,9.28,32.64,18.65,14.83,8.39,1.15,0.03,1.02,2.67,7.64,53.85,0.33,0.32,0,2.94,-1.65,1.27831713119136,16.617,41.083,5.998,65.07224665,64.2508,0.425672247590056,16.61713983992
