"REF_DATE","GEO","DGUID","Trade","Basis","Seasonal adjustment","Principal trading partners","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000-05","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","32466.1","","","","1"
"2000-06","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","31887.4","","","","1"
"2000-07","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","26048.4","","","","1"
"2000-08","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","31254.7","","","","1"
"2000-09","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","30218.2","","","","1"
"2000-10","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","32458.3","","","","1"
"2000-11","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","32572.0","","","","1"
"2000-12","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","28005.9","","","","1"
"2001-01","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","29161.3","","","","1"
"2001-02","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","27668.5","","","","1"
"2001-03","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","32408.3","","","","1"
"2001-04","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","30533.4","","","","1"
"2001-05","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","31777.9","","","","1"
"2001-06","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","30862.9","","","","1"
"2001-07","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","25460.1","","","","1"
"2001-08","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","29978.4","","","","1"
"2001-09","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","27314.8","","","","1"
