Expt,Location,Year,Date,Time,LoggerID,Measurement,Unit,Value,DaysAfterPlanting
Ne17,"Bardiya, Nepal",2017,2017-12-24,7:11:24,Weather Station,Day Length,Hours,10.19,51
Ne17,"Bardiya, Nepal",2017,2017-12-25,7:12:00,Weather Station,Day Length,Hours,10.2,52
Ne17,"Bardiya, Nepal",2017,2017-12-26,7:12:00,Weather Station,Day Length,Hours,10.2,53
Ne17,"Bardiya, Nepal",2017,2017-12-27,7:12:36,Weather Station,Day Length,Hours,10.2,54
Ne17,"Bardiya, Nepal",2017,2017-12-28,7:13:12,Weather Station,Day Length,Hours,10.21,55
Ne17,"Bardiya, Nepal",2017,2017-12-29,7:13:12,Weather Station,Day Length,Hours,10.21,56
Ne17,"Bardiya, Nepal",2017,2017-12-30,7:13:48,Weather Station,Day Length,Hours,10.22,57
Ne17,"Bardiya, Nepal",2017,2017-12-31,7:13:48,Weather Station,Day Length,Hours,10.22,58
Ne17,"Bardiya, Nepal",2017,2018-01-01,7:14:24,Weather Station,Day Length,Hours,10.23,59
Ne17,"Bardiya, Nepal",2017,2018-01-02,7:14:24,Weather Station,Day Length,Hours,10.24,60
Ne17,"Bardiya, Nepal",2017,2018-01-03,7:14:24,Weather Station,Day Length,Hours,10.25,61
Ne17,"Bardiya, Nepal",2017,2018-01-04,7:15:00,Weather Station,Day Length,Hours,10.26,62
Ne17,"Bardiya, Nepal",2017,2018-01-05,7:15:00,Weather Station,Day Length,Hours,10.27,63
Ne17,"Bardiya, Nepal",2017,2018-01-06,7:15:00,Weather Station,Day Length,Hours,10.28,64
Ne17,"Bardiya, Nepal",2017,2018-01-07,7:15:00,Weather Station,Day Length,Hours,10.29,65
Ne17,"Bardiya, Nepal",2017,2018-01-08,7:15:00,Weather Station,Day Length,Hours,10.3,66
Ne17,"Bardiya, Nepal",2017,2018-01-09,7:15:36,Weather Station,Day Length,Hours,10.31,67
Ne17,"Bardiya, Nepal",2017,2018-01-10,7:15:36,Weather Station,Day Length,Hours,10.32,68
Ne17,"Bardiya, Nepal",2017,2018-01-11,7:15:36,Weather Station,Day Length,Hours,10.34,69
Ne17,"Bardiya, Nepal",2017,2018-01-12,7:15:36,Weather Station,Day Length,Hours,10.35,70
Ne17,"Bardiya, Nepal",2017,2018-01-13,7:15:00,Weather Station,Day Length,Hours,10.36,71
Ne17,"Bardiya, Nepal",2017,2018-01-14,7:15:00,Weather Station,Day Length,Hours,10.38,72
Ne17,"Bardiya, Nepal",2017,2018-01-15,7:15:00,Weather Station,Day Length,Hours,10.39,73
Ne17,"Bardiya, Nepal",2017,2018-01-16,7:15:00,Weather Station,Day Length,Hours,10.41,74
Ne17,"Bardiya, Nepal",2017,2018-01-17,7:15:00,Weather Station,Day Length,Hours,10.43,75
