Entry,Name,Expt,DTF,DTM
7,CDC Gold AGL,Su18,47,99.66666667
7,CDC Gold AGL,Us18,58.5,99
7,CDC Gold AGL,In16,86,NA
7,CDC Gold AGL,In17,73,NA
7,CDC Gold AGL,Ba16,104,NA
7,CDC Gold AGL,Ba17,86,NA
7,CDC Gold AGL,Ne16,125,147
7,CDC Gold AGL,Ne17,125.3333333,160.3333333
7,CDC Gold AGL,Sp16,118.3333333,152.6666667
7,CDC Gold AGL,Sp17,129.3333333,155.3333333
7,CDC Gold AGL,Mo16,129.6666667,164.3333333
7,CDC Gold AGL,Mo17,125.6666667,166.3333333
7,CDC Gold AGL,It16,139.6666667,184
7,CDC Gold AGL,It17,147.6666667,178.5
8,CDC Imax AGL,Ro16,46.66666667,98.33333333
8,CDC Imax AGL,Ro17,46.33333333,NA
8,CDC Imax AGL,Su16,53,97.33333333
8,CDC Imax AGL,Su17,53,90
8,CDC Imax AGL,Su18,46,93.5
8,CDC Imax AGL,Us18,57.33333333,88.33333333
8,CDC Imax AGL,In16,83,NA
8,CDC Imax AGL,In17,85,NA
8,CDC Imax AGL,Ba16,104,NA
8,CDC Imax AGL,Ba17,93,NA
8,CDC Imax AGL,Ne16,123.3333333,149
8,CDC Imax AGL,Ne17,128.6666667,161.6666667
8,CDC Imax AGL,Sp16,118.6666667,151.6666667
8,CDC Imax AGL,Sp17,126.6666667,151.6666667
8,CDC Imax AGL,Mo16,127.3333333,155.6666667
8,CDC Imax AGL,Mo17,120.6666667,166
8,CDC Imax AGL,It16,129.3333333,174.3333333
8,CDC Imax AGL,It17,138.6666667,172.3333333
9,CDC Impower AGL,Ro16,48.33333333,100.6666667
9,CDC Impower AGL,Ro17,48.66666667,82
9,CDC Impower AGL,Su16,54.33333333,102
9,CDC Impower AGL,Su17,57,NA
9,CDC Impower AGL,Su18,48.33333333,95
9,CDC Impower AGL,Us18,61,98
9,CDC Impower AGL,In16,86,NA
9,CDC Impower AGL,In17,70,NA
9,CDC Impower AGL,Ba16,84,NA
9,CDC Impower AGL,Ba17,87.66666667,NA
9,CDC Impower AGL,Ne16,118,143
9,CDC Impower AGL,Ne17,123.3333333,154
9,CDC Impower AGL,Sp16,116.6666667,153
9,CDC Impower AGL,Sp17,129.3333333,154
9,CDC Impower AGL,Mo16,128.3333333,163.6666667
9,CDC Impower AGL,Mo17,122.3333333,166
9,CDC Impower AGL,It16,134.6666667,182
9,CDC Impower AGL,It17,143.3333333,177
10,CDC KR-1 AGL,Ro16,50.33333333,98
10,CDC KR-1 AGL,Ro17,49.66666667,NA
10,CDC KR-1 AGL,Su16,55.66666667,104.3333333
10,CDC KR-1 AGL,Su17,57,86.5
10,CDC KR-1 AGL,Su18,49.66666667,94
10,CDC KR-1 AGL,Us18,67.33333333,98
10,CDC KR-1 AGL,In16,68.33333333,NA
10,CDC KR-1 AGL,In17,58.33333333,NA
10,CDC KR-1 AGL,Ba16,73,NA
10,CDC KR-1 AGL,Ba17,75,109.6666667
10,CDC KR-1 AGL,Ne16,120.6666667,NA
10,CDC KR-1 AGL,Ne17,121.6666667,154
10,CDC KR-1 AGL,Sp16,111.6666667,148.6666667
10,CDC KR-1 AGL,Sp17,125.3333333,154
10,CDC KR-1 AGL,Mo16,119,157
10,CDC KR-1 AGL,Mo17,117.3333333,165
10,CDC KR-1 AGL,It16,130.6666667,178
10,CDC KR-1 AGL,It17,134.6666667,172.3333333
11,CDC LeMay AGL,Ro16,49.66666667,96.33333333
11,CDC LeMay AGL,Ro17,48.66666667,NA
11,CDC LeMay AGL,Su16,53.66666667,101
11,CDC LeMay AGL,Su17,55.66666667,89.33333333
11,CDC LeMay AGL,Su18,48,89.33333333
11,CDC LeMay AGL,Us18,65.66666667,95.5
11,CDC LeMay AGL,In16,81,NA
11,CDC LeMay AGL,In17,76,NA
11,CDC LeMay AGL,Ba16,84.66666667,111
11,CDC LeMay AGL,Ba17,86,NA
11,CDC LeMay AGL,Ne16,117,NA
11,CDC LeMay AGL,Ne17,126.6666667,154.3333333
11,CDC LeMay AGL,Sp16,117,156
11,CDC LeMay AGL,Sp17,128.6666667,154
11,CDC LeMay AGL,Mo16,127.3333333,155
11,CDC LeMay AGL,Mo17,120,166.3333333
11,CDC LeMay AGL,It16,129.6666667,175
11,CDC LeMay AGL,It17,142,172.3333333
12,CDC Maxim AGL,Ro16,48.66666667,96.33333333
12,CDC Maxim AGL,Ro17,47,82
12,CDC Maxim AGL,Su16,50.66666667,100
12,CDC Maxim AGL,Su17,54.33333333,90
12,CDC Maxim AGL,Su18,47,88.66666667
12,CDC Maxim AGL,Us18,60.33333333,92.66666667
12,CDC Maxim AGL,In16,63,NA
12,CDC Maxim AGL,In17,75,NA
12,CDC Maxim AGL,Ba16,84,NA
12,CDC Maxim AGL,Ba17,89.33333333,NA
12,CDC Maxim AGL,Ne16,120,149
12,CDC Maxim AGL,Ne17,125.6666667,157.3333333
12,CDC Maxim AGL,Sp16,117,148.6666667
12,CDC Maxim AGL,Sp17,125.3333333,154
