Entry,Expt,MacroEnv,DTF,Predicted_DTF
35,It16,Macroenvironment 3,135,137.8786388
36,Ca16,Macroenvironment 1,54.66666667,51.15954815
36,Ne16,Macroenvironment 2,126,100.6223262
36,It16,Macroenvironment 3,133.3333333,132.245193
37,Ca16,Macroenvironment 1,51,50.73423535
37,Ne16,Macroenvironment 2,126,101.1809976
37,It16,Macroenvironment 3,144.6666667,141.1684014
38,Ca16,Macroenvironment 1,47,45.29532937
38,Ne16,Macroenvironment 2,99.66666667,73.45166276
38,It16,Macroenvironment 3,116.3333333,112.0210854
39,Ca16,Macroenvironment 1,55.33333333,51.98905308
39,Ne16,Macroenvironment 2,121,94.15933176
39,It16,Macroenvironment 3,136.6666667,141.0507411
40,Ca16,Macroenvironment 1,53.66666667,52.12309719
40,Ne16,Macroenvironment 2,112.3333333,88.30077949
40,It16,Macroenvironment 3,131,135.8986949
41,Ca16,Macroenvironment 1,56,54.89238957
41,Ne16,Macroenvironment 2,123.6666667,90.32192963
41,It16,Macroenvironment 3,140,150.0919462
42,Ca16,Macroenvironment 1,51.66666667,50.95891739
42,Ne16,Macroenvironment 2,102.6666667,79.2160157
42,It16,Macroenvironment 3,123,126.2231527
43,Ca16,Macroenvironment 1,45,43.93317327
43,Ne16,Macroenvironment 2,94,70.78790525
43,It16,Macroenvironment 3,116.3333333,111.6516668
44,Ca16,Macroenvironment 1,49.66666667,47.65315026
44,Ne16,Macroenvironment 2,111.3333333,92.23600247
44,It16,Macroenvironment 3,129.6666667,143.0126789
45,Ca16,Macroenvironment 1,46.33333333,45.78199386
45,Ne16,Macroenvironment 2,107,91.53422494
45,It16,Macroenvironment 3,121,122.5587535
46,Ca16,Macroenvironment 1,48,46.43717055
46,Ne16,Macroenvironment 2,124.6666667,88.89024845
46,It16,Macroenvironment 3,144.6666667,148.0152425
47,Ca16,Macroenvironment 1,45,45.68833412
47,Ne16,Macroenvironment 2,120.3333333,93.76532424
47,It16,Macroenvironment 3,147.3333333,148.9115637
48,Ca16,Macroenvironment 1,47.33333333,46.33646212
48,Ne16,Macroenvironment 2,122.3333333,89.12597918
48,It16,Macroenvironment 3,143,139.1328536
49,Ca16,Macroenvironment 1,45,44.32933121
49,Ne16,Macroenvironment 2,98.33333333,79.47553932
49,It16,Macroenvironment 3,120.6666667,115.9130114
50,Ca16,Macroenvironment 1,55,52.73778094
50,Ne16,Macroenvironment 2,144,97.78553886
