Name,Cotyledon_Color,DTF_Sask_2017,DTF_Nepal_2017
PI_207492_LSP_AGL,Red,54,121.7
PI_518731_LSP_AGL,Red,51,123
PI_209858_LSP_AGL,Yellow,59.7,139.7
PI_211052_LSP_AGL,Red,48.3,132.3
PI_212100_LSP_AGL,Red,50.5,124.7
PI_212610_LSP_AGL,Red,53.7,123.3
PI_217949_LSP_AGL,Red,45,115.3
PI_238758_LSP_AGL,Yellow,50.7,122.7
PI_244046_AGL,Red,41.7,91
PI_250156_LSP_AGL,Red,49,128
PI_250158_LSP_AGL,Red,44.3,98
PI_251248_LSP_AGL,Red,38,82.7
PI_273664_LSP_AGL,Red,51.7,137.3
PI_280686_AGL,Red,44.7,97
PI_283604_LSP_AGL,Yellow,54,131.3
PI_289066_AGL,Yellow,59.3,142
PI_289073_LSP_AGL,Yellow,54,123.3
PI_289079_LSP_AGL,Yellow,55.7,124
PI_290716_LSP_AGL,Red,52,123
PI_297285_LSP_AGL,Yellow,54,116
PI_297287_AGL,Yellow,52,122.3
PI_297754_LSP_AGL,Yellow,49.5,123
PI_297767_AGL,Yellow,54.5,130
PI_297772_LSP_AGL,Red,51,131.3
PI_297783_AGL,Red,42.3,104.3
PI_297787_LSP_AGL,Red,48.7,123.3
PI_298023_LSP_AGL,Yellow,46.7,121
PI_298121_LSP_AGL,,48,117.7
PI_298122_LSP_AGL,Yellow,54.3,122.7
PI_298357_LSP_AGL,Red,45.7,115.7
PI_298631_LSP_AGL,Yellow,58.3,130.3
PI_298644_LSP_AGL,Yellow,59.3,138
PI_298645_AGL,Yellow,54,122.7
PI_298921_AGL,Yellow,48.3,131.3
PI_298922_LSP_AGL,Red,52.3,133.3
PI_298923_LSP_AGL,Yellow,47,122.3
PI_299116_LSP_AGL,Yellow,47,119.7
PI_299120_LSP_AGL,Yellow,47.7,115.3
PI_299121_LSP_AGL,Yellow,46.3,111.7
PI_299126_LSP_AGL,,44.3,115.3
PI_299163_LSP_AGL,Yellow,51.5,136
PI_299164_LSP_AGL,Yellow,48,122.3
PI_299165_AGL,Yellow,49.7,130.7
PI_299177_LSP_AGL,Yellow,48.3,126.3
PI_299237_LSP_AGL,Red,48,121
PI_299289_AGL,Red,50,119.7
PI_299312_AGL,Yellow,55.7,124
PI_299345_AGL,Yellow,53,132.3
PI_299351_LSP_AGL,Red,49.7,123
PI_299366_LSP_AGL,Yellow,47.3,131.3
PI_299375_LSP_AGL,Yellow,50.3,130
PI_300250_LSP_AGL,Red,48,132
PI_302398_LSP_AGL,Yellow,45.3,120.7
PI_308614_LSP_AGL,Red,51.7,135.7
PI_311107_LSP_AGL,Yellow,53,136.7
PI_312175_LSP_AGL,Yellow,56,130
PI_320935_LSP_AGL,Red,45,125
PI_320936_LSP_AGL,Red,52.3,107.7
PI_320937_LSP_AGL,Yellow,59.3,121.7
CN_105866_AGL,,54.3,138
PI_320941_LSP_AGL,Yellow,50,136
PI_320945_LSP_AGL,Red,51.3,133
PI_320946_LSP_AGL,Yellow,48,125.3
PI_320952_LSP_AGL,Yellow,61.7,128.7
PI_320953_LSP_AGL,Red,59.3,137.3
PI_320954_LSP_AGL,Yellow,54.7,123.3
PI_329157_LSP_AGL,Yellow,46.7,121.7
PI_329167_LSP_AGL,Yellow,49,119
PI_339266_LSP_AGL,Yellow,43,120.7
PI_339283_LSP_AGL,Red,50,128.3
PI_339285_AGL,Red,48.7,143
PI_339289_LSP_AGL,Yellow,45,121
PI_339292_LSP_AGL,Red,46.3,118
PI_339296_AGL,Red,46.3,119
PI_343026_LSP_AGL,Red,47.7,118
PI_345627_LSP_AGL,Yellow,59,125.7
PI_358602_LSP_AGL,Red,53,125.3
PI_368647_LSP_AGL,Yellow,53,127.3
PI_368651_LSP_AGL,Red,53,126
PI_370481_LSP_AGL,Yellow,53.3,138
PI_374116_LSP_AGL,Yellow,54.3,120.7
PI_374117_LSP_AGL,Yellow,48,124
PI_374118_AGL,Red,47.7,122.7
PI_374120_LSP_AGL,,56.7,121.3
PI_374121_AGL,Yellow,50.7,121.7
PI_379368_LSP_AGL,Yellow,50,122.7
PI_383682_LSP_AGL,Red,48.3,122
PI_420818_AGL,Yellow,51.7,130.7
PI_420924_LSP_AGL,Yellow,47.7,124.3
PI_420925_LSP_AGL,Red,48,124.7
PI_420929_LSP_AGL,Red,50.3,127
PI_426202_LSP_AGL,Red,48,128.7
PI_426778_LSP_AGL,Yellow,49.3,121.3
PI_426784_LSP_AGL,Red,46.3,102
PI_426797_LSP_AGL,Red,44.3,102.3
PI_426807_LSP_AGL,Red,45.7,124.3
PI_431618_LSP_AGL,Yellow,49,120.7
PI_431622_LSP_AGL,Yellow,52,125.7
PI_431630_LSP_AGL,Red,48.7,136.3
PI_431633_LSP_AGL,Yellow,47.3,117
PI_431636_LSP_AGL,Yellow,47.3,123.7
PI_431643_LSP_AGL,Yellow,45.3,121.7
PI_431662_LSP_AGL,Red,50,122.7
PI_431663_LSP_AGL,Yellow,48,126
PI_431679_LSP_AGL,Red,53,125.3
PI_431684_LSP_AGL,Red,49,127.3
PI_431705_LSP_AGL,Yellow,48,116.3
PI_431710_LSP_AGL,Yellow,50.3,119
PI_431714_LSP_AGL,Yellow,51,120.7
PI_431717_LSP_AGL,Yellow,50.3,126.7
PI_431728_LSP_AGL,Yellow,50.3,119
PI_431731_LSP_AGL,Yellow,50,121.7
PI_431739_LSP_AGL,Yellow,47.7,116.7
PI_431753_LSP_AGL,Yellow,48,119.7
PI_431756_LSP_AGL,Yellow,49.3,123
PI_431809_LSP_AGL,Yellow,47.5,133.3
PI_431824_LSP_AGL,Yellow,45.3,122.3
PI_431863_LSP_AGL,Yellow,50.7,125
PI_431873_LSP_AGL,Red,48.7,131.3
PI_431884_LSP_AGL,Yellow,45.7,122.7
PI_431888_LSP_AGL,Yellow,49.3,128.7
PI_431923_LSP_AGL,Red,52.7,136.7
PI_431980_LSP_AGL,Yellow,46.7,120
PI_432000_LSP_AGL,Red,47,132.3
PI_432001_LSP_AGL,Yellow,47,123.7
PI_432002_LSP_AGL,Red,49.7,135
PI_432005_LSP_AGL,Yellow,47.7,122.3
PI_432028_LSP_AGL,Yellow,50.7,124.7
PI_432033_LSP_AGL,Yellow,50.7,124
PI_432085_LSP_AGL,Yellow,46,120.7
PI_432106_LSP_AGL,Yellow,48.7,123.3
PI_432124_LSP_AGL,Red,47.7,122
PI_432145_LSP_AGL,Yellow,53.3,122.7
PI_432147_LSP_AGL,Yellow,49.3,125.7
PI_432184_LSP_AGL,Yellow,46,116.3
PI_432188_LSP_AGL,Yellow,46.3,116.7
PI_432190_LSP_AGL,Yellow,54,121.7
PI_432201_LSP_AGL,Red,52,119.7
PI_432212_LSP_AGL,Red,48.3,122.3
PI_432236_LSP_AGL,Red,49.3,122
PI_432245_LSP_AGL,Yellow,44.7,116
PI_432271_LSP_AGL,Red,55.3,122.7
PI_432286_LSP_AGL,Red,52.7,135
PI_451763_LSP_AGL,Yellow,46,119.7
PI_458503_LSP_AGL,Yellow,49,120.7
PI_468900_LSP_AGL,Yellow,51.7,122.7
PI_468901_AGL,Red,60.3,128.3
PI_468902_LSP_AGL,,47.7,118.3
PI_472136_LSP_AGL,Red,43.3,98.7
PI_472205_LSP_AGL,Red,44.3,90
PI_472213_LSP_AGL,Red,47.3,123
PI_472327_LSP_AGL,Red,44,100
PI_472380_LSP_AGL,Red,44,98.3
PI_472416_LSP_AGL,Red,46,108.3
PI_472488_LSP_AGL,Red,44.3,104.3
PI_472559_LSP_AGL,Red,43.3,102.7
PI_472561_LSP_AGL,Red,45.7,102.7
PI_472569_LSP_AGL,Red,43.5,105
PI_472588_LSP_AGL,Yellow,49.7,124
PI_472590_LSP_AGL,Yellow,48,123
PI_472615_LSP_AGL,Yellow,45.7,119
PI_472629_LSP_AGL,Yellow,46.3,118
PI_477921_LSP_AGL,,47.3,121
PI_490288_LSP_AGL,Yellow,54.7,123.3
PI_490289_LSP_AGL,Yellow,48.3,121.3
PI_508090_AGL,Yellow,46.3,120.7
PI_518733_LSP_AGL,Red,59.3,121.7
PI_518734_LSP_AGL,Red,60.3,123
PI_533688_LSP_AGL,Yellow,53.3,139
PI_533693_LSP_AGL,Yellow,54.7,123.3
PI_612875_AGL,Red,45,116.7
PI_643451_AGL,Red,46,108.3
PI_643452_AGL,Red,44,108.7
Shasta_AGL,Yellow,50,119.5
W6_27754_LSP_AGL,Yellow,58,126.7
W6_27760_LSP_AGL,Red,53.3,113.7
W6_27763_LSP_AGL,Red,46.3,125.3
W6_27766_LSP_AGL,Red,47,106.3
W6_27767_LSP_AGL,Red,49.3,129.3
