"REF_DATE","GEO","DGUID","Components of population growth","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1985/1986","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","88657","","","","0"
"1986/1987","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","130880","","","","0"
"1987/1988","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","152211","","","","0"
"1988/1989","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","177632","","","","0"
"1989/1990","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","203357","","","","0"
"1990/1991","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","221382","","","","0"
"1991/1992","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","244281","","","","0"
"1992/1993","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","266890","","","","0"
"1993/1994","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","235360","","","","0"
"1994/1995","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","220738","","","","0"
"1995/1996","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","217478","","","","0"
"1996/1997","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","224857","","","","0"
"1997/1998","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","194459","","","","0"
"1998/1999","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","173194","","","","0"
"1999/2000","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","205710","","","","0"
"2000/2001","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","252527","","","","0"
"2001/2002","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","256405","","","","0"
"2002/2003","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","199170","","","","0"
"2003/2004","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","239101","","","","0"
"2004/2005","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","244599","","","","0"
"2005/2006","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","254381","","","","0"
"2006/2007","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","238127","","","","0"
"2007/2008","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","249632","","","","0"
"2008/2009","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","245313","","","","0"
"2009/2010","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","270635","","","","0"
"2010/2011","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","259143","","","","0"
"2011/2012","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","260043","","","","0"
"2012/2013","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","263115","","","","0"
"2013/2014","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","267936","","","","0"
"2014/2015","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","240775","","","","0"
"2015/2016","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","323188","","","","0"
"2016/2017","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","272694","","","","0"
"2017/2018","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","303369","","","","0"
"2018/2019","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","313603","","","","0"
"2019/2020","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","284153","","","","0"
"2020/2021","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","226314","","","","0"
"2021/2022","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","493236","","","","0"
"2022/2023","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","468913","","","","0"
"2023/2024","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","464265","","","","0"
"1971/1972","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","26577","","","","0"
"1972/1973","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","27733","","","","0"
"1973/1974","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","46754","","","","0"
"1974/1975","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","40502","","","","0"
"1975/1976","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","30315","","","","0"
"1976/1977","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","25057","","","","0"
"1977/1978","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","31437","","","","0"
"1978/1979","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","30857","","","","0"
"1979/1980","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","20521","","","","0"
"1980/1981","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","17819","","","","0"
"1981/1982","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","29110","","","","0"
"1982/1983","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","31121","","","","0"
"1983/1984","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","31750","","","","0"
"1984/1985","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","28134","","","","0"
