"REF_DATE","GEO","DGUID","Non-permanent resident types","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-07","Canada","2021A000011124","Asylum claimants, protected persons and related groups with work permit only","Persons","249","units","0","v1566927592","1.3","252385","","","","0"
"2024-10","Canada","2021A000011124","Asylum claimants, protected persons and related groups with work permit only","Persons","249","units","0","v1566927592","1.3","282601","","","","0"
"2025-01","Canada","2021A000011124","Asylum claimants, protected persons and related groups with work permit only","Persons","249","units","0","v1566927592","1.3","299808","","","","0"
"2021-07","Canada","2021A000011124","Asylum claimants, protected persons and related groups with study permit only","Persons","249","units","0","v1566927593","1.4","1484","","","","0"
"2021-10","Canada","2021A000011124","Asylum claimants, protected persons and related groups with study permit only","Persons","249","units","0","v1566927593","1.4","1240","","","","0"
"2022-01","Canada","2021A000011124","Asylum claimants, protected persons and related groups with study permit only","Persons","249","units","0","v1566927593","1.4","1362","","","","0"
"2022-04","Canada","2021A000011124","Asylum claimants, protected persons and related groups with study permit only","Persons","249","units","0","v1566927593","1.4","1799","","","","0"
"2022-07","Canada","2021A000011124","Asylum claimants, protected persons and related groups with study permit only","Persons","249","units","0","v1566927593","1.4","1635","","","","0"
"2022-10","Canada","2021A000011124","Asylum claimants, protected persons and related groups with study permit only","Persons","249","units","0","v1566927593","1.4","1231","","","","0"
"2023-01","Canada","2021A000011124","Asylum claimants, protected persons and related groups with study permit only","Persons","249","units","0","v1566927593","1.4","1398","","","","0"
"2023-04","Canada","2021A000011124","Asylum claimants, protected persons and related groups with study permit only","Persons","249","units","0","v1566927593","1.4","1613","","","","0"
"2023-07","Canada","2021A000011124","Asylum claimants, protected persons and related groups with study permit only","Persons","249","units","0","v1566927593","1.4","1627","","","","0"
"2023-10","Canada","2021A000011124","Asylum claimants, protected persons and related groups with study permit only","Persons","249","units","0","v1566927593","1.4","2000","","","","0"
"2024-01","Canada","2021A000011124","Asylum claimants, protected persons and related groups with study permit only","Persons","249","units","0","v1566927593","1.4","2860","","","","0"
"2024-04","Canada","2021A000011124","Asylum claimants, protected persons and related groups with study permit only","Persons","249","units","0","v1566927593","1.4","3442","","","","0"
"2024-07","Canada","2021A000011124","Asylum claimants, protected persons and related groups with study permit only","Persons","249","units","0","v1566927593","1.4","2811","","","","0"
"2024-10","Canada","2021A000011124","Asylum claimants, protected persons and related groups with study permit only","Persons","249","units","0","v1566927593","1.4","2372","","","","0"
"2025-01","Canada","2021A000011124","Asylum claimants, protected persons and related groups with study permit only","Persons","249","units","0","v1566927593","1.4","2485","","","","0"
"2021-07","Canada","2021A000011124","Asylum claimants, protected persons and related groups with work and study permits","Persons","249","units","0","v1566927594","1.5","4096","","","","0"
"2021-10","Canada","2021A000011124","Asylum claimants, protected persons and related groups with work and study permits","Persons","249","units","0","v1566927594","1.5","3416","","","","0"
"2022-01","Canada","2021A000011124","Asylum claimants, protected persons and related groups with work and study permits","Persons","249","units","0","v1566927594","1.5","3209","","","","0"
"2022-04","Canada","2021A000011124","Asylum claimants, protected persons and related groups with work and study permits","Persons","249","units","0","v1566927594","1.5","3017","","","","0"
"2022-07","Canada","2021A000011124","Asylum claimants, protected persons and related groups with work and study permits","Persons","249","units","0","v1566927594","1.5","3492","","","","0"
"2022-10","Canada","2021A000011124","Asylum claimants, protected persons and related groups with work and study permits","Persons","249","units","0","v1566927594","1.5","3766","","","","0"
"2023-01","Canada","2021A000011124","Asylum claimants, protected persons and related groups with work and study permits","Persons","249","units","0","v1566927594","1.5","4475","","","","0"
"2023-04","Canada","2021A000011124","Asylum claimants, protected persons and related groups with work and study permits","Persons","249","units","0","v1566927594","1.5","5421","","","","0"
"2023-07","Canada","2021A000011124","Asylum claimants, protected persons and related groups with work and study permits","Persons","249","units","0","v1566927594","1.5","6715","","","","0"
"2023-10","Canada","2021A000011124","Asylum claimants, protected persons and related groups with work and study permits","Persons","249","units","0","v1566927594","1.5","7635","","","","0"
"2024-01","Canada","2021A000011124","Asylum claimants, protected persons and related groups with work and study permits","Persons","249","units","0","v1566927594","1.5","9223","","","","0"
"2024-04","Canada","2021A000011124","Asylum claimants, protected persons and related groups with work and study permits","Persons","249","units","0","v1566927594","1.5","11969","","","","0"
"2024-07","Canada","2021A000011124","Asylum claimants, protected persons and related groups with work and study permits","Persons","249","units","0","v1566927594","1.5","15380","","","","0"
"2024-10","Canada","2021A000011124","Asylum claimants, protected persons and related groups with work and study permits","Persons","249","units","0","v1566927594","1.5","16885","","","","0"
"2025-01","Canada","2021A000011124","Asylum claimants, protected persons and related groups with work and study permits","Persons","249","units","0","v1566927594","1.5","19977","","","","0"
"2021-07","Canada","2021A000011124","Asylum claimants, protected persons and related groups without work or study permits","Persons","249","units","0","v1566927595","1.6","68261","","","","0"
"2021-10","Canada","2021A000011124","Asylum claimants, protected persons and related groups without work or study permits","Persons","249","units","0","v1566927595","1.6","68954","","","","0"
"2022-01","Canada","2021A000011124","Asylum claimants, protected persons and related groups without work or study permits","Persons","249","units","0","v1566927595","1.6","82184","","","","0"
"2022-04","Canada","2021A000011124","Asylum claimants, protected persons and related groups without work or study permits","Persons","249","units","0","v1566927595","1.6","95212","","","","0"
"2022-07","Canada","2021A000011124","Asylum claimants, protected persons and related groups without work or study permits","Persons","249","units","0","v1566927595","1.6","98291","","","","0"
"2022-10","Canada","2021A000011124","Asylum claimants, protected persons and related groups without work or study permits","Persons","249","units","0","v1566927595","1.6","98926","","","","0"
"2023-01","Canada","2021A000011124","Asylum claimants, protected persons and related groups without work or study permits","Persons","249","units","0","v1566927595","1.6","105375","","","","0"
"2023-04","Canada","2021A000011124","Asylum claimants, protected persons and related groups without work or study permits","Persons","249","units","0","v1566927595","1.6","108414","","","","0"
"2023-07","Canada","2021A000011124","Asylum claimants, protected persons and related groups without work or study permits","Persons","249","units","0","v1566927595","1.6","106627","","","","0"
"2023-10","Canada","2021A000011124","Asylum claimants, protected persons and related groups without work or study permits","Persons","249","units","0","v1566927595","1.6","113992","","","","0"
"2024-01","Canada","2021A000011124","Asylum claimants, protected persons and related groups without work or study permits","Persons","249","units","0","v1566927595","1.6","127928","","","","0"
"2024-04","Canada","2021A000011124","Asylum claimants, protected persons and related groups without work or study permits","Persons","249","units","0","v1566927595","1.6","129313","","","","0"
"2024-07","Canada","2021A000011124","Asylum claimants, protected persons and related groups without work or study permits","Persons","249","units","0","v1566927595","1.6","128639","","","","0"
"2024-10","Canada","2021A000011124","Asylum claimants, protected persons and related groups without work or study permits","Persons","249","units","0","v1566927595","1.6","129653","","","","0"
"2025-01","Canada","2021A000011124","Asylum claimants, protected persons and related groups without work or study permits","Persons","249","units","0","v1566927595","1.6","135015","","","","0"
"2021-07","Canada","2021A000011124","Total, permit holders and their family members","Persons","249","units","0","v1566927596","1.7","1137376","","","","0"
"2021-10","Canada","2021A000011124","Total, permit holders and their family members","Persons","249","units","0","v1566927596","1.7","1210292","","","","0"
"2022-01","Canada","2021A000011124","Total, permit holders and their family members","Persons","249","units","0","v1566927596","1.7","1196370","","","","0"
"2022-04","Canada","2021A000011124","Total, permit holders and their family members","Persons","249","units","0","v1566927596","1.7","1212860","","","","0"
"2022-07","Canada","2021A000011124","Total, permit holders and their family members","Persons","249","units","0","v1566927596","1.7","1335674","","","","0"
"2022-10","Canada","2021A000011124","Total, permit holders and their family members","Persons","249","units","0","v1566927596","1.7","1534963","","","","0"
"2023-01","Canada","2021A000011124","Total, permit holders and their family members","Persons","249","units","0","v1566927596","1.7","1690127","","","","0"
"2023-04","Canada","2021A000011124","Total, permit holders and their family members","Persons","249","units","0","v1566927596","1.7","1767879","","","","0"
"2023-07","Canada","2021A000011124","Total, permit holders and their family members","Persons","249","units","0","v1566927596","1.7","1969575","","","","0"
"2023-10","Canada","2021A000011124","Total, permit holders and their family members","Persons","249","units","0","v1566927596","1.7","2256909","","","","0"
"2024-01","Canada","2021A000011124","Total, permit holders and their family members","Persons","249","units","0","v1566927596","1.7","2401165","","","","0"
"2024-04","Canada","2021A000011124","Total, permit holders and their family members","Persons","249","units","0","v1566927596","1.7","2520594","","","","0"
"2024-07","Canada","2021A000011124","Total, permit holders and their family members","Persons","249","units","0","v1566927596","1.7","2602875","","","","0"
"2024-10","Canada","2021A000011124","Total, permit holders and their family members","Persons","249","units","0","v1566927596","1.7","2617766","","","","0"
"2025-01","Canada","2021A000011124","Total, permit holders and their family members","Persons","249","units","0","v1566927596","1.7","2563651","","","","0"
"2021-07","Canada","2021A000011124","Work permit holders only","Persons","249","units","0","v1566927597","1.8","558381","","","","0"
"2021-10","Canada","2021A000011124","Work permit holders only","Persons","249","units","0","v1566927597","1.8","567506","","","","0"
"2022-01","Canada","2021A000011124","Work permit holders only","Persons","249","units","0","v1566927597","1.8","524224","","","","0"
"2022-04","Canada","2021A000011124","Work permit holders only","Persons","249","units","0","v1566927597","1.8","526694","","","","0"
"2022-07","Canada","2021A000011124","Work permit holders only","Persons","249","units","0","v1566927597","1.8","601682","","","","0"
"2022-10","Canada","2021A000011124","Work permit holders only","Persons","249","units","0","v1566927597","1.8","704489","","","","0"
"2023-01","Canada","2021A000011124","Work permit holders only","Persons","249","units","0","v1566927597","1.8","795294","","","","0"
"2023-04","Canada","2021A000011124","Work permit holders only","Persons","249","units","0","v1566927597","1.8","872148","","","","0"
"2023-07","Canada","2021A000011124","Work permit holders only","Persons","249","units","0","v1566927597","1.8","1007306","","","","0"
"2023-10","Canada","2021A000011124","Work permit holders only","Persons","249","units","0","v1566927597","1.8","1169921","","","","0"
"2024-01","Canada","2021A000011124","Work permit holders only","Persons","249","units","0","v1566927597","1.8","1249859","","","","0"
"2024-04","Canada","2021A000011124","Work permit holders only","Persons","249","units","0","v1566927597","1.8","1344092","","","","0"
"2024-07","Canada","2021A000011124","Work permit holders only","Persons","249","units","0","v1566927597","1.8","1400843","","","","0"
"2024-10","Canada","2021A000011124","Work permit holders only","Persons","249","units","0","v1566927597","1.8","1462893","","","","0"
"2025-01","Canada","2021A000011124","Work permit holders only","Persons","249","units","0","v1566927597","1.8","1458595","","","","0"
"2021-07","Canada","2021A000011124","Study permit holders only","Persons","249","units","0","v1566927598","1.9","364647","","","","0"
"2021-10","Canada","2021A000011124","Study permit holders only","Persons","249","units","0","v1566927598","1.9","426084","","","","0"
"2022-01","Canada","2021A000011124","Study permit holders only","Persons","249","units","0","v1566927598","1.9","454666","","","","0"
"2022-04","Canada","2021A000011124","Study permit holders only","Persons","249","units","0","v1566927598","1.9","456924","","","","0"
"2022-07","Canada","2021A000011124","Study permit holders only","Persons","249","units","0","v1566927598","1.9","479656","","","","0"
"2022-10","Canada","2021A000011124","Study permit holders only","Persons","249","units","0","v1566927598","1.9","541761","","","","0"
"2023-01","Canada","2021A000011124","Study permit holders only","Persons","249","units","0","v1566927598","1.9","582055","","","","0"
"2023-04","Canada","2021A000011124","Study permit holders only","Persons","249","units","0","v1566927598","1.9","562827","","","","0"
"2023-07","Canada","2021A000011124","Study permit holders only","Persons","249","units","0","v1566927598","1.9","585688","","","","0"
"2023-10","Canada","2021A000011124","Study permit holders only","Persons","249","units","0","v1566927598","1.9","667117","","","","0"
"2024-01","Canada","2021A000011124","Study permit holders only","Persons","249","units","0","v1566927598","1.9","689108","","","","0"
"2024-04","Canada","2021A000011124","Study permit holders only","Persons","249","units","0","v1566927598","1.9","667093","","","","0"
"2024-07","Canada","2021A000011124","Study permit holders only","Persons","249","units","0","v1566927598","1.9","661611","","","","0"
"2024-10","Canada","2021A000011124","Study permit holders only","Persons","249","units","0","v1566927598","1.9","643879","","","","0"
"2025-01","Canada","2021A000011124","Study permit holders only","Persons","249","units","0","v1566927598","1.9","611236","","","","0"
"2021-07","Canada","2021A000011124","Work and study permit holders","Persons","249","units","0","v1566927599","1.10","165625","","","","0"
"2021-10","Canada","2021A000011124","Work and study permit holders","Persons","249","units","0","v1566927599","1.10","164848","","","","0"
"2022-01","Canada","2021A000011124","Work and study permit holders","Persons","249","units","0","v1566927599","1.10","167073","","","","0"
"2022-04","Canada","2021A000011124","Work and study permit holders","Persons","249","units","0","v1566927599","1.10","173496","","","","0"
"2022-07","Canada","2021A000011124","Work and study permit holders","Persons","249","units","0","v1566927599","1.10","190444","","","","0"
"2022-10","Canada","2021A000011124","Work and study permit holders","Persons","249","units","0","v1566927599","1.10","215077","","","","0"
"2023-01","Canada","2021A000011124","Work and study permit holders","Persons","249","units","0","v1566927599","1.10","230114","","","","0"
"2023-04","Canada","2021A000011124","Work and study permit holders","Persons","249","units","0","v1566927599","1.10","241365","","","","0"
"2023-07","Canada","2021A000011124","Work and study permit holders","Persons","249","units","0","v1566927599","1.10","273551","","","","0"
"2023-10","Canada","2021A000011124","Work and study permit holders","Persons","249","units","0","v1566927599","1.10","302348","","","","0"
"2024-01","Canada","2021A000011124","Work and study permit holders","Persons","249","units","0","v1566927599","1.10","325617","","","","0"
"2024-04","Canada","2021A000011124","Work and study permit holders","Persons","249","units","0","v1566927599","1.10","350003","","","","0"
"2024-07","Canada","2021A000011124","Work and study permit holders","Persons","249","units","0","v1566927599","1.10","375923","","","","0"
"2024-10","Canada","2021A000011124","Work and study permit holders","Persons","249","units","0","v1566927599","1.10","347268","","","","0"
"2025-01","Canada","2021A000011124","Work and study permit holders","Persons","249","units","0","v1566927599","1.10","333131","","","","0"
"2021-07","Canada","2021A000011124","Other","Persons","249","units","0","v1566927600","1.11","48723","","","","0"
"2021-10","Canada","2021A000011124","Other","Persons","249","units","0","v1566927600","1.11","51854","","","","0"
"2022-01","Canada","2021A000011124","Other","Persons","249","units","0","v1566927600","1.11","50407","","","","0"
"2022-04","Canada","2021A000011124","Other","Persons","249","units","0","v1566927600","1.11","55746","","","","0"
"2022-07","Canada","2021A000011124","Other","Persons","249","units","0","v1566927600","1.11","63892","","","","0"
"2022-10","Canada","2021A000011124","Other","Persons","249","units","0","v1566927600","1.11","73636","","","","0"
"2023-01","Canada","2021A000011124","Other","Persons","249","units","0","v1566927600","1.11","82664","","","","0"
"2023-04","Canada","2021A000011124","Other","Persons","249","units","0","v1566927600","1.11","91539","","","","0"
"2023-07","Canada","2021A000011124","Other","Persons","249","units","0","v1566927600","1.11","103030","","","","0"
"2023-10","Canada","2021A000011124","Other","Persons","249","units","0","v1566927600","1.11","117523","","","","0"
"2024-01","Canada","2021A000011124","Other","Persons","249","units","0","v1566927600","1.11","136581","","","","0"
"2024-04","Canada","2021A000011124","Other","Persons","249","units","0","v1566927600","1.11","159406","","","","0"
"2024-07","Canada","2021A000011124","Other","Persons","249","units","0","v1566927600","1.11","164498","","","","0"
