"REF_DATE","GEO","DGUID","Components of population growth","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1946-01","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","12738","","","","0"
"1946-04","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","21176","","","","0"
"1946-07","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","25078","","","","0"
"1946-10","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","12727","","","","0"
"1947-01","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","8009","","","","0"
"1947-04","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","13404","","","","0"
"1947-07","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","18624","","","","0"
"1947-10","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","24090","","","","0"
"1948-01","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","23076","","","","0"
"1948-04","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","34199","","","","0"
"1948-07","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","33932","","","","0"
"1948-10","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","34207","","","","0"
"1949-01","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","23265","","","","0"
"1949-04","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","30243","","","","0"
"1949-07","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","22641","","","","0"
"1949-10","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","19068","","","","0"
"1950-01","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","14470","","","","0"
"1950-04","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","22816","","","","0"
"1950-07","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","16964","","","","0"
"1950-10","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","19662","","","","0"
"1951-01","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","25914","","","","0"
"1951-04","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","53871","","","","0"
"1951-07","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","50100","","","","0"
"1951-10","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","64506","","","","0"
"1952-01","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","42743","","","","0"
"1952-04","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","55314","","","","0"
"1952-07","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","37239","","","","0"
"1952-10","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","29202","","","","0"
"1953-01","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","22937","","","","0"
"1953-04","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","55399","","","","0"
"1953-07","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","46762","","","","0"
"1953-10","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","43770","","","","0"
"1954-01","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","28223","","","","0"
"1954-04","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","57542","","","","0"
"1954-07","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","41088","","","","0"
"1954-10","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","27374","","","","0"
"1955-01","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","17627","","","","0"
"1955-04","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","40790","","","","0"
"1955-07","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","28190","","","","0"
"1955-10","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","23339","","","","0"
"1956-01","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","18963","","","","0"
"1956-04","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","50961","","","","0"
"1956-07","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","40085","","","","0"
"1956-10","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","54848","","","","0"
"1957-01","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","62460","","","","0"
"1957-04","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","119956","","","","0"
"1957-07","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","61850","","","","0"
"1957-10","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","37898","","","","0"
"1958-01","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","21243","","","","0"
"1958-04","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","46501","","","","0"
"1958-07","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","32387","","","","0"
