"REF_DATE","GEO","DGUID","Gender (3)","Age (15C)","Statistics (3)","Place of birth (290)","Non-permanent resident type (10)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2021A000011124","Total - Gender","Total - Age","Count","Asia","Non-permanent residents with work and study permits","","0","units","0","","1.1.1.1.199.6","95930","","","","0"
"2021","Canada","2021A000011124","Total - Gender","Total - Age","Count","Asia","Other non-permanent resident types","","0","units","0","","1.1.1.1.199.7","42980","","","","0"
"2021","Canada","2021A000011124","Total - Gender","Total - Age","Count","Asia","Not a non-permanent resident","","0","units","0","","1.1.1.1.199.8","4387835","","","","0"
"2021","Canada","2021A000011124","Total - Gender","Total - Age","Count","Oceania","Total - Non-permanent resident type","","0","units","0","","1.1.1.1.256.1","76595","","","","0"
"2021","Canada","2021A000011124","Total - Gender","Total - Age","Count","Oceania","Asylum claimants","","0","units","0","","1.1.1.1.256.3","65","","","","0"
"2021","Canada","2021A000011124","Total - Gender","Total - Age","Count","Oceania","Non-permanent residents with a work permit only","","0","units","0","","1.1.1.1.256.4","4150","","","","0"
"2021","Canada","2021A000011124","Total - Gender","Total - Age","Count","Oceania","Non-permanent residents with a study permit only","","0","units","0","","1.1.1.1.256.5","775","","","","0"
"2021","Canada","2021A000011124","Total - Gender","Total - Age","Count","Oceania","Non-permanent residents with work and study permits","","0","units","0","","1.1.1.1.256.6","260","","","","0"
"2021","Canada","2021A000011124","Total - Gender","Total - Age","Count","Oceania","Other non-permanent resident types","","0","units","0","","1.1.1.1.256.7","885","","","","0"
"2021","Canada","2021A000011124","Total - Gender","Total - Age","Count","Oceania","Not a non-permanent resident","","0","units","0","","1.1.1.1.256.8","70465","","","","0"
"2021","Canada","2021A000011124","Total - Gender","Total - Age","Count","Other","Total - Non-permanent resident type","","0","units","0","","1.1.1.1.290.1","75","","","","0"
"2021","Canada","2021A000011124","Total - Gender","Total - Age","Count","Other","Not a non-permanent resident","","0","units","0","","1.1.1.1.290.8","75","","","","0"
"2021","Canada","2021A000011124","Total - Gender","0 to 14 years","Count","Total – Place of birth","Total - Non-permanent resident type","","0","units","0","","1.1.2.1.1.1","5992555","","","","0"
"2021","Canada","2021A000011124","Total - Gender","0 to 14 years","Count","Total – Place of birth","Asylum claimants","","0","units","0","","1.1.2.1.1.3","31555","","","","0"
"2021","Canada","2021A000011124","Total - Gender","0 to 14 years","Count","Total – Place of birth","Non-permanent residents with a work permit only","","0","units","0","","1.1.2.1.1.4","25","","","","0"
"2021","Canada","2021A000011124","Total - Gender","0 to 14 years","Count","Total – Place of birth","Non-permanent residents with a study permit only","","0","units","0","","1.1.2.1.1.5","34495","","","","0"
"2021","Canada","2021A000011124","Total - Gender","0 to 14 years","Count","Total – Place of birth","Other non-permanent resident types","","0","units","0","","1.1.2.1.1.7","21635","","","","0"
"2021","Canada","2021A000011124","Total - Gender","0 to 14 years","Count","Total – Place of birth","Not a non-permanent resident","","0","units","0","","1.1.2.1.1.8","5904835","","","","0"
"2021","Canada","2021A000011124","Total - Gender","0 to 14 years","Count","Inside Canada","Total - Non-permanent resident type","","0","units","0","","1.1.2.1.2.1","5439645","","","","0"
"2021","Canada","2021A000011124","Total - Gender","0 to 14 years","Count","Inside Canada","Not a non-permanent resident","","0","units","0","","1.1.2.1.2.8","5439645","","","","0"
"2021","Canada","2021A000011124","Total - Gender","0 to 14 years","Count","Americas","Total - Non-permanent resident type","","0","units","0","","1.1.2.1.17.1","106565","","","","0"
"2021","Canada","2021A000011124","Total - Gender","0 to 14 years","Count","Americas","Asylum claimants","","0","units","0","","1.1.2.1.17.3","12350","","","","0"
"2021","Canada","2021A000011124","Total - Gender","0 to 14 years","Count","Americas","Non-permanent residents with a work permit only","","0","units","0","","1.1.2.1.17.4","20","","","","0"
"2021","Canada","2021A000011124","Total - Gender","0 to 14 years","Count","Americas","Non-permanent residents with a study permit only","","0","units","0","","1.1.2.1.17.5","8365","","","","0"
"2021","Canada","2021A000011124","Total - Gender","0 to 14 years","Count","Americas","Other non-permanent resident types","","0","units","0","","1.1.2.1.17.7","5330","","","","0"
