"Id","RootRot_E1","RootRot_E2","RootRot_E3","RootRot_Mean"
"LR89-24",55.125,59.2916667,46.8541667,53.7569444
"LR89-240",51.9375,62.96875,66.0625,60.3229167
"LR89-241",38,59.75,55.1875,50.9791667
"LR89-242",38,65.875,41.125,45.5833333
"LR89-243",38.9583333,53.59375,65.9375,52.8298611
"LR89-245",59.78125,69.125,42.625,57.1770833
"LR89-248",65.875,69.0625,70.65625,68.53125
"LR89-249",48.25,48.875,45.78125,47.5795455
"LR89-25",58.3125,50.5,55.15625,54.65625
"LR89-250",31.75,50.46875,38,40.0729167
"LR89-27",53.625,60.875,78.3125,61.5277778
"LR89-28",78.3125,63.5694444,66.0625,70.6759259
"LR89-29",71,47.375,58.3125,57.7954545
"LR89-30",67.53125,58.28125,63,62.9318182
"LR89-32",33.3125,64.9166667,48.875,47.5909091
"LR89-33",61.25,58.28125,79.84375,66.4583333
"LR89-34",22.8541667,53.5625,52,42.8055556
"LR89-35",73.6875,64.5,55.125,64.4375
"LR89-36",50.5,54.6041667,44.25,49.7847222
"LR89-37",38,58.25,54.1145833,50.1215278
"LR89-38",73.65625,78.3125,56.625,69.53125
"LR89-39",75.25,44.25,58.1875,59.2291667
"LR89-41",58.6666667,45.8125,53.59375,52.1477273
"LR89-42",59.75,64.46875,52.03125,58.75
"LR89-43",53.625,66.03125,59.78125,59.8125
"LR89-44",65.9375,44.25,56.625,55.6041667
"LR89-45",50.40625,58.28125,67.5,58.7291667
"LR89-46",39.9166667,50.46875,52.0625,48.1704545
"LR89-47",38,57.2395833,64.375,53.2048611
"LR89-49",85.4583333,47.375,64.53125,64
"LR89-5",75.25,38,53.53125,55.59375
"LR89-51",79.3333333,58.21875,72.15625,69.0454545
"LR89-52",42.6875,48.875,64.40625,51.9895833
"LR89-54",31.6875,64.40625,62.9375,53.0104167
"LR89-55",73.71875,69.09375,69.03125,70.6145833
"LR89-57",60.875,62.9166667,53.5625,58.5625
"LR89-6",55.0625,65.7222222,59.6875,59.6515152
"LR89-61",54.6666667,58.7708333,62.96875,58.8020833
"LR89-66",55.0625,55.15625,62.84375,57.6875
"LR89-67",73.6875,64.4375,61.34375,66.4895833
"LR89-69",75.25,58.3125,72.125,68.5625
"LR89-7",51.9375,56.59375,63,56.6477273
"LR89-71",48.4166667,53.625,58.75,54.1666667
"LR89-73",54.5,60.875,59.875,58.5625
"LR89-74",61.25,52.03125,55.125,56.1354167
"LR89-75",61.28125,55.15625,58.15625,58.1979167
"LR89-76",55.1875,50.5,52.5833333,53.2777778
"LR89-77",65.875,59.8125,62.875,62.8541667
"LR89-78",72.6979167,57.2708333,66.0625,65.34375
"LR89-79",39.5625,52.03125,59.78125,50.4583333
"LR89-8",48.84375,62.8125,69,60.21875
"LR89-80",39.4375,59.875,56.71875,52.0104167
"LR89-81",53.59375,45.2916667,67.53125,55.4722222
"LR89-82",48.9375,54.5833333,34.875,45.3636364
"LR89-83",72.125,47.34375,59.78125,59.75
"LR89-85",59.625,50.4375,56.625,55.5625
"LR89-86",64.3125,59.7395833,59.8125,61.2881944
"LR89-87",55.15625,51.1111111,67.59375,58.5757576
"LR89-88",64.34375,52,45.8125,54.0520833
"LR89-89",33.125,29.6666667,38,34.1388889
"LR89-9",78.3125,48.9375,53.5,60.25
"LR89-90",54.25,62.84375,65.9375,61.0104167
"LR89-91",56.625,54.6666667,57.7291667,56.4924242
"LR89-92",32.7916667,50.5,50.5,44.5972222
"LR89-93",72.0625,56.75,55.15625,61.3229167
"LR89-94",53.5,45.78125,52.03125,50.4375
"LR89-96",78.28125,62.875,49.3958333,63.5173611
"LR89-97",50.3125,56.75,53.5,53.2272727
"LR89-98",50.5,50.5,43.6875,48.0227273
"LR89-99",50.9791667,48.875,44.1875,48.0138889
