"REF_DATE","GEO","DGUID","Principal trading partner","North American Product Classification System (NAPCS)","Trade","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Canada","2016A000011124","United States","Energy products [C12]","Import","Dollars","81","thousands","3","v1073209757","1.1.12.2","21658275.1","","","","1"
"2016","Canada","2016A000011124","United States","Energy products [C12]","Import","Dollars","81","thousands","3","v1073209757","1.1.12.2","16378202.8","","","","1"
"2017","Canada","2016A000011124","United States","Energy products [C12]","Import","Dollars","81","thousands","3","v1073209757","1.1.12.2","19476902.8","","","","1"
"2018","Canada","2016A000011124","United States","Energy products [C12]","Import","Dollars","81","thousands","3","v1073209757","1.1.12.2","25161806.8","","","","1"
"2019","Canada","2016A000011124","United States","Energy products [C12]","Import","Dollars","81","thousands","3","v1073209757","1.1.12.2","26277884.8","","","","1"
"2020","Canada","2016A000011124","United States","Energy products [C12]","Import","Dollars","81","thousands","3","v1073209757","1.1.12.2","16511733.1","","","","1"
"1999","Canada","2016A000011124","United States","Crude oil and bitumen [141]","Export","Dollars","81","thousands","3","v1073209758","1.1.13.1","10121871.2","","","","1"
"2000","Canada","2016A000011124","United States","Crude oil and bitumen [141]","Export","Dollars","81","thousands","3","v1073209758","1.1.13.1","19332306.1","","","","1"
"2001","Canada","2016A000011124","United States","Crude oil and bitumen [141]","Export","Dollars","81","thousands","3","v1073209758","1.1.13.1","16083572.5","","","","1"
"2002","Canada","2016A000011124","United States","Crude oil and bitumen [141]","Export","Dollars","81","thousands","3","v1073209758","1.1.13.1","18017193.4","","","","1"
"2003","Canada","2016A000011124","United States","Crude oil and bitumen [141]","Export","Dollars","81","thousands","3","v1073209758","1.1.13.1","20488163.2","","","","1"
"2004","Canada","2016A000011124","United States","Crude oil and bitumen [141]","Export","Dollars","81","thousands","3","v1073209758","1.1.13.1","25165814.6","","","","1"
"2005","Canada","2016A000011124","United States","Crude oil and bitumen [141]","Export","Dollars","81","thousands","3","v1073209758","1.1.13.1","29980777.9","","","","1"
"2006","Canada","2016A000011124","United States","Crude oil and bitumen [141]","Export","Dollars","81","thousands","3","v1073209758","1.1.13.1","37896427.1","","","","1"
"2007","Canada","2016A000011124","United States","Crude oil and bitumen [141]","Export","Dollars","81","thousands","3","v1073209758","1.1.13.1","41587662.0","","","","1"
"2008","Canada","2016A000011124","United States","Crude oil and bitumen [141]","Export","Dollars","81","thousands","3","v1073209758","1.1.13.1","67364264.5","","","","1"
"2009","Canada","2016A000011124","United States","Crude oil and bitumen [141]","Export","Dollars","81","thousands","3","v1073209758","1.1.13.1","42469546.3","","","","1"
"2010","Canada","2016A000011124","United States","Crude oil and bitumen [141]","Export","Dollars","81","thousands","3","v1073209758","1.1.13.1","51692142.8","","","","1"
"2011","Canada","2016A000011124","United States","Crude oil and bitumen [141]","Export","Dollars","81","thousands","3","v1073209758","1.1.13.1","68396888.9","","","","1"
"2012","Canada","2016A000011124","United States","Crude oil and bitumen [141]","Export","Dollars","81","thousands","3","v1073209758","1.1.13.1","74109536.7","","","","1"
"2013","Canada","2016A000011124","United States","Crude oil and bitumen [141]","Export","Dollars","81","thousands","3","v1073209758","1.1.13.1","80729921.7","","","","1"
"2014","Canada","2016A000011124","United States","Crude oil and bitumen [141]","Export","Dollars","81","thousands","3","v1073209758","1.1.13.1","94235451.3","","","","1"
"2015","Canada","2016A000011124","United States","Crude oil and bitumen [141]","Export","Dollars","81","thousands","3","v1073209758","1.1.13.1","63499602.5","","","","1"
"2016","Canada","2016A000011124","United States","Crude oil and bitumen [141]","Export","Dollars","81","thousands","3","v1073209758","1.1.13.1","51473399.3","","","","1"
"2017","Canada","2016A000011124","United States","Crude oil and bitumen [141]","Export","Dollars","81","thousands","3","v1073209758","1.1.13.1","69050511.5","","","","1"
"2018","Canada","2016A000011124","United States","Crude oil and bitumen [141]","Export","Dollars","81","thousands","3","v1073209758","1.1.13.1","82909161.8","","","","1"
"2019","Canada","2016A000011124","United States","Crude oil and bitumen [141]","Export","Dollars","81","thousands","3","v1073209758","1.1.13.1","87702632.0","","","","1"
"2020","Canada","2016A000011124","United States","Crude oil and bitumen [141]","Export","Dollars","81","thousands","3","v1073209758","1.1.13.1","61445370.8","","","","1"
"1999","Canada","2016A000011124","United States","Crude oil and bitumen [141]","Import","Dollars","81","thousands","3","v1073209759","1.1.13.2","402771.5","","","","1"
"2000","Canada","2016A000011124","United States","Crude oil and bitumen [141]","Import","Dollars","81","thousands","3","v1073209759","1.1.13.2","260752.2","","","","1"
"2001","Canada","2016A000011124","United States","Crude oil and bitumen [141]","Import","Dollars","81","thousands","3","v1073209759","1.1.13.2","285270.4","","","","1"
"2002","Canada","2016A000011124","United States","Crude oil and bitumen [141]","Import","Dollars","81","thousands","3","v1073209759","1.1.13.2","135444.3","","","","1"
"2003","Canada","2016A000011124","United States","Crude oil and bitumen [141]","Import","Dollars","81","thousands","3","v1073209759","1.1.13.2","174846.2","","","","1"
"2004","Canada","2016A000011124","United States","Crude oil and bitumen [141]","Import","Dollars","81","thousands","3","v1073209759","1.1.13.2","545495.2","","","","1"
"2005","Canada","2016A000011124","United States","Crude oil and bitumen [141]","Import","Dollars","81","thousands","3","v1073209759","1.1.13.2","771627.9","","","","1"
"2006","Canada","2016A000011124","United States","Crude oil and bitumen [141]","Import","Dollars","81","thousands","3","v1073209759","1.1.13.2","632682.2","","","","1"
"2007","Canada","2016A000011124","United States","Crude oil and bitumen [141]","Import","Dollars","81","thousands","3","v1073209759","1.1.13.2","720455.8","","","","1"
"2008","Canada","2016A000011124","United States","Crude oil and bitumen [141]","Import","Dollars","81","thousands","3","v1073209759","1.1.13.2","1105753.0","","","","1"
"2009","Canada","2016A000011124","United States","Crude oil and bitumen [141]","Import","Dollars","81","thousands","3","v1073209759","1.1.13.2","871961.7","","","","1"
"2010","Canada","2016A000011124","United States","Crude oil and bitumen [141]","Import","Dollars","81","thousands","3","v1073209759","1.1.13.2","815600.9","","","","1"
"2011","Canada","2016A000011124","United States","Crude oil and bitumen [141]","Import","Dollars","81","thousands","3","v1073209759","1.1.13.2","1760495.6","","","","1"
"2012","Canada","2016A000011124","United States","Crude oil and bitumen [141]","Import","Dollars","81","thousands","3","v1073209759","1.1.13.2","2209511.6","","","","1"
"2013","Canada","2016A000011124","United States","Crude oil and bitumen [141]","Import","Dollars","81","thousands","3","v1073209759","1.1.13.2","4864702.8","","","","1"
"2014","Canada","2016A000011124","United States","Crude oil and bitumen [141]","Import","Dollars","81","thousands","3","v1073209759","1.1.13.2","11886010.5","","","","1"
"2015","Canada","2016A000011124","United States","Crude oil and bitumen [141]","Import","Dollars","81","thousands","3","v1073209759","1.1.13.2","9032327.6","","","","1"
"2016","Canada","2016A000011124","United States","Crude oil and bitumen [141]","Import","Dollars","81","thousands","3","v1073209759","1.1.13.2","7163784.4","","","","1"
"2017","Canada","2016A000011124","United States","Crude oil and bitumen [141]","Import","Dollars","81","thousands","3","v1073209759","1.1.13.2","8908757.2","","","","1"
"2018","Canada","2016A000011124","United States","Crude oil and bitumen [141]","Import","Dollars","81","thousands","3","v1073209759","1.1.13.2","12233041.5","","","","1"
"2019","Canada","2016A000011124","United States","Crude oil and bitumen [141]","Import","Dollars","81","thousands","3","v1073209759","1.1.13.2","13749124.1","","","","1"
"2020","Canada","2016A000011124","United States","Crude oil and bitumen [141]","Import","Dollars","81","thousands","3","v1073209759","1.1.13.2","8759962.1","","","","1"
"1999","Canada","2016A000011124","United States","Natural gas [142]","Export","Dollars","81","thousands","3","v1073209760","1.1.14.1","10951376.4","","","","1"
"2000","Canada","2016A000011124","United States","Natural gas [142]","Export","Dollars","81","thousands","3","v1073209760","1.1.14.1","20554121.0","","","","1"
"2001","Canada","2016A000011124","United States","Natural gas [142]","Export","Dollars","81","thousands","3","v1073209760","1.1.14.1","25595140.5","","","","1"
"2002","Canada","2016A000011124","United States","Natural gas [142]","Export","Dollars","81","thousands","3","v1073209760","1.1.14.1","18359434.8","","","","1"
"2003","Canada","2016A000011124","United States","Natural gas [142]","Export","Dollars","81","thousands","3","v1073209760","1.1.14.1","26083449.6","","","","1"
"2004","Canada","2016A000011124","United States","Natural gas [142]","Export","Dollars","81","thousands","3","v1073209760","1.1.14.1","27039363.8","","","","1"
"2005","Canada","2016A000011124","United States","Natural gas [142]","Export","Dollars","81","thousands","3","v1073209760","1.1.14.1","35911083.3","","","","1"
"2006","Canada","2016A000011124","United States","Natural gas [142]","Export","Dollars","81","thousands","3","v1073209760","1.1.14.1","27798478.6","","","","1"
"2007","Canada","2016A000011124","United States","Natural gas [142]","Export","Dollars","81","thousands","3","v1073209760","1.1.14.1","28049609.7","","","","1"
"2008","Canada","2016A000011124","United States","Natural gas [142]","Export","Dollars","81","thousands","3","v1073209760","1.1.14.1","32575345.7","","","","1"
"2009","Canada","2016A000011124","United States","Natural gas [142]","Export","Dollars","81","thousands","3","v1073209760","1.1.14.1","15957757.8","","","","1"
"2010","Canada","2016A000011124","United States","Natural gas [142]","Export","Dollars","81","thousands","3","v1073209760","1.1.14.1","15619359.7","","","","1"
"2011","Canada","2016A000011124","United States","Natural gas [142]","Export","Dollars","81","thousands","3","v1073209760","1.1.14.1","13462798.8","","","","1"
"2012","Canada","2016A000011124","United States","Natural gas [142]","Export","Dollars","81","thousands","3","v1073209760","1.1.14.1","8858190.0","","","","1"
"2013","Canada","2016A000011124","United States","Natural gas [142]","Export","Dollars","81","thousands","3","v1073209760","1.1.14.1","10856621.5","","","","1"
"2014","Canada","2016A000011124","United States","Natural gas [142]","Export","Dollars","81","thousands","3","v1073209760","1.1.14.1","16053082.9","","","","1"
"2015","Canada","2016A000011124","United States","Natural gas [142]","Export","Dollars","81","thousands","3","v1073209760","1.1.14.1","10026140.7","","","","1"
"2016","Canada","2016A000011124","United States","Natural gas [142]","Export","Dollars","81","thousands","3","v1073209760","1.1.14.1","8661616.9","","","","1"
"2017","Canada","2016A000011124","United States","Natural gas [142]","Export","Dollars","81","thousands","3","v1073209760","1.1.14.1","10317171.0","","","","1"
"2018","Canada","2016A000011124","United States","Natural gas [142]","Export","Dollars","81","thousands","3","v1073209760","1.1.14.1","9653484.7","","","","1"
"2019","Canada","2016A000011124","United States","Natural gas [142]","Export","Dollars","81","thousands","3","v1073209760","1.1.14.1","8989247.3","","","","1"
