Entity,Code,Year,Food expenditure,Total consumer expenditure,World region according to OWID
Slovenia,SVN,2022,14.111998,16399.82,Europe
Slovenia,SVN,2023,13.93656,17543.977,Europe
South Africa,ZAF,2017,21.411764,3655,Africa
South Africa,ZAF,2018,21.44559,3861.4,Africa
South Africa,ZAF,2019,21.068176,3157.7812,Africa
South Africa,ZAF,2020,21.219994,3033.696,Africa
South Africa,ZAF,2021,21.292362,4324.8687,Africa
South Africa,ZAF,2022,21.576128,4250.3125,Africa
South Africa,ZAF,2023,16.08083,3830.0823,Africa
South Korea,KOR,2017,13.798116,13277.9,Asia
South Korea,KOR,2018,13.790131,14150.7,Asia
South Korea,KOR,2019,11.439939,14501.479,Asia
South Korea,KOR,2020,11.581391,13919.325,Asia
South Korea,KOR,2021,12.819726,15492.057,Asia
South Korea,KOR,2022,12.147224,14920.832,Asia
South Korea,KOR,2023,12.33084,16796.643,Asia
Spain,ESP,2017,12.268641,16786.7,Europe
Spain,ESP,2018,12.128487,18286.7,Europe
Spain,ESP,2019,12.522496,17956.453,Europe
Spain,ESP,2020,15.030204,15696.67,Europe
Spain,ESP,2021,13.111291,17353.86,Europe
Spain,ESP,2022,15.396029,17381.223,Europe
Spain,ESP,2023,12.904854,19464.68,Europe
Sri Lanka,LKA,2017,27.898916,2971.8,Asia
Sri Lanka,LKA,2018,28.02194,2935.2,Asia
Sri Lanka,LKA,2019,27.222614,2736.8938,Asia
Sri Lanka,LKA,2020,29.635483,2742.7568,Asia
Sri Lanka,LKA,2021,27.715063,2815.8762,Asia
Sri Lanka,LKA,2022,26.753601,2198.9592,Asia
Sri Lanka,LKA,2023,27.131388,2634.788,Asia
Sweden,SWE,2017,12.385907,23237.7,Europe
Sweden,SWE,2018,12.3818,23371.4,Europe
Sweden,SWE,2019,12.489638,23155.363,Europe
Sweden,SWE,2020,13.073925,22261.01,Europe
Sweden,SWE,2021,12.654855,25825.855,Europe
Sweden,SWE,2022,12.525443,23926.494,Europe
Sweden,SWE,2023,13.006173,24169.281,Europe
Switzerland,CHE,2017,9.145775,41986.6,Europe
Switzerland,CHE,2018,9.151012,42714.4,Europe
Switzerland,CHE,2019,8.854781,45256.926,Europe
Switzerland,CHE,2020,10.186761,42616.324,Europe
Switzerland,CHE,2021,9.924487,43461.773,Europe
Switzerland,CHE,2022,9.315636,44109.562,Europe
Switzerland,CHE,2023,9.001141,49436.02,Europe
Taiwan,TWN,2017,14.671123,12209.7,Asia
Taiwan,TWN,2018,14.664256,12668.9,Asia
Taiwan,TWN,2019,13.0694,13046.547,Asia
Taiwan,TWN,2020,13.308841,12697.904,Asia
Taiwan,TWN,2021,13.33614,13564.453,Asia
Taiwan,TWN,2022,14.197844,14125.179,Asia
Taiwan,TWN,2023,13.788777,14936.921,Asia
Tanzania,TZA,2017,33.15454,596.6,Africa
Tanzania,TZA,2018,33.070866,622.3,Africa
Tanzania,TZA,2019,33.222324,645.3198,Africa
Tanzania,TZA,2020,34.486073,662.217,Africa
Tanzania,TZA,2021,27.379164,656.87555,Africa
Tanzania,TZA,2022,27.893883,707.4798,Africa
Tanzania,TZA,2023,26.168013,754.4538,Africa
Thailand,THA,2017,24.32835,3759.4,Asia
Thailand,THA,2018,24.252953,4173.1,Asia
Thailand,THA,2019,22.405146,4513.2866,Asia
Thailand,THA,2020,24.7667,4471.9727,Asia
Thailand,THA,2021,28.338812,3626.5225,Asia
Thailand,THA,2022,26.783998,3817.7468,Asia
Thailand,THA,2023,25.9059,4276.006,Asia
Tunisia,TUN,2017,22.019604,2632.2,Africa
Tunisia,TUN,2018,21.882679,2604.8,Africa
Tunisia,TUN,2019,21.75387,2665.321,Africa
Tunisia,TUN,2020,21.632456,2517.04,Africa
Tunisia,TUN,2021,24.192238,2677.411,Africa
Tunisia,TUN,2022,23.067316,2950.1914,Africa
Tunisia,TUN,2023,22.278597,3454.1846,Africa
Turkey,TUR,2017,21.762697,6383.4,Asia
Turkey,TUR,2018,21.821396,5544.1,Asia
Turkey,TUR,2019,21.214691,4264.945,Asia
Turkey,TUR,2020,21.347061,4896.058,Asia
Turkey,TUR,2021,27.256779,5425.4863,Asia
Turkey,TUR,2022,25.405075,6268.152,Asia
Turkey,TUR,2023,22.825748,7920.9927,Asia
Turkmenistan,TKM,2017,37.742027,702.4,Asia
Turkmenistan,TKM,2018,37.511032,793.1,Asia
Turkmenistan,TKM,2019,37.281677,858.0973,Asia
Turkmenistan,TKM,2020,37.071136,888.6457,Asia
Turkmenistan,TKM,2021,36.870106,840.93097,Asia
Turkmenistan,TKM,2022,36.677605,1019.63983,Asia
Turkmenistan,TKM,2023,36.49421,1092.0646,Asia
Uganda,UGA,2017,44.30352,457.3,Africa
Uganda,UGA,2018,44.223866,473.5,Africa
Uganda,UGA,2019,44.199154,556.2124,Africa
Uganda,UGA,2020,44.218678,563.25836,Africa
Uganda,UGA,2021,44.24747,663.0901,Africa
Uganda,UGA,2022,44.225307,708.26843,Africa
Uganda,UGA,2023,38.565464,689.46454,Africa
Ukraine,UKR,2017,42.113937,1699.2,Europe
Ukraine,UKR,2018,42.231743,2030.7,Europe
Ukraine,UKR,2019,39.68322,2420.3833,Europe
Ukraine,UKR,2020,41.19931,2571.9124,Europe
Ukraine,UKR,2021,41.641056,3103.0767,Europe
Ukraine,UKR,2022,42.726883,2390.3926,Europe
Ukraine,UKR,2023,41.71225,3034.8806,Europe
United Arab Emirates,ARE,2017,13.728012,13763.1,Asia
United Arab Emirates,ARE,2018,13.710803,14258.1,Asia
United Arab Emirates,ARE,2019,13.725278,16248.45,Asia
United Arab Emirates,ARE,2020,13.911645,15710.711,Asia
United Arab Emirates,ARE,2021,13.614112,14409.577,Asia
United Arab Emirates,ARE,2022,13.526852,18184.592,Asia
United Arab Emirates,ARE,2023,12.225459,24381.51,Asia
United Kingdom,GBR,2017,8.150551,25006.9,Europe
United Kingdom,GBR,2018,8.099275,26770.3,Europe
United Kingdom,GBR,2019,7.943234,25982.602,Europe
United Kingdom,GBR,2020,9.360341,23482.635,Europe
United Kingdom,GBR,2021,8.655319,27933.74,Europe
United Kingdom,GBR,2022,8.500579,27216.125,Europe
United Kingdom,GBR,2023,8.654823,28874.305,Europe
United States,USA,2017,6.4059668,39780.1,North America
United States,USA,2018,6.357114,41311.2,North America
United States,USA,2019,6.226851,42735.95,North America
United States,USA,2020,7.0947022,41182.297,North America
United States,USA,2021,6.689246,45898.055,North America
United States,USA,2022,6.7260303,50288.887,North America
United States,USA,2023,6.794796,54370.336,North America
Uruguay,URY,2017,18.633657,11737.9,South America
Uruguay,URY,2018,18.617237,11882,South America
Uruguay,URY,2019,18.514044,9324.551,South America
Uruguay,URY,2020,18.872986,9510.556,South America
Uruguay,URY,2021,18.820482,10364.276,South America
Uruguay,URY,2022,18.599667,12749.014,South America
Uruguay,URY,2023,18.697643,14849.047,South America
Uzbekistan,UZB,2017,30.27809,801.9,Asia
Uzbekistan,UZB,2018,30.16796,619.2,Asia
Uzbekistan,UZB,2019,30.053236,823.05035,Asia
Uzbekistan,UZB,2020,29.953552,933.78687,Asia
Uzbekistan,UZB,2021,46.50713,1039.4144,Asia
Uzbekistan,UZB,2022,46.408474,1328.8956,Asia
Uzbekistan,UZB,2023,46.33913,1550.8986,Asia
Venezuela,VEN,2017,19.269547,1497.7,South America
Venezuela,VEN,2018,19.099098,499.5,South America
Venezuela,VEN,2019,18.938694,8.493537,South America
Venezuela,VEN,2020,18.77476,145.65392,South America
Venezuela,VEN,2021,18.609703,250.79521,South America
Venezuela,VEN,2022,18.446112,416.83008,South America
Venezuela,VEN,2023,51.952286,1334.8643,South America
Vietnam,VNM,2017,38.73744,1661.7,Asia
Vietnam,VNM,2018,38.75791,1785.7,Asia
Vietnam,VNM,2019,31.09939,1696.132,Asia
Vietnam,VNM,2020,31.651073,1745.4456,Asia
Vietnam,VNM,2021,31.196798,1805.1606,Asia
Vietnam,VNM,2022,31.120634,2103.9712,Asia
Vietnam,VNM,2023,34.85494,2230.9177,Asia
