"REF_DATE","GEO","DGUID","Value","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008","Newfoundland and Labrador","2016A000210","Current dollars","Goods-producing industries [T002]","Dollars","81","millions","6","v62460555","1.1.2","17886.5","","","","1"
"2009","Newfoundland and Labrador","2016A000210","Current dollars","Goods-producing industries [T002]","Dollars","81","millions","6","v62460555","1.1.2","10561.2","","","","1"
"2010","Newfoundland and Labrador","2016A000210","Current dollars","Goods-producing industries [T002]","Dollars","81","millions","6","v62460555","1.1.2","13734.1","","","","1"
"2011","Newfoundland and Labrador","2016A000210","Current dollars","Goods-producing industries [T002]","Dollars","81","millions","6","v62460555","1.1.2","17166.2","","","","1"
"2012","Newfoundland and Labrador","2016A000210","Current dollars","Goods-producing industries [T002]","Dollars","81","millions","6","v62460555","1.1.2","14709.0","","","","1"
"2013","Newfoundland and Labrador","2016A000210","Current dollars","Goods-producing industries [T002]","Dollars","81","millions","6","v62460555","1.1.2","16611.3","","","","1"
"2014","Newfoundland and Labrador","2016A000210","Current dollars","Goods-producing industries [T002]","Dollars","81","millions","6","v62460555","1.1.2","15821.7","","","","1"
"2015","Newfoundland and Labrador","2016A000210","Current dollars","Goods-producing industries [T002]","Dollars","81","millions","6","v62460555","1.1.2","12125.7","","","","1"
"2016","Newfoundland and Labrador","2016A000210","Current dollars","Goods-producing industries [T002]","Dollars","81","millions","6","v62460555","1.1.2","11866.6","","","","1"
"2017","Newfoundland and Labrador","2016A000210","Current dollars","Goods-producing industries [T002]","Dollars","81","millions","6","v62460555","1.1.2","13601.8","","","","1"
"2018","Newfoundland and Labrador","2016A000210","Current dollars","Goods-producing industries [T002]","Dollars","81","millions","6","v62460555","1.1.2","14019.9","","","","1"
"2019","Newfoundland and Labrador","2016A000210","Current dollars","Goods-producing industries [T002]","Dollars","81","millions","6","v62460555","1.1.2","15029.3","","","","1"
"2020","Newfoundland and Labrador","2016A000210","Current dollars","Goods-producing industries [T002]","Dollars","81","millions","6","v62460555","1.1.2","","..","","","1"
"2021","Newfoundland and Labrador","2016A000210","Current dollars","Goods-producing industries [T002]","Dollars","81","millions","6","v62460555","1.1.2","","..","","","1"
"2022","Newfoundland and Labrador","2016A000210","Current dollars","Goods-producing industries [T002]","Dollars","81","millions","6","v62460555","1.1.2","","..","","","1"
"1997","Newfoundland and Labrador","2016A000210","Current dollars","Service-producing industries [T003]","Dollars","81","millions","6","v62460556","1.1.3","7224.1","","","","1"
"1998","Newfoundland and Labrador","2016A000210","Current dollars","Service-producing industries [T003]","Dollars","81","millions","6","v62460556","1.1.3","7369.1","","","","1"
"1999","Newfoundland and Labrador","2016A000210","Current dollars","Service-producing industries [T003]","Dollars","81","millions","6","v62460556","1.1.3","7719.5","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Current dollars","Service-producing industries [T003]","Dollars","81","millions","6","v62460556","1.1.3","8274.4","","","","1"
"2001","Newfoundland and Labrador","2016A000210","Current dollars","Service-producing industries [T003]","Dollars","81","millions","6","v62460556","1.1.3","8613.0","","","","1"
"2002","Newfoundland and Labrador","2016A000210","Current dollars","Service-producing industries [T003]","Dollars","81","millions","6","v62460556","1.1.3","9086.1","","","","1"
"2003","Newfoundland and Labrador","2016A000210","Current dollars","Service-producing industries [T003]","Dollars","81","millions","6","v62460556","1.1.3","9547.6","","","","1"
"2004","Newfoundland and Labrador","2016A000210","Current dollars","Service-producing industries [T003]","Dollars","81","millions","6","v62460556","1.1.3","9805.7","","","","1"
"2005","Newfoundland and Labrador","2016A000210","Current dollars","Service-producing industries [T003]","Dollars","81","millions","6","v62460556","1.1.3","10184.4","","","","1"
"2006","Newfoundland and Labrador","2016A000210","Current dollars","Service-producing industries [T003]","Dollars","81","millions","6","v62460556","1.1.3","10797.1","","","","1"
"2007","Newfoundland and Labrador","2016A000210","Current dollars","Service-producing industries [T003]","Dollars","81","millions","6","v62460556","1.1.3","11489.3","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Current dollars","Service-producing industries [T003]","Dollars","81","millions","6","v62460556","1.1.3","12002.6","","","","1"
"2009","Newfoundland and Labrador","2016A000210","Current dollars","Service-producing industries [T003]","Dollars","81","millions","6","v62460556","1.1.3","12683.4","","","","1"
"2010","Newfoundland and Labrador","2016A000210","Current dollars","Service-producing industries [T003]","Dollars","81","millions","6","v62460556","1.1.3","13449.0","","","","1"
"2011","Newfoundland and Labrador","2016A000210","Current dollars","Service-producing industries [T003]","Dollars","81","millions","6","v62460556","1.1.3","14447.8","","","","1"
"2012","Newfoundland and Labrador","2016A000210","Current dollars","Service-producing industries [T003]","Dollars","81","millions","6","v62460556","1.1.3","15268.1","","","","1"
"2013","Newfoundland and Labrador","2016A000210","Current dollars","Service-producing industries [T003]","Dollars","81","millions","6","v62460556","1.1.3","15792.5","","","","1"
"2014","Newfoundland and Labrador","2016A000210","Current dollars","Service-producing industries [T003]","Dollars","81","millions","6","v62460556","1.1.3","16315.1","","","","1"
"2015","Newfoundland and Labrador","2016A000210","Current dollars","Service-producing industries [T003]","Dollars","81","millions","6","v62460556","1.1.3","16798.7","","","","1"
"2016","Newfoundland and Labrador","2016A000210","Current dollars","Service-producing industries [T003]","Dollars","81","millions","6","v62460556","1.1.3","17138.6","","","","1"
"2017","Newfoundland and Labrador","2016A000210","Current dollars","Service-producing industries [T003]","Dollars","81","millions","6","v62460556","1.1.3","17400.8","","","","1"
"2018","Newfoundland and Labrador","2016A000210","Current dollars","Service-producing industries [T003]","Dollars","81","millions","6","v62460556","1.1.3","17816.4","","","","1"
"2019","Newfoundland and Labrador","2016A000210","Current dollars","Service-producing industries [T003]","Dollars","81","millions","6","v62460556","1.1.3","18130.2","","","","1"
"2020","Newfoundland and Labrador","2016A000210","Current dollars","Service-producing industries [T003]","Dollars","81","millions","6","v62460556","1.1.3","","..","","","1"
"2021","Newfoundland and Labrador","2016A000210","Current dollars","Service-producing industries [T003]","Dollars","81","millions","6","v62460556","1.1.3","","..","","","1"
"2022","Newfoundland and Labrador","2016A000210","Current dollars","Service-producing industries [T003]","Dollars","81","millions","6","v62460556","1.1.3","","..","","","1"
"1997","Newfoundland and Labrador","2016A000210","Current dollars","Industrial production [T010]","Dollars","81","millions","6","v62460557","1.1.4","1386.9","","","","1"
"1998","Newfoundland and Labrador","2016A000210","Current dollars","Industrial production [T010]","Dollars","81","millions","6","v62460557","1.1.4","1775.4","","","","1"
"1999","Newfoundland and Labrador","2016A000210","Current dollars","Industrial production [T010]","Dollars","81","millions","6","v62460557","1.1.4","2205.2","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Current dollars","Industrial production [T010]","Dollars","81","millions","6","v62460557","1.1.4","3474.3","","","","1"
"2001","Newfoundland and Labrador","2016A000210","Current dollars","Industrial production [T010]","Dollars","81","millions","6","v62460557","1.1.4","3297.3","","","","1"
"2002","Newfoundland and Labrador","2016A000210","Current dollars","Industrial production [T010]","Dollars","81","millions","6","v62460557","1.1.4","5024.5","","","","1"
"2003","Newfoundland and Labrador","2016A000210","Current dollars","Industrial production [T010]","Dollars","81","millions","6","v62460557","1.1.4","6118.8","","","","1"
"2004","Newfoundland and Labrador","2016A000210","Current dollars","Industrial production [T010]","Dollars","81","millions","6","v62460557","1.1.4","6931.9","","","","1"
"2005","Newfoundland and Labrador","2016A000210","Current dollars","Industrial production [T010]","Dollars","81","millions","6","v62460557","1.1.4","9052.5","","","","1"
"2006","Newfoundland and Labrador","2016A000210","Current dollars","Industrial production [T010]","Dollars","81","millions","6","v62460557","1.1.4","10839.5","","","","1"
"2007","Newfoundland and Labrador","2016A000210","Current dollars","Industrial production [T010]","Dollars","81","millions","6","v62460557","1.1.4","14529.3","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Current dollars","Industrial production [T010]","Dollars","81","millions","6","v62460557","1.1.4","16265.8","","","","1"
"2009","Newfoundland and Labrador","2016A000210","Current dollars","Industrial production [T010]","Dollars","81","millions","6","v62460557","1.1.4","8751.9","","","","1"
"2010","Newfoundland and Labrador","2016A000210","Current dollars","Industrial production [T010]","Dollars","81","millions","6","v62460557","1.1.4","11638.6","","","","1"
"2011","Newfoundland and Labrador","2016A000210","Current dollars","Industrial production [T010]","Dollars","81","millions","6","v62460557","1.1.4","14680.6","","","","1"
"2012","Newfoundland and Labrador","2016A000210","Current dollars","Industrial production [T010]","Dollars","81","millions","6","v62460557","1.1.4","11542.6","","","","1"
"2013","Newfoundland and Labrador","2016A000210","Current dollars","Industrial production [T010]","Dollars","81","millions","6","v62460557","1.1.4","12617.8","","","","1"
"2014","Newfoundland and Labrador","2016A000210","Current dollars","Industrial production [T010]","Dollars","81","millions","6","v62460557","1.1.4","11255.1","","","","1"
"2015","Newfoundland and Labrador","2016A000210","Current dollars","Industrial production [T010]","Dollars","81","millions","6","v62460557","1.1.4","7302.9","","","","1"
"2016","Newfoundland and Labrador","2016A000210","Current dollars","Industrial production [T010]","Dollars","81","millions","6","v62460557","1.1.4","7208.1","","","","1"
"2017","Newfoundland and Labrador","2016A000210","Current dollars","Industrial production [T010]","Dollars","81","millions","6","v62460557","1.1.4","9223.6","","","","1"
"2018","Newfoundland and Labrador","2016A000210","Current dollars","Industrial production [T010]","Dollars","81","millions","6","v62460557","1.1.4","10632.1","","","","1"
"2019","Newfoundland and Labrador","2016A000210","Current dollars","Industrial production [T010]","Dollars","81","millions","6","v62460557","1.1.4","11709.3","","","","1"
"2020","Newfoundland and Labrador","2016A000210","Current dollars","Industrial production [T010]","Dollars","81","millions","6","v62460557","1.1.4","","..","","","1"
"2021","Newfoundland and Labrador","2016A000210","Current dollars","Industrial production [T010]","Dollars","81","millions","6","v62460557","1.1.4","","..","","","1"
"2022","Newfoundland and Labrador","2016A000210","Current dollars","Industrial production [T010]","Dollars","81","millions","6","v62460557","1.1.4","","..","","","1"
"1997","Newfoundland and Labrador","2016A000210","Current dollars","Non-durable manufacturing industries [T011]","Dollars","81","millions","6","v62460558","1.1.5","488.8","","","","1"
"1998","Newfoundland and Labrador","2016A000210","Current dollars","Non-durable manufacturing industries [T011]","Dollars","81","millions","6","v62460558","1.1.5","571.3","","","","1"
