"Name","Cotyledon_Color","DTF_Sask_2017","DTF_Nepal_2017","Het","MAF","MCF"
"ILL_2194_AGL","Yellow",48.3,125.3,0.0390455597888005,0.320356429700229,0.0292864638921178
"PI_431893_LSP_AGL","Red",50,114,0.0427604853200463,0.289486193190821,0.118138818611814
"ILL_2507_AGL","Red",44.3,101.7,0.0469356605888649,0.377749418924995,0.0611623613493595
"ILL_2580_AGL","Red",43.3,115.7,0.046670543262465,0.363379244614342,0.135964586300083
"ILL_28_AGL","Yellow",47,128,0.0402677159563123,0.273636597653808,0.191567543784022
"ILL_3025_AGL","Red",44.7,102.7,0.0477925583188741,0.370323886639676,0.228967169787762
"ILL_313_AGL","Yellow",47,127.3,0.0362283198268639,0.246515398732009,0.12358525063398
"ILL_3347_AGL","Red",44.7,102,0.0470417119118541,0.375207961824684,0.104736790469933
"ILL_358_AGL","Red",46.3,119.7,0.0383657487643623,0.311871750433276,0.0736903441776393
"ILL_3597_AGL","Red",44.7,108.3,0.0476513179013447,0.376304688285285,0.0831234930893934
"ILL_4164_AGL","Red",48.3,124,0.0424667548020841,0.339444746869897,0.0442730707828057
"ILL_4400_AGL","Yellow",52,125.7,0.031812970261555,0.226970619849516,0.170251540727836
"ILL_4605_AGL","Yellow",47.3,91.3,0.0329864288483908,0.242267545560295,0.0415974218636192
"ILL_4609_AGL","Red",47,129,0.0542668004916942,0.359068337224033,0.20914061129659
"ILL_4665_AGL","Yellow",53.3,118,0.156075336996853,0.192013839963678,0.0505459810266762
"ILL_4671_AGL","Yellow",50.7,127.3,0.0362924503696875,0.262828366763916,0.0197076407614302
"ILL_4768_AGL","Red",42.7,111.7,0.0409601170676187,0.372031814209353,0.122345533301424
"ILL_4782_AGL","Red",41.3,107.7,0.0416115509400933,0.324715537041059,0.0965047106285694
"ILL_4783_AGL","Yellow",56,126.3,0.0212091154732329,0.155657370641808,0.0438806422746583
"ILL_4804_AGL","Red",46,121.7,0.0374443678305021,0.276717545289287,0.0514527287159561
"ILL_4875_AGL","Red",56.7,127.7,0.046569319073327,0.377013647061742,0.0412644522203427
"ILL_4956_AGL","Yellow",53.7,123.3,0.0291829032179006,0.220896747788153,0.0295599746705236
"ILL_5058_AGL","Yellow",54.7,139.7,0.0348324346152106,0.248986113673628,0.145989350917302
"ILL_5151_AGL","Red",48,124.7,0.0386049939337768,0.343451214370995,0.076196535331944
"ILL_5209_AGL","Yellow",47.7,122.3,0.0409646288223215,0.342562268043165,0.0459498107721625
"ILL_5480_AGL","Yellow",55,126.3,0.0203423974094272,0.147083095383032,0.0525408259430919
"ILL_5639_AGL","Yellow",47,120.7,0.0374112780811144,0.269952519815776,0.0814467531000366
"ILL_5722_AGL","Red",44.3,105.7,0.0363997179935765,0.281846489281145,0.0891615408170243
"ILL_5883_AGL","Red",46.3,123.3,0.0380215488298456,0.342862335134203,0.0348101924386162
"ILL_5888_AGL","Red",41,52.7,0.0384793110691031,0.297329492603595,0.00920720522524504
"ILL_5945_AGL","Red",41.3,107.7,0.0454439716950691,0.369599963981,0.207633329072115
"ILL_6002_AGL","Yellow",47,96,0.0228190390604035,0.158243311553367,0.0472370951966156
"ILL_618_AGL","Red",46.7,120.7,0.044327611978764,0.370056728428189,0.0194727782451905
"ILL_6182_AGL","Red",47.3,119.7,0.0348201482286525,0.271521079563465,0.0152274152934146
"ILL_6211_AGL","Yellow",46.5,94.3,0.0301508796093408,0.189964314781193,0.0502635514185399
"ILL_624_AGL","Yellow",51.3,121.3,0.0293884714998181,0.220441056407152,0.0277494522352074
"ILL_6821_AGL","Red",47,127.3,0.0416763085260867,0.351230301261994,0.113530756584326
"ILL_6853_AGL","Yellow",49.3,126.7,0.0393777738836224,0.279710252374967,0.117805848968537
"ILL_7089_AGL","Yellow",45.7,121.3,0.0392323199153509,0.316243877076321,0.0222376154616832
"ILL_7558_AGL","Yellow",48.3,95,0.035289912736199,0.24877938578153,0.118308276376696
"ILL_7663_AGL","Red",44,67,0.0449807121285181,0.345904816892115,0.0628569389981776
"ILL_7668_AGL","Red",47,107.3,0.0487322730469755,0.381771254527596,0.0405033787499963
"ILL_7716_AGL","Yellow",47,90,0.0321544664155115,0.246665284712584,0.0104201660686096
"ILL_7747_AGL","Yellow",47.3,128.7,0.0692207886695446,0.339498350875491,0.0193092663667958
"ILL_7946_AGL","Red",45,120.7,0.0383582461461791,0.341451146994312,0.0335942586520081
"ILL_7978_AGL","Red",44,108.3,0.040088835707193,0.324923803646775,0.0509146259888752
"ILL_7979_AGL","Red",47,103.3,0.0494051932257207,0.35591547808482,0.183549515856193
"ILL_8007_AGL","Red",40,84.3,0.0476506202120163,0.359217176500898,0.215315414413423
"ILL_8009_AGL","Red",42.3,97,0.0527631802000339,0.387853268108396,0.0179060371558447
"ILL_8010_AGL","Red",45,95,0.0459680266276665,0.353301981945635,0.0567921347813549
"ILL_8072_AGL","Yellow",49,124,0.0337377682881169,0.240519052967824,0.118632327190242
"ILL_8174_AGL","Yellow",48.7,122.3,0.0221730766625574,0.157201254453581,0.122184994366273
"ILL_8595_AGL","Red",47.3,120.3,0.0206793991657158,0.15002930594786,0.0464165628613984
"ILL_9_AGL","Yellow",42.3,109.3,0.0382604219631771,0.298657275757519,0.0528024449485235
"ILL_975_AGL","Yellow",45.3,124.7,0.0388455768813468,0.34744965830862,0.0546724262487105
"ILL_9888_AGL","Red",43.7,123.3,0.0400550932358763,0.33812105309565,0.0222078860292478
"ILL_9932_AGL","Red",45,108.3,0.045792360266417,0.357385729084682,0.0443444214206507
"ILL_9945_AGL","Red",42.7,108.3,0.0446088469739513,0.355804639127065,0.0142582357960204
"ILL_9977_AGL","Red",43.7,106,0.0485559478277925,0.378677552221242,0.0299167278597484
"ILL_9997_AGL","Red",43.7,97.7,0.0496159400713087,0.376008511688563,0.108643237891945
"ILWL_118_AGL","Red",50,109.3,0.0882382080069542,0.359961393786573,0.0697571402664352
"Indianhead_AGL","Yellow",61.5,127.7,0.0283929512884827,0.206003866247024,0.0695728177853357
"IPL_220_AGL","Red",41,98,0.0486582765293922,0.380625439126308,0.0352561339251472
"Laird_AGL","Yellow",57.7,122.3,0.0090075380303154,0.0630089228750344,0.0167792916665428
"LIRL.22.46_AGL","Red",46,78.3,0.0383452020132229,0.280200646712545,0.0318699515707546
"PI_163589_AGL","Yellow",53.3,133.7,0.0352679491375444,0.259036692243354,0.0189644049505451
"PI_169534_LSP_AGL","Yellow",53,123,0.0339706774920624,0.245474592141421,0.0252581257971204
"PI_175754_LSP_AGL","Red",47.3,123.7,0.251244876528573,0.227565277106282,0.0345931675818377
"PI_177430_LSP_AGL","Red",51.3,127.3,0.044055391678906,0.358330350641176,0.0364928783144601
"PI_178939_LSP_AGL","Yellow",53.3,128.3,0.0326726829098921,0.235083283618837,0.0581448239571658
"PI_178952_AGL","Red",48,120.3,0.0398466892111675,0.322325500039893,0.0311950934544709
"PI_178971_LSP_AGL","Red",54,122.7,0.0496823191377426,0.378043598494557,0.118450977652386
"PI_179324_LSP_AGL","Red",49.3,137.3,0.0421711978686083,0.329731151134191,0.0559745753893812
"PI_179330_AGL","Yellow",49.3,120.3,0.0400975362395961,0.319860018593237,0.0502308490428609
"PI_181771_LSP_AGL","Red",52.7,122.3,0.0486872623295848,0.381523432798436,0.0860845445599598
"PI_181886_LSP_AGL","Yellow",49.7,130.7,0.0370850376476985,0.278431756829375,0.0594975131329768
"PI_182217_LSP_AGL","Red",47,125.3,0.0405918912826458,0.337328116446076,0.0768119345833569
"PI_193546_AGL","Red",47.3,129.3,0.0428757727157253,0.330903548141248,0.122312830925745
"PI_193547_LSP_AGL","Red",53.3,125,0.0514877611324017,0.380674266764732,0.0783994862754075
"PI_193548_LSP_AGL","Red",41.7,107,0.0421621069749974,0.373273023617052,0.184667342515764
"PI_193550_AGL","Red",40.7,106.7,0.393823911205326,0.316578141933333,0.0014597151325784
"PI_207492_LSP_AGL","Red",54,121.7,0.0484094052558783,0.386644879374289,0.0284540397839265
"PI_518731_LSP_AGL","Red",51,123,0.0331850472229388,0.247682898437647,0.055038098267666
"PI_209858_LSP_AGL","Yellow",59.7,139.7,0.0393127013091987,0.352479394510918,0.0290010613407379
"PI_211052_LSP_AGL","Red",48.3,132.3,0.0480731399915977,0.376046119272601,0.108360808283809
"PI_212100_LSP_AGL","Red",50.5,124.7,0.0499243622125935,0.377194693718299,0.131359497215839
"PI_212610_LSP_AGL","Red",53.7,123.3,0.0476908650977358,0.373651665868868,0.0932344730606748
"PI_217949_LSP_AGL","Red",45,115.3,0.0482088332688255,0.383526549569641,0.0321821106113263
"PI_238758_LSP_AGL","Yellow",50.7,122.7,0.0238591944191285,0.175564914872938,0.0181230620126231
"PI_244046_AGL","Red",41.7,91,0.0409899772240357,0.375374248967647,0.120228797712023
"PI_250156_LSP_AGL","Red",49,128,0.0484075900424921,0.371831987159074,0.0757684315048741
"PI_250158_LSP_AGL","Red",44.3,98,0.0503252696499479,0.385587691383405,0.0499038252860715
"PI_251248_LSP_AGL","Red",38,82.7,0.041506422118736,0.378843857712496,0.0762381565373536
"PI_273664_LSP_AGL","Red",51.7,137.3,0.0488913803623029,0.377776194797432,0.0400990584688748
"PI_280686_AGL","Red",44.7,97,0.0413535949074763,0.339488894844283,0.101436823469603
"PI_283604_LSP_AGL","Yellow",54,131.3,0.0367135630730319,0.275214924973856,0.0220443741508531
"PI_289066_AGL","Yellow",59.3,142,0.0394009974855186,0.347749267541463,0.0695074130339778
"PI_289073_LSP_AGL","Yellow",54,123.3,0.0276197085357391,0.211595208641342,0.0146774207933596
"PI_289079_LSP_AGL","Yellow",55.7,124,0.0281862004808447,0.209475540950333,0.0157060591556247
"PI_290716_LSP_AGL","Red",52,123,0.0484304392360065,0.389160691691269,0.013161219739154
"PI_297285_LSP_AGL","Yellow",54,116,0.189249053570662,0.145814542799467,0.0309334744490393
"PI_297287_AGL","Yellow",52,122.3,0.0299422925287316,0.21355602230146,0.147900953422898
"PI_297754_LSP_AGL","Yellow",49.5,123,0.0301011573295462,0.224793200533194,0.04543549159103
"PI_297767_AGL","Yellow",54.5,130,0.036928351737004,0.263792668784349,0.115564249762908
"PI_297772_LSP_AGL","Red",51,131.3,0.043676786436013,0.340435765796761,0.10995727880559
"PI_297783_AGL","Red",42.3,104.3,0.0415651128127379,0.380855739152129,0.0705330784529992
"PI_297787_LSP_AGL","Red",48.7,123.3,0.0467750943833873,0.379978208653667,0.0259062274242122
"PI_298023_LSP_AGL","Yellow",46.7,121,0.0399789584429248,0.308460663298386,0.0279308017730634
"PI_298121_LSP_AGL","",48,117.7,0.043474056389955,0.270161070986069,0.0162233512800007
"PI_298122_LSP_AGL","Yellow",54.3,122.7,0.0283249778380194,0.209995734007824,0.017379826201738
"PI_298357_LSP_AGL","Red",45.7,115.7,0.041826298172523,0.323568279888447,0.0416509348420029
"PI_298631_LSP_AGL","Yellow",58.3,130.3,0.0358250552049977,0.256998924210301,0.0548835052190019
"PI_298644_LSP_AGL","Yellow",59.3,138,0.0316745099941781,0.234935959635164,0.019547101826279
"PI_298645_AGL","Yellow",54,122.7,0.0426784800409417,0.273814930910952,0.0705390243394863
"PI_298921_AGL","Yellow",48.3,131.3,0.261852311761196,0.213862503830089,0.078253812056474
"PI_298922_LSP_AGL","Red",52.3,133.3,0.0359183780833448,0.262285703012488,0.0958268795690422
"PI_298923_LSP_AGL","Yellow",47,122.3,0.0391317750738934,0.311524954515507,0.0163065936908198
"PI_299116_LSP_AGL","Yellow",47,119.7,0.032300572980329,0.233356322334533,0.0344088451007382
"PI_299120_LSP_AGL","Yellow",47.7,115.3,0.0360988856634516,0.258355963417299,0.047558173066918
"PI_299121_LSP_AGL","Yellow",46.3,111.7,0.0358243685293225,0.253261052844569,0.118433139992924
"PI_299126_LSP_AGL","",44.3,115.3,0.0335499092337125,0.252550318751643,0.0272113495081265
"PI_299163_LSP_AGL","Yellow",51.5,136,0.0446312338278073,0.215025473714662,0.0751024922183211
"PI_299164_LSP_AGL","Yellow",48,122.3,0.0303261287254081,0.231855664258131,0.056144033154263
"PI_299165_AGL","Yellow",49.7,130.7,0.0329907720739733,0.241034301911767,0.0476711449101725
"PI_299177_LSP_AGL","Yellow",48.3,126.3,0.0309220871155882,0.224426318855833,0.0508759777267092
"PI_299237_LSP_AGL","Red",48,121,0.0429463375937741,0.320093825438183,0.130538964880621
"PI_299289_AGL","Red",50,119.7,0.0413727365214761,0.283905205045873,0.0269051363540419
"PI_299312_AGL","Yellow",55.7,124,0.0311266401759091,0.224850092326163,0.0887274911034673
"PI_299345_AGL","Yellow",53,132.3,0.0302311941705537,0.228696143488394,0.0318402221383192
"PI_299351_LSP_AGL","Red",49.7,123,0.0479251519615732,0.402773995072855,0.039418254466104
"PI_299366_LSP_AGL","Yellow",47.3,131.3,0.036920993286503,0.271464073718863,0.0824545808595968
"PI_299375_LSP_AGL","Yellow",50.3,130,0.195644026533168,0.237115051204627,0.0243008380727004
"PI_300250_LSP_AGL","Red",48,132,0.0437519516938384,0.351331171139975,0.0384401561389792
"PI_302398_LSP_AGL","Yellow",45.3,120.7,0.0433520255425616,0.279591157195048,0.0446565804612224
"PI_308614_LSP_AGL","Red",51.7,135.7,0.0441010464655094,0.349090825884004,0.025558393064718
"PI_311107_LSP_AGL","Yellow",53,136.7,0.0360584018717433,0.257142546428494,0.0431909194421569
"PI_312175_LSP_AGL","Yellow",56,130,0.117086058034455,0.201087978193439,0.114383991295222
"PI_320935_LSP_AGL","Red",45,125,0.0435794504928071,0.345314818575155,0.0483460030264562
"PI_320936_LSP_AGL","Red",52.3,107.7,0.0289816602316602,0.215410834942085,0.014409855901441
"PI_320937_LSP_AGL","Yellow",59.3,121.7,0.0280827632740231,0.210292394490079,0.0130333831796817
"CN_105866_AGL","",54.3,138,0.0378540697273906,0.294461075031783,0.050566791629381
"PI_320941_LSP_AGL","Yellow",50,136,0.0473903356587165,0.382078113395912,0.0232454432212435
"PI_320945_LSP_AGL","Red",51.3,133,0.0350352856494594,0.257278545386264,0.0500405806752743
"PI_320946_LSP_AGL","Yellow",48,125.3,0.0384773706469406,0.318245573379599,0.0249965067916888
"PI_320952_LSP_AGL","Yellow",61.7,128.7,0.0289576221093646,0.214287006767434,0.0142076957608802
"PI_320953_LSP_AGL","Red",59.3,137.3,0.0351785203876214,0.243004096886919,0.0326964297924588
"PI_320954_LSP_AGL","Yellow",54.7,123.3,0.0282960888545343,0.212043261463211,0.0615547898575068
"PI_329157_LSP_AGL","Yellow",46.7,121.7,0.0393149701181883,0.312450551991918,0.0230076077617602
"PI_329167_LSP_AGL","Yellow",49,119,0.0393550569713626,0.280005440791286,0.147588794382326
"PI_339266_LSP_AGL","Yellow",43,120.7,0.0357153727681697,0.278393630038169,0.0232632808807047
"PI_339283_LSP_AGL","Red",50,128.3,0.0449025984276829,0.353010450541471,0.0583796864734055
"PI_339285_AGL","Red",48.7,143,0.0444334999783176,0.355116434664635,0.0402090573688858
"PI_339289_LSP_AGL","Yellow",45,121,0.0391840770355086,0.303706535490131,0.0318075197626402
"PI_339292_LSP_AGL","Red",46.3,118,0.0387649514637707,0.306508208897882,0.0714190155395743
"PI_339296_AGL","Red",46.3,119,0.0407227557501788,0.3115014416094,0.177166606712311
"PI_343026_LSP_AGL","Red",47.7,118,0.0484163468432373,0.367765042515159,0.0836110557813341
"PI_345627_LSP_AGL","Yellow",59,125.7,0.0259787852136137,0.189280669491751,0.107617572472924
"PI_358602_LSP_AGL","Red",53,125.3,0.0285797588387607,0.210148348177407,0.14347721387651
"PI_368647_LSP_AGL","Yellow",53,127.3,0.0286399374667704,0.210127143858117,0.155657362345295
"PI_368651_LSP_AGL","Red",53,126,0.0288857842531609,0.215455383533392,0.0615696545737245
"PI_370481_LSP_AGL","Yellow",53.3,138,0.03333830935197,0.25203585170652,0.0241581367970104
"PI_374116_LSP_AGL","Yellow",54.3,120.7,0.0295616160512045,0.213969503197245,0.0208730345128981
"PI_374117_LSP_AGL","Yellow",48,124,0.246292480137223,0.230893616514395,0.00167376704611332
"PI_374118_AGL","Red",47.7,122.7,0.0402664897796211,0.3468311673257,0.0767346380590248
"PI_374120_LSP_AGL","",56.7,121.3,0.033852335202637,0.217606210899039,0.0277345875189897
"PI_374121_AGL","Yellow",50.7,121.7,0.0333992494900581,0.235864098531679,0.0453433303504803
"PI_379368_LSP_AGL","Yellow",50,122.7,0.0329576434501179,0.237595933082737,0.0327321051113813
"PI_383682_LSP_AGL","Red",48.3,122,0.0403991320558663,0.32589621344091,0.0272232412811007
"PI_420818_AGL","Yellow",51.7,130.7,0.0369763810208002,0.300750060120484,0.0233673338942286
"PI_420924_LSP_AGL","Yellow",47.7,124.3,0.0366957763696993,0.286707880196324,0.0175195545341844
"PI_420925_LSP_AGL","Red",48,124.7,0.0430063338616987,0.357504419352524,0.0884777638710099
"PI_420929_LSP_AGL","Red",50.3,127,0.0411076482586497,0.359718052018801,0.061346683830459
"PI_426202_LSP_AGL","Red",48,128.7,0.0483817349306906,0.382652261180455,0.0520473173646642
"PI_426778_LSP_AGL","Yellow",49.3,121.3,0.0493581772096848,0.338516502558457,0.125009290447636
"PI_426784_LSP_AGL","Red",46.3,102,0.0500755037363008,0.378926680363196,0.0825675527028513
"PI_426797_LSP_AGL","Red",44.3,102.3,0.0478693286723616,0.381175992713129,0.0338885800331186
"PI_426807_LSP_AGL","Red",45.7,124.3,0.0479297572186499,0.37583585975893,0.0272291871675878
"PI_431618_LSP_AGL","Yellow",49,120.7,0.0370099631795538,0.275828460038986,0.121530946852694
"PI_431622_LSP_AGL","Yellow",52,125.7,0.0496242661323462,0.397557968775385,0.066736629930998
"PI_431630_LSP_AGL","Red",48.7,136.3,0.0466553134599163,0.380157883847145,0.0660350153255224
"PI_431633_LSP_AGL","Yellow",47.3,117,0.0383844672978795,0.270614609499682,0.169175335273674
"PI_431636_LSP_AGL","Yellow",47.3,123.7,0.0389358297275628,0.299887039026718,0.0841224020192231
"PI_431643_LSP_AGL","Yellow",45.3,121.7,0.0441224836583394,0.336937977060008,0.132221650756465
"PI_431662_LSP_AGL","Red",50,122.7,0.0488272980170712,0.390794477398727,0.248716431754601
"PI_431663_LSP_AGL","Yellow",48,126,0.0506653514370817,0.401169200417779,0.0777573305348028
"PI_431679_LSP_AGL","Red",53,125.3,0.0478901762366056,0.393587725579385,0.0575264517625094
"PI_431684_LSP_AGL","Red",49,127.3,0.0483377288989497,0.385615135276516,0.0452184667342516
"PI_431705_LSP_AGL","Yellow",48,116.3,0.0492125920530873,0.398104717973618,0.0815835084892394
"PI_431710_LSP_AGL","Yellow",50.3,119,0.0471742043391905,0.398772811794185,0.0614983039358796
"PI_431714_LSP_AGL","Yellow",51,120.7,0.048610906712452,0.399829940315592,0.0909482797063921
"PI_431717_LSP_AGL","Yellow",50.3,126.7,0.0572164000735429,0.395179260893547,0.191508084919151
"PI_431728_LSP_AGL","Yellow",50.3,119,0.0523325135395921,0.399235220158479,0.084925096694979
"PI_431731_LSP_AGL","Yellow",50,121.7,0.0499278275201254,0.39549989588811,0.157619504886032
"PI_431739_LSP_AGL","Yellow",47.7,116.7,0.0494647404564491,0.399525688837395,0.0146833666798467
"PI_431753_LSP_AGL","Yellow",48,119.7,0.0691989814294109,0.4002675959333,0.058998058668062
"PI_431756_LSP_AGL","Yellow",49.3,123,0.0480266841629768,0.394922520430492,0.134549465316158
"PI_431809_LSP_AGL","Yellow",47.5,133.3,0.048005533375359,0.34022816418015,0.320884628991548
"PI_431824_LSP_AGL","Yellow",45.3,122.3,0.0389181959135444,0.32723284039551,0.00869288604411253
"PI_431863_LSP_AGL","Yellow",50.7,125,0.0722722781152671,0.344754693695459,0.286960373639507
"PI_431873_LSP_AGL","Red",48.7,131.3,0.0541477948146922,0.356384579502535,0.209708443456106
"PI_431884_LSP_AGL","Yellow",45.7,122.7,0.043119981588503,0.316115174142075,0.0699206521448299
"PI_431888_LSP_AGL","Yellow",49.3,128.7,0.0467802493881493,0.366316985845734,0.181269268388397
"PI_431923_LSP_AGL","Red",52.7,136.7,0.0469636405565378,0.363450303635944,0.226499626895623
"PI_431980_LSP_AGL","Yellow",46.7,120,0.039858492002119,0.30979839372591,0.0235011163401879
"PI_432000_LSP_AGL","Red",47,132.3,0.0473874461427451,0.372098993276949,0.143013434730518
"PI_432001_LSP_AGL","Yellow",47,123.7,0.0422089911163059,0.331164035534776,0.0258289308998802
"PI_432002_LSP_AGL","Red",49.7,135,0.0495110100407595,0.396884941346058,0.0430452452232234
"PI_432005_LSP_AGL","Yellow",47.7,122.3,0.042249081042699,0.346097224305158,0.0286532269812437
"PI_432028_LSP_AGL","Yellow",50.7,124.7,0.0523631868967459,0.396101963093709,0.0812029717540662
"PI_432033_LSP_AGL","Yellow",50.7,124,0.0490872969350541,0.40074334365227,0.0617361393953628
"PI_432085_LSP_AGL","Yellow",46,120.7,0.0393421880921137,0.31567079338931,0.0507362493942628
"PI_432106_LSP_AGL","Yellow",48.7,123.3,0.0337551456943755,0.254013717788943,0.0243186757321616
"PI_432124_LSP_AGL","Red",47.7,122,0.0487265608386185,0.398520471347619,0.0493597766725035
"PI_432145_LSP_AGL","Yellow",53.3,122.7,0.0466706516812601,0.39852007067927,0.0948160788662384
"PI_432147_LSP_AGL","Yellow",49.3,125.7,0.0477861163876173,0.397857219471519,0.140768862581644
"PI_432184_LSP_AGL","Yellow",46,116.3,0.042967414521537,0.34666099999059,0.0521573162646752
