"Name","a","b","c"
"CDC_Asterix_AGL",-0.0187716662822634,0.000337218421340274,0.00204558652125348
"CDC_Rosie_AGL",-0.0146750282064116,0.000352470560585572,0.00169075691987598
"X3156.11_AGL",-0.0138803729777879,0.000356250257589655,0.00158730410706612
"CDC_Greenstar_AGL",-0.0154056470321614,0.000429344832951,0.00168912844577084
"CDC_Cherie_AGL",-0.0174208378413679,0.000394818141746095,0.00190886594317692
"CDC_Glamis_AGL",-0.01561627916672,0.00038250619332076,0.00173496043070313
"CDC_Gold_AGL",-0.0181937958037976,0.000414708187995799,0.00191209477656577
"CDC_Imax_AGL",-0.0194152400169632,0.000279758748490445,0.00218850274315379
"CDC_Impower_AGL",-0.0175066489321135,0.000382788043520127,0.00190004378252379
"CDC_KR.1_AGL",-0.0150687008495716,0.000588140365103193,0.00149319213192524
"CDC_LeMay_AGL",-0.0170372373519495,0.00035474807515231,0.00189527390276896
"CDC_Maxim_AGL",-0.0178391620794389,0.000372200386744099,0.00197025305960811
"CDC_QG.1_AGL",-0.0169362282288128,0.000407096290008721,0.00179165492889296
"CDC_Red_Rider_AGL",-0.0164290584856289,0.000386581084973854,0.00179812882112576
"CDC_Redcoat_AGL",-0.0158726999998727,0.000281315026245441,0.00187489215175835
"CDC_Redwing_AGL",-0.0171415123174633,0.000284316106967889,0.00198365170215265
"CDC_Robin_AGL",-0.0191697706327629,0.000397759215981779,0.00203245759280827
"CDC_Rosebud_AGL",-0.016804950545586,0.00059592786675994,0.00164128680508319
"CDC_Rosetown_AGL",-0.0148253424009812,0.000334793059682081,0.0017085779394461
"CDC_Rouleau_AGL",-0.0170449261344545,0.000334689508490782,0.00190856423885645
"CDC_Royale_AGL",-0.0166472480369164,0.000427069056254193,0.00179194421172591
"CDC_Ruby_AGL",-0.0165716251177076,0.000619346711971303,0.00162896066828033
"CDC_SB.1_AGL",-0.0226834499606913,0.000495237115560387,0.00226622018039968
"CDC_Sedley_AGL",-0.0164369333669059,0.000432090013778777,0.00178387280915519
"CDC_Vantage_AGL",-0.0175361431646427,0.000524694850369989,0.00179029776647312
"CN_105604_AGL",-0.0188530590993635,0.000428111779003268,0.00210200387022675
"CN_105605_AGL",-0.0241837410412167,0.000566577746760854,0.00234348477402448
"CN_105715_AGL",-0.0251028541684223,0.000477412577712177,0.00252849609044348
"CN_105732_AGL",-0.0191076669475507,0.000558988289902811,0.00187197313864892
"CN_105767_AGL",-0.0232851407432815,0.000586641111655561,0.00228177792881719
"CN_105777_AGL",-0.0203401749417175,0.000625955284960711,0.00207907317685527
"CN_105789_AGL",-0.0199239525525083,0.000435887677817185,0.00225612071502782
"CN_105791_AGL",-0.0178325413808352,0.00082362032789461,0.00168679937263957
"CN_105862_AGL",-0.0189392168173607,0.000312546588339948,0.00208850811088657
"CN_105863_AGL",-0.0193558288893879,0.000251636877108399,0.00221678084119723
"CN_105864_AGL",-0.0172897758446795,0.000228021845194476,0.00207726442678168
"CN_105865_AGL",-0.0190166238086651,0.000275616625684726,0.00214618757334887
"CN_105895_AGL",-0.0177646589821386,0.000498972481159658,0.00198170754739302
"CN_106265_AGL",-0.0177828544003165,0.000365320725312842,0.00194445388596368
"CN_108369_AGL",-0.0167158761128132,0.000418944518643289,0.0018179154267016
"CN_108370_AGL",-0.0167100090480766,0.00047313661501811,0.00169975403734945
"Crimson_AGL",-0.0156804776087309,0.000507412144928306,0.00168744311872413
"DPL_62_AGL",-0.0189954225605622,0.00055364317906423,0.00204474368817746
"Eston_AGL",-0.0217240167128442,0.000394776078535258,0.00227146086148513
"Gudo_AGL",-0.0201991732278126,0.000266592644113004,0.00236413362144943
"IG_1046_AGL",-0.0234543602733191,0.00046816438062412,0.00233776655445275
"IG_1706_AGL",-0.0244837142828601,0.000401223915753453,0.00249501259035347
"IG_1959_AGL",-0.0223324186479011,0.000414821287694001,0.00232617481884802
"IG_4258_AGL",-0.0199293586501487,0.0004077373844909,0.00224393532904485
"IG_4781_AGL",-0.0182651124776497,0.000357959038976618,0.00196534181219934
"IG_858_AGL",-0.0224693060687009,0.000426322306123265,0.00230539760325804
"ILL_10657_AGL",-0.0193892228290189,0.000496294220651698,0.00213316558462028
"ILL_10748_AGL",-0.014193247271595,0.000680954357120068,0.00150394251907385
"ILL_11547_AGL",-0.0180054100835757,0.000604448050671315,0.00191516458689568
"ILL_11548_AGL",-0.019345883162624,0.000689471591605811,0.00192053705144021
"ILL_11553_AGL",-0.018222882904492,0.000467160271417891,0.00205614012261496
"ILL_11555_AGL",-0.0180861680717831,0.000634162671737381,0.00188933660667008
"ILL_11557_AGL",-0.0181523509957751,0.000683847825529876,0.00183651777597529
"ILL_11558_AGL",-0.0189643761007361,0.000651109520184028,0.00194150051586243
"ILL_1220_AGL",-0.0228503246804326,0.000449677066690225,0.00231023665179214
"ILL_1553_AGL",-0.0229956760225313,0.000502638408834135,0.00229802943810192
"ILL_1762_AGL",-0.0208806832407695,0.000285079080938885,0.00229584379164775
"ILL_1983_AGL",-0.0195407203835578,0.000365323058952336,0.00221242349150236
"ILL_213_AGL",-0.0232723908603942,0.000325047840567313,0.00251682851980085
"ILL_2194_AGL",-0.0217666196432822,0.000226612471930388,0.00249286591261345
"PI_431893_LSP_AGL",-0.0199138223525986,0.000641735642109948,0.00186292327584383
"ILL_2507_AGL",-0.0185995648755108,0.000454564381425879,0.00209596373388194
"ILL_2580_AGL",-0.0217887177895292,0.0003531784290291,0.00241415670957185
"ILL_28_AGL",-0.0206234969081093,0.000249843193812161,0.00237506100944116
