"Name","Origin","Cluster","P1","P2","P3","P4","P5","P6","P7","P8","STR_Group","Region"
"ILL_11547_AGL","Ethiopia",1,0,0,0,0.0208,0.49833,0,0,0.480869,"Mix","Africa"
"ILL_11548_AGL","Ethiopia",1,0,0.044685,0,0,0,0,0.369975,0.58534,"Mix","Africa"
"ILL_11548_AGL","Ethiopia",1,0,0.044685,0,0,0,0,0.369975,0.58534,"Mix","Africa"
"ILL_11553_AGL","India",2,0,0,0,0,0,0,0,1,"P8","Asia"
"ILL_11555_AGL","India",1,0,0,0,0.598333,0.11544,0,0.286227,0,"Mix","Asia"
"ILL_11557_AGL","India",1,0.083551,0,0.055978,0.820031,0,0,0.039194,0.001246,"P4","Asia"
"ILL_11558_AGL","India",1,0,0,0.099594,0.900406,0,0,0,0,"P4","Asia"
"ILL_1220_AGL","Iran",4,0.803006,0,0,0,0,0.146196,0.050798,0,"P1","Asia"
"ILL_1553_AGL","Iran",4,0.998973,0,0,0,0,0.001027,0,0,"P1","Asia"
"ILL_1762_AGL","Afghanistan",6,0,0,0.063049,0.088492,0,0.848459,0,0,"P6","Asia"
"ILL_1983_AGL","Ethiopia",2,0,0,0,1,0,0,0,0,"P4","Africa"
"ILL_1983_AGL","Ethiopia",2,0,0,0,1,0,0,0,0,"P4","Africa"
"ILL_213_AGL","Afghanistan",5,0,0,0.106178,0.070215,0,0.823607,0,0,"P6","Asia"
"ILL_2194_AGL","Pakistan",5,0,0.028724,0,0,0.592333,0,0.378943,0,"Mix","Asia"
"PI_431893_LSP_AGL","Iran",3,0.0053,0,0.018729,0,0,0.475777,0,0.500195,"Mix","Asia"
"ILL_2507_AGL","India",2,0,0,0,1,0,0,0,0,"P4","Asia"
"ILL_2580_AGL","India",2,0,0,0,0.430384,0.569616,0,0,0,"Mix","Asia"
"ILL_28_AGL","Syria",5,0,0.184508,0,0,0,0,0.815492,0,"P7","Asia"
"ILL_3025_AGL","India",2,0,0,0,1,0,0,0,0,"P4","Asia"
"ILL_313_AGL","Israel",5,0,0,0,0,0,0,0.371755,0.628245,"Mix","Asia"
"ILL_3347_AGL","India",2,0,0,0,1,0,0,0,0,"P4","Asia"
"ILL_358_AGL","Ethiopia",5,0,0,0,0,0.583704,0,0.176831,0.239464,"Mix","Africa"
"ILL_358_AGL","Ethiopia",5,0,0,0,0,0.583704,0,0.176831,0.239464,"Mix","Africa"
"ILL_3597_AGL","India",2,0,0,0,1,0,0,0,0,"P4","Asia"
"ILL_4164_AGL","India",5,0,1,0,0,0,0,0,0,"P2","Asia"
"ILL_4400_AGL","Syria",5,0,0,0,0,0,0,0.746073,0.253927,"Mix","Asia"
"ILL_4605_AGL","Argentina",1,0,0,0,0,0,0,0.735107,0.264893,"Mix","Americas"
"ILL_4609_AGL","Netherlands",5,0,0,0,1,0,0,0,0,"P4","Europe"
"ILL_4665_AGL","Hungary",3,0,0,0,0,0,0,0.577038,0.422962,"Mix","Europe"
"ILL_4671_AGL","USA",7,0,0,0,0,0,0,1,0,"P7","Americas"
"ILL_4768_AGL","Yemen",2,0,0,0,0,1,0,0,0,"P5","Asia"
"ILL_4782_AGL","Unknown",2,0.894389,0.059094,0,0,0,0,0,0.046517,"P1","ICARDA"
"ILL_4783_AGL","Czech Republic",7,0,0,0,0,0,0,0.359669,0.640331,"Mix","Europe"
"ILL_4804_AGL","Libya",5,0,0.124735,0,0,0.041709,0,0.167728,0.665827,"Mix","Africa"
"ILL_4875_AGL","Uzbekistan",8,0,0,5.6e-05,0.055916,0,0.944028,0,0,"P6","Asia"
"ILL_4956_AGL","Portugal",7,0,0,0,0,0,0,0,1,"P8","Europe"
"ILL_5058_AGL","Spain",7,0,0,0,0,0,0,0.728795,0.271205,"Mix","Europe"
"ILL_5151_AGL","India",5,0,0,0,0,0.980581,0,0.019419,0,"P5","Asia"
"ILL_5209_AGL","Jordan",5,0,0,0,0,0.908452,0,0.091547,0,"P5","Asia"
"ILL_5480_AGL","Czech Republic",7,0,0,0,0,0,0,0.329131,0.670869,"Mix","Europe"
"ILL_5639_AGL","Ethiopia",4,0,0,0,0,0,0,0.383739,0.616261,"Mix","Africa"
"ILL_5639_AGL","Ethiopia",4,0,0,0,0,0,0,0.383739,0.616261,"Mix","Africa"
"ILL_5722_AGL","Turkey",2,0.09873,0.077161,0,0,0.150746,0,0.480122,0.19324,"Mix","Asia"
"ILL_5883_AGL","Jordan",5,0,0,0,0,0.945235,0,0.054765,0,"P5","Asia"
"ILL_5888_AGL","Bangladesh",1,0,0,0,0.378498,0,0,0.412876,0.208625,"Mix","Asia"
"ILL_5945_AGL","Ethiopia",2,0,0,0,0,1,0,0,0,"P5","Africa"
"ILL_5945_AGL","Ethiopia",2,0,0,0,0,1,0,0,0,"P5","Africa"
"ILL_6002_AGL","ICARDA",1,0,0,0,0,0,0,0.311063,0.688937,"Mix","ICARDA"
"ILL_618_AGL","Tajikistan",4,0,0,0,0,0,1,0,0,"P6","Asia"
"ILL_6182_AGL","Tunisia",5,0,0.117143,0,0,0.018724,0,0.188456,0.675677,"Mix","Africa"
"ILL_6211_AGL","ICARDA",1,0,0,0,0,0,0,0.446999,0.553001,"Mix","ICARDA"
"ILL_624_AGL","Macedonia",7,0,0,0,0,0,0,0,1,"P8","Europe"
"ILL_624_AGL","Macedonia",7,0,0,0,0,0,0,0,1,"P8","Europe"
"ILL_6821_AGL","Ethiopia",5,0,0,0,0,1,0,0,0,"P5","Africa"
"ILL_6821_AGL","Ethiopia",5,0,0,0,0,1,0,0,0,"P5","Africa"
"ILL_6853_AGL","Syria",5,0,0.111213,0,0,0.050756,0,0.838031,0,"P7","Asia"
"ILL_7089_AGL","Russia",4,1,0,0,0,0,0,0,0,"P1","Europe"
"ILL_7558_AGL","India",1,0,0.007392,0,0,0,0,0.763819,0.228789,"Mix","Asia"
"ILL_7663_AGL","ICARDA",1,0.100094,0,0.120455,0.548544,0,0,0.124678,0.10623,"Mix","ICARDA"
"ILL_7668_AGL","ICARDA",2,0,0,0,0.738571,0.074502,0.009523,0.177403,0,"Mix","ICARDA"
"ILL_7716_AGL","India",1,0,0,0,0,0,0,0.744349,0.255651,"Mix","Asia"
"ILL_7747_AGL","Syria",5,0,0.688029,0.029419,0.04134,0.042828,0,0.198385,0,"Mix","Asia"
"ILL_7946_AGL","Syria",5,0,0,0,0,0.977806,0,0.022194,0,"P5","Asia"
"ILL_7978_AGL","Ethiopia",2,0,0.007009,0,0,0.593542,0,0.399449,0,"Mix","Africa"
