"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023","Canada","2021A000011124","Violent crime severity index","Index","160","units","0","v44312463","1.3","100.92","","","","2"
"2024","Canada","2021A000011124","Violent crime severity index","Index","160","units","0","v44312463","1.3","99.87","","","","2"
"1998","Canada","2021A000011124","Non-violent crime severity index","Index","160","units","0","v44312465","1.5","126.93","","","","2"
"1999","Canada","2021A000011124","Non-violent crime severity index","Index","160","units","0","v44312465","1.5","115.80","","","","2"
"2000","Canada","2021A000011124","Non-violent crime severity index","Index","160","units","0","v44312465","1.5","110.17","","","","2"
"2001","Canada","2021A000011124","Non-violent crime severity index","Index","160","units","0","v44312465","1.5","108.41","","","","2"
"2002","Canada","2021A000011124","Non-violent crime severity index","Index","160","units","0","v44312465","1.5","107.19","","","","2"
"2003","Canada","2021A000011124","Non-violent crime severity index","Index","160","units","0","v44312465","1.5","110.40","","","","2"
"2004","Canada","2021A000011124","Non-violent crime severity index","Index","160","units","0","v44312465","1.5","107.22","","","","2"
"2005","Canada","2021A000011124","Non-violent crime severity index","Index","160","units","0","v44312465","1.5","102.41","","","","2"
"2006","Canada","2021A000011124","Non-violent crime severity index","Index","160","units","0","v44312465","1.5","100.00","","","","2"
"2007","Canada","2021A000011124","Non-violent crime severity index","Index","160","units","0","v44312465","1.5","94.31","","","","2"
"2008","Canada","2021A000011124","Non-violent crime severity index","Index","160","units","0","v44312465","1.5","88.85","","","","2"
"2009","Canada","2021A000011124","Non-violent crime severity index","Index","160","units","0","v44312465","1.5","85.26","","","","2"
"2010","Canada","2021A000011124","Non-violent crime severity index","Index","160","units","0","v44312465","1.5","80.53","","","","2"
"2011","Canada","2021A000011124","Non-violent crime severity index","Index","160","units","0","v44312465","1.5","74.50","","","","2"
"2012","Canada","2021A000011124","Non-violent crime severity index","Index","160","units","0","v44312465","1.5","73.01","","","","2"
"2013","Canada","2021A000011124","Non-violent crime severity index","Index","160","units","0","v44312465","1.5","66.92","","","","2"
"2014","Canada","2021A000011124","Non-violent crime severity index","Index","160","units","0","v44312465","1.5","65.38","","","","2"
"2015","Canada","2021A000011124","Non-violent crime severity index","Index","160","units","0","v44312465","1.5","68.44","","","","2"
"2016","Canada","2021A000011124","Non-violent crime severity index","Index","160","units","0","v44312465","1.5","70.09","","","","2"
"2017","Canada","2021A000011124","Non-violent crime severity index","Index","160","units","0","v44312465","1.5","70.66","","","","2"
"2018","Canada","2021A000011124","Non-violent crime severity index","Index","160","units","0","v44312465","1.5","72.56","","","","2"
"2019","Canada","2021A000011124","Non-violent crime severity index","Index","160","units","0","v44312465","1.5","75.75","","","","2"
"2020","Canada","2021A000011124","Non-violent crime severity index","Index","160","units","0","v44312465","1.5","68.68","","","","2"
"2021","Canada","2021A000011124","Non-violent crime severity index","Index","160","units","0","v44312465","1.5","68.10","","","","2"
