"REF_DATE","GEO","DGUID","Vehicle type","Fuel type","Origin of manufacture","Sales","Seasonal adjustment","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1955-06","Canada","2021A000011124","Total, new motor vehicles","All fuel types","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v1617802378","1.1.1.1.1.1","54913","","","","0"
"1955-07","Canada","2021A000011124","Total, new motor vehicles","All fuel types","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v1617802378","1.1.1.1.1.1","47434","","","","0"
"1955-08","Canada","2021A000011124","Total, new motor vehicles","All fuel types","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v1617802378","1.1.1.1.1.1","42045","","","","0"
"1955-09","Canada","2021A000011124","Total, new motor vehicles","All fuel types","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v1617802378","1.1.1.1.1.1","31844","","","","0"
"1955-10","Canada","2021A000011124","Total, new motor vehicles","All fuel types","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v1617802378","1.1.1.1.1.1","33418","","","","0"
"1955-11","Canada","2021A000011124","Total, new motor vehicles","All fuel types","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v1617802378","1.1.1.1.1.1","28962","","","","0"
"1955-12","Canada","2021A000011124","Total, new motor vehicles","All fuel types","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v1617802378","1.1.1.1.1.1","28796","","","","0"
"1956-01","Canada","2021A000011124","Total, new motor vehicles","All fuel types","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v1617802378","1.1.1.1.1.1","21317","","","","0"
"1956-02","Canada","2021A000011124","Total, new motor vehicles","All fuel types","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v1617802378","1.1.1.1.1.1","28533","","","","0"
"1956-03","Canada","2021A000011124","Total, new motor vehicles","All fuel types","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v1617802378","1.1.1.1.1.1","43339","","","","0"
"1956-04","Canada","2021A000011124","Total, new motor vehicles","All fuel types","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v1617802378","1.1.1.1.1.1","58454","","","","0"
