"REF_DATE","GEO","DGUID","Housing estimates","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2005","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v730579","1.1.1","225481","","","","0"
"2006","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v730579","1.1.1","227395","","","","0"
"2007","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v730579","1.1.1","228343","","","","0"
"2008","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v730579","1.1.1","211056","","","","0"
"2009","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v730579","1.1.1","149081","","","","0"
"2010","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v730579","1.1.1","189930","","","","0"
"2011","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v730579","1.1.1","193950","","","","0"
"2012","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v730579","1.1.1","214827","","","","0"
"2013","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v730579","1.1.1","187923","","","","0"
"2014","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v730579","1.1.1","189329","","","","0"
"2015","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v730579","1.1.1","195535","","","","0"
"2016","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v730579","1.1.1","197916","","","","0"
"2017","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v730579","1.1.1","219763","","","","0"
"2018","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v730579","1.1.1","212843","","","","0"
"2019","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v730579","1.1.1","208685","","","","0"
"2020","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v730579","1.1.1","217880","","","","0"
"2021","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v730579","1.1.1","271198","","","","0"
"2022","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v730579","1.1.1","261849","","","","0"
"2023","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v730579","1.1.1","240267","","","","0"
