"REF_DATE","GEO","DGUID","Housing estimates","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1970","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","2055","","","","0"
"1971","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","2611","","","","0"
"1972","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","2730","","","","0"
"1973","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","3287","","","","0"
"1974","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","4068","","","","0"
"1975","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","3979","","","","0"
"1976","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","4547","","","","0"
"1977","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","3011","","","","0"
"1978","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","2294","","","","0"
"1979","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","1885","","","","0"
"1980","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","2648","","","","0"
"1981","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","3008","","","","0"
"1982","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","1563","","","","0"
"1983","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","2500","","","","0"
"1984","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","2861","","","","0"
"1985","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","1509","","","","0"
"1986","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","2217","","","","0"
"1987","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","2521","","","","0"
"1988","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","2961","","","","0"
"1989","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","3217","","","","0"
"1990","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","2434","","","","0"
"1991","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","2402","","","","0"
"1992","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","1869","","","","0"
"1993","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","1647","","","","0"
"1994","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","1649","","","","0"
"1995","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","1255","","","","0"
"1996","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","1320","","","","0"
"1997","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","1420","","","","0"
"1998","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","1558","","","","0"
"1999","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","1449","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","1282","","","","0"
"2001","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","1324","","","","0"
"2002","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","1794","","","","0"
"2003","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","2237","","","","0"
"2004","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","2187","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","2018","","","","0"
"2006","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","1993","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","1864","","","","0"
"2008","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","2498","","","","0"
"2009","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","2505","","","","0"
"2010","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","2798","","","","0"
"2011","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","2748","","","","0"
"2012","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","2347","","","","0"
"2013","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","2344","","","","0"
"2014","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","2002","","","","0"
"2015","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","1497","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","1335","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","968","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","902","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","704","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","662","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","746","","","","0"
"2022","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units","0","v732399","2.3.2","813","","","","0"
"1955","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","17","","","","0"
"1956","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","7","","","","0"
"1957","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","64","","","","0"
"1958","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","4","","","","0"
"1959","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","10","","","","0"
"1960","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","4","","","","0"
"1961","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","4","","","","0"
"1962","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","0","","","","0"
"1963","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","10","","","","0"
"1964","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","10","","","","0"
"1965","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","95","","","","0"
"1966","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","215","","","","0"
"1967","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","866","","","","0"
"1968","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","1037","","","","0"
"1969","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","679","","","","0"
"1970","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","152","","","","0"
"1971","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","818","","","","0"
"1972","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","702","","","","0"
"1973","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","651","","","","0"
"1974","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","378","","","","0"
"1975","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","852","","","","0"
"1976","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","1303","","","","0"
"1977","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","1281","","","","0"
"1978","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","1267","","","","0"
"1979","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","726","","","","0"
"1980","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","338","","","","0"
"1981","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","928","","","","0"
"1982","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","768","","","","0"
"1983","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","676","","","","0"
"1984","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","273","","","","0"
"1985","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","343","","","","0"
"1986","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","183","","","","0"
"1987","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","315","","","","0"
"1988","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","259","","","","0"
"1989","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","566","","","","0"
"1990","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","693","","","","0"
"1991","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","817","","","","0"
"1992","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","687","","","","0"
"1993","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","810","","","","0"
"1994","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","941","","","","0"
"1995","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","494","","","","0"
"1996","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","638","","","","0"
"1997","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","568","","","","0"
"1998","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","416","","","","0"
"1999","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","305","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","116","","","","0"
"2001","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","134","","","","0"
"2002","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","240","","","","0"
"2003","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","369","","","","0"
"2004","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","548","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","597","","","","0"
"2006","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","414","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","403","","","","0"
"2008","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","461","","","","0"
"2009","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","515","","","","0"
"2010","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","570","","","","0"
"2011","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","722","","","","0"
"2012","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","873","","","","0"
"2013","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","969","","","","0"
"2014","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","481","","","","0"
"2015","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","552","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","443","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","339","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","442","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","275","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","196","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","227","","","","0"
"2022","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units","0","v732443","2.3.4","317","","","","0"
"1955","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","214","","","","0"
"1956","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","114","","","","0"
"1957","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","126","","","","0"
"1958","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","227","","","","0"
"1959","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","434","","","","0"
"1960","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","272","","","","0"
"1961","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","910","","","","0"
"1962","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","377","","","","0"
"1963","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","529","","","","0"
"1964","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","373","","","","0"
"1965","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","643","","","","0"
"1966","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","413","","","","0"
"1967","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","459","","","","0"
"1968","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","366","","","","0"
"1969","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","767","","","","0"
"1970","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","784","","","","0"
"1971","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","1363","","","","0"
"1972","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","1079","","","","0"
"1973","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","2122","","","","0"
"1974","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","1334","","","","0"
"1975","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","847","","","","0"
"1976","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","842","","","","0"
"1977","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","824","","","","0"
"1978","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","1210","","","","0"
"1979","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","1068","","","","0"
"1980","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","475","","","","0"
"1981","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","203","","","","0"
"1982","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","248","","","","0"
"1983","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","673","","","","0"
"1984","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","643","","","","0"
"1985","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","788","","","","0"
"1986","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","1110","","","","0"
"1987","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","933","","","","0"
"1988","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","1151","","","","0"
"1989","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","815","","","","0"
"1990","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","762","","","","0"
"1991","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","553","","","","0"
"1992","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","644","","","","0"
"1993","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","645","","","","0"
"1994","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","669","","","","0"
"1995","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","422","","","","0"
"1996","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","554","","","","0"
"1997","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","470","","","","0"
"1998","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","524","","","","0"
"1999","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","616","","","","0"
"2000","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","710","","","","0"
"2001","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","675","","","","0"
"2002","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","775","","","","0"
"2003","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","814","","","","0"
"2004","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","919","","","","0"
"2005","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","862","","","","0"
"2006","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","738","","","","0"
"2007","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","750","","","","0"
"2008","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","712","","","","0"
"2009","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","877","","","","0"
"2010","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","756","","","","0"
"2011","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","940","","","","0"
"2012","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","941","","","","0"
"2013","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","636","","","","0"
"2014","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","511","","","","0"
"2015","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","558","","","","0"
"2016","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","556","","","","0"
"2017","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","911","","","","0"
"2018","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","1089","","","","0"
"2019","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","1504","","","","0"
"2020","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","1240","","","","0"
"2021","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","1260","","","","0"
"2022","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","1318","","","","0"
"2023","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","1139","","","","0"
"2024","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","1694","","","","0"
"2025","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units","0","v730582","3.1.1","1769","","","","0"
"1955","Prince Edward Island","2016A000211","Housing starts","Single-detached","Units","300","units","0","v730527","3.1.2","201","","","","0"
"1956","Prince Edward Island","2016A000211","Housing starts","Single-detached","Units","300","units","0","v730527","3.1.2","104","","","","0"
"1957","Prince Edward Island","2016A000211","Housing starts","Single-detached","Units","300","units","0","v730527","3.1.2","115","","","","0"
"1958","Prince Edward Island","2016A000211","Housing starts","Single-detached","Units","300","units","0","v730527","3.1.2","201","","","","0"
"1959","Prince Edward Island","2016A000211","Housing starts","Single-detached","Units","300","units","0","v730527","3.1.2","306","","","","0"
"1960","Prince Edward Island","2016A000211","Housing starts","Single-detached","Units","300","units","0","v730527","3.1.2","247","","","","0"
"1961","Prince Edward Island","2016A000211","Housing starts","Single-detached","Units","300","units","0","v730527","3.1.2","576","","","","0"
"1962","Prince Edward Island","2016A000211","Housing starts","Single-detached","Units","300","units","0","v730527","3.1.2","342","","","","0"
"1963","Prince Edward Island","2016A000211","Housing starts","Single-detached","Units","300","units","0","v730527","3.1.2","440","","","","0"
"1964","Prince Edward Island","2016A000211","Housing starts","Single-detached","Units","300","units","0","v730527","3.1.2","270","","","","0"
"1965","Prince Edward Island","2016A000211","Housing starts","Single-detached","Units","300","units","0","v730527","3.1.2","542","","","","0"
"1966","Prince Edward Island","2016A000211","Housing starts","Single-detached","Units","300","units","0","v730527","3.1.2","265","","","","0"
"1967","Prince Edward Island","2016A000211","Housing starts","Single-detached","Units","300","units","0","v730527","3.1.2","421","","","","0"
"1968","Prince Edward Island","2016A000211","Housing starts","Single-detached","Units","300","units","0","v730527","3.1.2","265","","","","0"
"1969","Prince Edward Island","2016A000211","Housing starts","Single-detached","Units","300","units","0","v730527","3.1.2","579","","","","0"
"1970","Prince Edward Island","2016A000211","Housing starts","Single-detached","Units","300","units","0","v730527","3.1.2","625","","","","0"
"1971","Prince Edward Island","2016A000211","Housing starts","Single-detached","Units","300","units","0","v730527","3.1.2","1285","","","","0"
"1972","Prince Edward Island","2016A000211","Housing starts","Single-detached","Units","300","units","0","v730527","3.1.2","901","","","","0"
"1973","Prince Edward Island","2016A000211","Housing starts","Single-detached","Units","300","units","0","v730527","3.1.2","1970","","","","0"
"1974","Prince Edward Island","2016A000211","Housing starts","Single-detached","Units","300","units","0","v730527","3.1.2","1208","","","","0"
"1975","Prince Edward Island","2016A000211","Housing starts","Single-detached","Units","300","units","0","v730527","3.1.2","733","","","","0"
"1976","Prince Edward Island","2016A000211","Housing starts","Single-detached","Units","300","units","0","v730527","3.1.2","746","","","","0"
"1977","Prince Edward Island","2016A000211","Housing starts","Single-detached","Units","300","units","0","v730527","3.1.2","577","","","","0"
"1978","Prince Edward Island","2016A000211","Housing starts","Single-detached","Units","300","units","0","v730527","3.1.2","990","","","","0"
"1979","Prince Edward Island","2016A000211","Housing starts","Single-detached","Units","300","units","0","v730527","3.1.2","801","","","","0"
"1980","Prince Edward Island","2016A000211","Housing starts","Single-detached","Units","300","units","0","v730527","3.1.2","348","","","","0"
"1981","Prince Edward Island","2016A000211","Housing starts","Single-detached","Units","300","units","0","v730527","3.1.2","201","","","","0"
"1982","Prince Edward Island","2016A000211","Housing starts","Single-detached","Units","300","units","0","v730527","3.1.2","179","","","","0"
"1983","Prince Edward Island","2016A000211","Housing starts","Single-detached","Units","300","units","0","v730527","3.1.2","380","","","","0"
"1984","Prince Edward Island","2016A000211","Housing starts","Single-detached","Units","300","units","0","v730527","3.1.2","416","","","","0"
"1985","Prince Edward Island","2016A000211","Housing starts","Single-detached","Units","300","units","0","v730527","3.1.2","559","","","","0"
"1986","Prince Edward Island","2016A000211","Housing starts","Single-detached","Units","300","units","0","v730527","3.1.2","783","","","","0"
"1987","Prince Edward Island","2016A000211","Housing starts","Single-detached","Units","300","units","0","v730527","3.1.2","699","","","","0"
"1988","Prince Edward Island","2016A000211","Housing starts","Single-detached","Units","300","units","0","v730527","3.1.2","704","","","","0"
"1989","Prince Edward Island","2016A000211","Housing starts","Single-detached","Units","300","units","0","v730527","3.1.2","456","","","","0"
"1990","Prince Edward Island","2016A000211","Housing starts","Single-detached","Units","300","units","0","v730527","3.1.2","483","","","","0"
"1991","Prince Edward Island","2016A000211","Housing starts","Single-detached","Units","300","units","0","v730527","3.1.2","376","","","","0"
"1992","Prince Edward Island","2016A000211","Housing starts","Single-detached","Units","300","units","0","v730527","3.1.2","421","","","","0"
"1993","Prince Edward Island","2016A000211","Housing starts","Single-detached","Units","300","units","0","v730527","3.1.2","460","","","","0"
"1994","Prince Edward Island","2016A000211","Housing starts","Single-detached","Units","300","units","0","v730527","3.1.2","454","","","","0"
"1995","Prince Edward Island","2016A000211","Housing starts","Single-detached","Units","300","units","0","v730527","3.1.2","364","","","","0"
"1996","Prince Edward Island","2016A000211","Housing starts","Single-detached","Units","300","units","0","v730527","3.1.2","430","","","","0"
"1997","Prince Edward Island","2016A000211","Housing starts","Single-detached","Units","300","units","0","v730527","3.1.2","374","","","","0"
