"REF_DATE","GEO","DGUID","Income concept","Economic family type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1976","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96411851","1.4.1","58600","","","","0"
"1977","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96411851","1.4.1","58700","","","","0"
"1978","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96411851","1.4.1","58600","","","","0"
"1979","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96411851","1.4.1","58800","","","","0"
"1980","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96411851","1.4.1","59800","","","","0"
"1981","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96411851","1.4.1","58300","","","","0"
"1982","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96411851","1.4.1","54600","","","","0"
"1983","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96411851","1.4.1","52100","","","","0"
"1984","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96411851","1.4.1","52500","","","","0"
"1985","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96411851","1.4.1","53500","","","","0"
"1986","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96411851","1.4.1","54200","","","","0"
"1987","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96411851","1.4.1","54200","","","","0"
"1988","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96411851","1.4.1","55800","","","","0"
"1989","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96411851","1.4.1","56800","","","","0"
"1990","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96411851","1.4.1","52400","","","","0"
"1991","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96411851","1.4.1","48800","","","","0"
"1992","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96411851","1.4.1","47400","","","","0"
"1993","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96411851","1.4.1","46100","A","","","0"
"1994","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96411851","1.4.1","46800","A","","","0"
"1995","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96411851","1.4.1","46900","A","","","0"
"1996","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96411851","1.4.1","46000","A","","","0"
"1997","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96411851","1.4.1","46300","A","","","0"
"1998","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96411851","1.4.1","47300","A","","","0"
"1999","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96411851","1.4.1","50300","A","","","0"
