"REF_DATE","GEO","DGUID","Income concept","Economic family type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1978","Quebec","2016A000224","Median government transfers","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413331","7.6.1","4200","","","","0"
"1979","Quebec","2016A000224","Median government transfers","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413331","7.6.1","2800","","","","0"
"1980","Quebec","2016A000224","Median government transfers","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413331","7.6.1","3500","","","","0"
"1981","Quebec","2016A000224","Median government transfers","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413331","7.6.1","3600","","","","0"
"1982","Quebec","2016A000224","Median government transfers","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413331","7.6.1","5600","","","","0"
"1983","Quebec","2016A000224","Median government transfers","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413331","7.6.1","5500","","","","0"
"1984","Quebec","2016A000224","Median government transfers","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413331","7.6.1","5900","","","","0"
"1985","Quebec","2016A000224","Median government transfers","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413331","7.6.1","6000","","","","0"
"1986","Quebec","2016A000224","Median government transfers","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413331","7.6.1","4800","","","","0"
"1987","Quebec","2016A000224","Median government transfers","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413331","7.6.1","4400","","","","0"
"1988","Quebec","2016A000224","Median government transfers","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413331","7.6.1","4900","","","","0"
"1989","Quebec","2016A000224","Median government transfers","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413331","7.6.1","5100","","","","0"
"1990","Quebec","2016A000224","Median government transfers","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413331","7.6.1","6600","","","","0"
"1991","Quebec","2016A000224","Median government transfers","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413331","7.6.1","8300","","","","0"
"1992","Quebec","2016A000224","Median government transfers","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413331","7.6.1","8200","","","","0"
"1993","Quebec","2016A000224","Median government transfers","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413331","7.6.1","8400","B","","","0"
"1994","Quebec","2016A000224","Median government transfers","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413331","7.6.1","8000","B","","","0"
"1995","Quebec","2016A000224","Median government transfers","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413331","7.6.1","7500","B","","","0"
"1996","Quebec","2016A000224","Median government transfers","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413331","7.6.1","7600","B","","","0"
"1997","Quebec","2016A000224","Median government transfers","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413331","7.6.1","7000","B","","","0"
"1998","Quebec","2016A000224","Median government transfers","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413331","7.6.1","7400","C","","","0"
"1999","Quebec","2016A000224","Median government transfers","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413331","7.6.1","6000","C","","","0"
"2000","Quebec","2016A000224","Median government transfers","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413331","7.6.1","5400","C","","","0"
"2001","Quebec","2016A000224","Median government transfers","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413331","7.6.1","6400","C","","","0"
"2002","Quebec","2016A000224","Median government transfers","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413331","7.6.1","6500","C","","","0"
"2003","Quebec","2016A000224","Median government transfers","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413331","7.6.1","5800","C","","","0"
"2004","Quebec","2016A000224","Median government transfers","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413331","7.6.1","6100","C","","","0"
"2005","Quebec","2016A000224","Median government transfers","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413331","7.6.1","7000","C","","","0"
"2006","Quebec","2016A000224","Median government transfers","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413331","7.6.1","7300","C","","","0"
"2007","Quebec","2016A000224","Median government transfers","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413331","7.6.1","7900","B","","","0"
"2008","Quebec","2016A000224","Median government transfers","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413331","7.6.1","8000","B","","","0"
"2009","Quebec","2016A000224","Median government transfers","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413331","7.6.1","8600","B","","","0"
"2010","Quebec","2016A000224","Median government transfers","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413331","7.6.1","8400","B","","","0"
"2011","Quebec","2016A000224","Median government transfers","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413331","7.6.1","7900","B","","","0"
"2012","Quebec","2016A000224","Median government transfers","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413331","7.6.1","8300","B","","","0"
"2013","Quebec","2016A000224","Median government transfers","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413331","7.6.1","8700","B","","","0"
"2014","Quebec","2016A000224","Median government transfers","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413331","7.6.1","9000","C","","","0"
"2015","Quebec","2016A000224","Median government transfers","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413331","7.6.1","9500","B","","","0"
"2016","Quebec","2016A000224","Median government transfers","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413331","7.6.1","9900","B","","","0"
"2017","Quebec","2016A000224","Median government transfers","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413331","7.6.1","10000","B","","","0"
"2018","Quebec","2016A000224","Median government transfers","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413331","7.6.1","9900","B","","","0"
"2019","Quebec","2016A000224","Median government transfers","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413331","7.6.1","10100","B","","","0"
"2020","Quebec","2016A000224","Median government transfers","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413331","7.6.1","16800","A","","","0"
"1976","Quebec","2016A000224","Median government transfers","Economic families","2020 constant dollars","425","units","0","v96413332","7.6.2","3500","","","","0"
"1977","Quebec","2016A000224","Median government transfers","Economic families","2020 constant dollars","425","units","0","v96413332","7.6.2","4100","","","","0"
"1978","Quebec","2016A000224","Median government transfers","Economic families","2020 constant dollars","425","units","0","v96413332","7.6.2","4300","","","","0"
"1979","Quebec","2016A000224","Median government transfers","Economic families","2020 constant dollars","425","units","0","v96413332","7.6.2","3100","","","","0"
