"REF_DATE","GEO","DGUID","Type of building","Type of work","Variables","Seasonal adjustment, value type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-11","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","123831","","","","0"
"2020-12","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","189345","","","","0"
"2021-01","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","89451","","","","0"
"2021-02","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","94536","","","","0"
"2021-03","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","174959","","","","0"
"2021-04","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","63639","","","","0"
"2021-05","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","158309","","","","0"
"2021-06","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","256272","","","","0"
"2021-07","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","157394","","","","0"
"2021-08","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","138193","","","","0"
"2021-09","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","145341","","","","0"
"2021-10","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","205970","","","","0"
"2021-11","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","299695","","","","0"
"2021-12","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","187973","","","","0"
"2022-01","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","95831","","","","0"
"2022-02","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","94152","","","","0"
"2022-03","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","141435","","","","0"
"2022-04","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","208006","","","","0"
"2022-05","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","258062","","","","0"
"2022-06","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","289467","","","","0"
"2022-07","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","132692","","","","0"
"2022-08","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","158468","","","","0"
"2022-09","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","281901","","","","0"
"2022-10","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","173335","","","","0"
"2022-11","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","186322","","","","0"
"2022-12","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","148067","","","","0"
"2023-01","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","79250","","","","0"
"2023-02","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","102175","","","","0"
"2023-03","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","178969","","","","0"
"2023-04","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","128927","","","","0"
"2023-05","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","182174","","","","0"
"2023-06","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","240807","","","","0"
"2023-07","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","218547","","","","0"
"2023-08","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","186106","","","","0"
"2023-09","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","340294","","","","0"
"2023-10","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","231470","","","","0"
"2023-11","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","315295","","","","0"
"2023-12","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","119585","","","","0"
"2024-01","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","189559","","","","0"
"2024-02","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","209034","","","","0"
"2024-03","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","150359","","","","0"
"2024-04","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","296286","","","","0"
"2024-05","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","300007","","","","0"
"2024-06","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","220330","","","","0"
"2024-07","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","229701","","","","0"
"2024-08","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","156669","","","","0"
"2024-09","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","350285","","","","0"
"2024-10","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","302207","","","","0"
"2024-11","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","274042","","","","0"
"2024-12","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","148562","","","","0"
"2025-01","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","274079","","","","0"
"2025-02","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","203226","","","","0"
"2025-03","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","234964","","","","0"
"2025-04","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107902","4.1.3.1.1","231343","","","","0"
"2018-12","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","99","","","","0"
"2019-01","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","97","","","","0"
"2019-02","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","104","","","","0"
"2019-03","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","190","","","","0"
"2019-04","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","198","","","","0"
"2019-05","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","335","","","","0"
"2019-06","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","298","","","","0"
"2019-07","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","406","","","","0"
"2019-08","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","284","","","","0"
"2019-09","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","291","","","","0"
"2019-10","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","336","","","","0"
"2019-11","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","251","","","","0"
"2019-12","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","132","","","","0"
"2020-01","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","146","","","","0"
"2020-02","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","142","","","","0"
"2020-03","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","205","","","","0"
"2020-04","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","241","","","","0"
"2020-05","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","275","","","","0"
"2020-06","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","353","","","","0"
"2020-07","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","352","","","","0"
"2020-08","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","311","","","","0"
"2020-09","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","331","","","","0"
"2020-10","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","419","","","","0"
"2020-11","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","314","","","","0"
"2020-12","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","246","","","","0"
"2021-01","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","186","","","","0"
"2021-02","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","191","","","","0"
"2021-03","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","239","","","","0"
"2021-04","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","266","","","","0"
"2021-05","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","457","","","","0"
"2021-06","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","475","","","","0"
"2021-07","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","308","","","","0"
"2021-08","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","308","","","","0"
"2021-09","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","301","","","","0"
"2021-10","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","383","","","","0"
"2021-11","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","375","","","","0"
"2021-12","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","244","","","","0"
"2022-01","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","170","","","","0"
"2022-02","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","199","","","","0"
"2022-03","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","411","","","","0"
"2022-04","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","407","","","","0"
"2022-05","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","415","","","","0"
"2022-06","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","492","","","","0"
"2022-07","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","380","","","","0"
"2022-08","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","399","","","","0"
"2022-09","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","364","","","","0"
"2022-10","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","319","","","","0"
"2022-11","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","294","","","","0"
"2022-12","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","202","","","","0"
"2023-01","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","195","","","","0"
"2023-02","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","189","","","","0"
"2023-03","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","226","","","","0"
"2023-04","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","342","","","","0"
"2023-05","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","367","","","","0"
"2023-06","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","417","","","","0"
"2023-07","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","336","","","","0"
"2023-08","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","435","","","","0"
"2023-09","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","372","","","","0"
"2023-10","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","370","","","","0"
"2023-11","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","377","","","","0"
"2023-12","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","222","","","","0"
"2024-01","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","252","","","","0"
"2024-02","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","202","","","","0"
"2024-03","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","273","","","","0"
"2024-04","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","450","","","","0"
"2024-05","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","428","","","","0"
"2024-06","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","410","","","","0"
"2024-07","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","398","","","","0"
"2024-08","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","349","","","","0"
"2024-09","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","299","","","","0"
"2024-10","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","441","","","","0"
"2024-11","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","317","","","","0"
"2024-12","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","207","","","","0"
"2025-01","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","218","","","","0"
"2025-02","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","202","","","","0"
"2025-03","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","328","","","","0"
"2025-04","Nova Scotia","2021A000212","Total residential and non-residential","New dwelling units total","Number of permits","Unadjusted, current","Number","223","units","0","v1675325737","4.1.3.5.1","385","","","","0"
"2018-12","Nova Scotia","2021A000212","Total residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107951","4.4.3.1.1","30075","","","","0"
"2019-01","Nova Scotia","2021A000212","Total residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107951","4.4.3.1.1","143062","","","","0"
"2019-02","Nova Scotia","2021A000212","Total residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107951","4.4.3.1.1","41825","","","","0"
"2019-03","Nova Scotia","2021A000212","Total residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107951","4.4.3.1.1","41957","","","","0"
"2019-04","Nova Scotia","2021A000212","Total residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107951","4.4.3.1.1","96188","","","","0"
"2019-05","Nova Scotia","2021A000212","Total residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107951","4.4.3.1.1","104140","","","","0"
"2019-06","Nova Scotia","2021A000212","Total residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107951","4.4.3.1.1","159921","","","","0"
"2019-07","Nova Scotia","2021A000212","Total residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107951","4.4.3.1.1","99060","","","","0"
"2019-08","Nova Scotia","2021A000212","Total residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107951","4.4.3.1.1","80097","","","","0"
"2019-09","Nova Scotia","2021A000212","Total residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107951","4.4.3.1.1","103088","","","","0"
"2019-10","Nova Scotia","2021A000212","Total residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107951","4.4.3.1.1","125044","","","","0"
"2019-11","Nova Scotia","2021A000212","Total residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107951","4.4.3.1.1","67326","","","","0"
"2019-12","Nova Scotia","2021A000212","Total residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107951","4.4.3.1.1","27658","","","","0"
"2020-01","Nova Scotia","2021A000212","Total residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107951","4.4.3.1.1","56037","","","","0"
"2020-02","Nova Scotia","2021A000212","Total residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107951","4.4.3.1.1","34022","","","","0"
"2020-03","Nova Scotia","2021A000212","Total residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107951","4.4.3.1.1","72879","","","","0"
"2020-04","Nova Scotia","2021A000212","Total residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107951","4.4.3.1.1","72381","","","","0"
"2020-05","Nova Scotia","2021A000212","Total residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107951","4.4.3.1.1","84539","","","","0"
"2020-06","Nova Scotia","2021A000212","Total residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107951","4.4.3.1.1","114569","","","","0"
"2020-07","Nova Scotia","2021A000212","Total residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107951","4.4.3.1.1","115825","","","","0"
"2020-08","Nova Scotia","2021A000212","Total residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107951","4.4.3.1.1","83615","","","","0"
"2020-09","Nova Scotia","2021A000212","Total residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107951","4.4.3.1.1","76842","","","","0"
"2020-10","Nova Scotia","2021A000212","Total residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107951","4.4.3.1.1","145306","","","","0"
"2020-11","Nova Scotia","2021A000212","Total residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107951","4.4.3.1.1","107616","","","","0"
"2020-12","Nova Scotia","2021A000212","Total residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107951","4.4.3.1.1","117115","","","","0"
"2021-01","Nova Scotia","2021A000212","Total residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107951","4.4.3.1.1","86605","","","","0"
"2021-02","Nova Scotia","2021A000212","Total residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675107951","4.4.3.1.1","60806","","","","0"
