"REF_DATE","GEO","DGUID","Family type","Age of older adult","Family income","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008","Prince Edward Island","2016A000211","Lone-parent families","Total all ages","Median total income","Dollars","81","units","0","v21247431","4.2.1.23","32440","","","","0"
"2009","Prince Edward Island","2016A000211","Lone-parent families","Total all ages","Median total income","Dollars","81","units","0","v21247431","4.2.1.23","33620","","","","0"
"2010","Prince Edward Island","2016A000211","Lone-parent families","Total all ages","Median total income","Dollars","81","units","0","v21247431","4.2.1.23","34240","","","","0"
"2011","Prince Edward Island","2016A000211","Lone-parent families","Total all ages","Median total income","Dollars","81","units","0","v21247431","4.2.1.23","35560","","","","0"
"2012","Prince Edward Island","2016A000211","Lone-parent families","Total all ages","Median total income","Dollars","81","units","0","v21247431","4.2.1.23","35900","","","","0"
"2013","Prince Edward Island","2016A000211","Lone-parent families","Total all ages","Median total income","Dollars","81","units","0","v21247431","4.2.1.23","37230","","","","0"
"2014","Prince Edward Island","2016A000211","Lone-parent families","Total all ages","Median total income","Dollars","81","units","0","v21247431","4.2.1.23","38170","","","","0"
"2015","Prince Edward Island","2016A000211","Lone-parent families","Total all ages","Median total income","Dollars","81","units","0","v21247431","4.2.1.23","40180","","","","0"
"2016","Prince Edward Island","2016A000211","Lone-parent families","Total all ages","Median total income","Dollars","81","units","0","v21247431","4.2.1.23","41680","","","","0"
"2017","Prince Edward Island","2016A000211","Lone-parent families","Total all ages","Median total income","Dollars","81","units","0","v21247431","4.2.1.23","44240","","","","0"
"2018","Prince Edward Island","2016A000211","Lone-parent families","Total all ages","Median total income","Dollars","81","units","0","v21247431","4.2.1.23","46060","","","","0"
"2019","Prince Edward Island","2016A000211","Lone-parent families","Total all ages","Median total income","Dollars","81","units","0","v21247431","4.2.1.23","48130","","","","0"
"2020","Prince Edward Island","2016A000211","Lone-parent families","Total all ages","Median total income","Dollars","81","units","0","v21247431","4.2.1.23","54250","","","","0"
"2021","Prince Edward Island","2016A000211","Lone-parent families","Total all ages","Median total income","Dollars","81","units","0","v21247431","4.2.1.23","54840","","","","0"
"2022","Prince Edward Island","2016A000211","Lone-parent families","Total all ages","Median total income","Dollars","81","units","0","v21247431","4.2.1.23","56790","","","","0"
"2000","Prince Edward Island","2016A000211","Lone-parent families","0 to 24 years","Median total income","Dollars","81","units","0","v21247447","4.2.2.23","13200","","","","0"
"2001","Prince Edward Island","2016A000211","Lone-parent families","0 to 24 years","Median total income","Dollars","81","units","0","v21247447","4.2.2.23","14200","","","","0"
"2002","Prince Edward Island","2016A000211","Lone-parent families","0 to 24 years","Median total income","Dollars","81","units","0","v21247447","4.2.2.23","14500","","","","0"
"2003","Prince Edward Island","2016A000211","Lone-parent families","0 to 24 years","Median total income","Dollars","81","units","0","v21247447","4.2.2.23","14500","","","","0"
"2004","Prince Edward Island","2016A000211","Lone-parent families","0 to 24 years","Median total income","Dollars","81","units","0","v21247447","4.2.2.23","14400","","","","0"
"2005","Prince Edward Island","2016A000211","Lone-parent families","0 to 24 years","Median total income","Dollars","81","units","0","v21247447","4.2.2.23","14700","","","","0"
"2006","Prince Edward Island","2016A000211","Lone-parent families","0 to 24 years","Median total income","Dollars","81","units","0","v21247447","4.2.2.23","16600","","","","0"
"2007","Prince Edward Island","2016A000211","Lone-parent families","0 to 24 years","Median total income","Dollars","81","units","0","v21247447","4.2.2.23","17820","","","","0"
"2008","Prince Edward Island","2016A000211","Lone-parent families","0 to 24 years","Median total income","Dollars","81","units","0","v21247447","4.2.2.23","16990","","","","0"
"2009","Prince Edward Island","2016A000211","Lone-parent families","0 to 24 years","Median total income","Dollars","81","units","0","v21247447","4.2.2.23","17340","","","","0"
"2010","Prince Edward Island","2016A000211","Lone-parent families","0 to 24 years","Median total income","Dollars","81","units","0","v21247447","4.2.2.23","18610","","","","0"
"2011","Prince Edward Island","2016A000211","Lone-parent families","0 to 24 years","Median total income","Dollars","81","units","0","v21247447","4.2.2.23","19260","","","","0"
"2012","Prince Edward Island","2016A000211","Lone-parent families","0 to 24 years","Median total income","Dollars","81","units","0","v21247447","4.2.2.23","19450","","","","0"
"2013","Prince Edward Island","2016A000211","Lone-parent families","0 to 24 years","Median total income","Dollars","81","units","0","v21247447","4.2.2.23","19110","","","","0"
"2014","Prince Edward Island","2016A000211","Lone-parent families","0 to 24 years","Median total income","Dollars","81","units","0","v21247447","4.2.2.23","19740","","","","0"
"2015","Prince Edward Island","2016A000211","Lone-parent families","0 to 24 years","Median total income","Dollars","81","units","0","v21247447","4.2.2.23","21990","","","","0"
"2016","Prince Edward Island","2016A000211","Lone-parent families","0 to 24 years","Median total income","Dollars","81","units","0","v21247447","4.2.2.23","23340","","","","0"
"2017","Prince Edward Island","2016A000211","Lone-parent families","0 to 24 years","Median total income","Dollars","81","units","0","v21247447","4.2.2.23","24880","","","","0"
"2018","Prince Edward Island","2016A000211","Lone-parent families","0 to 24 years","Median total income","Dollars","81","units","0","v21247447","4.2.2.23","26100","","","","0"
"2019","Prince Edward Island","2016A000211","Lone-parent families","0 to 24 years","Median total income","Dollars","81","units","0","v21247447","4.2.2.23","25230","","","","0"
"2020","Prince Edward Island","2016A000211","Lone-parent families","0 to 24 years","Median total income","Dollars","81","units","0","v21247447","4.2.2.23","31990","","","","0"
"2021","Prince Edward Island","2016A000211","Lone-parent families","0 to 24 years","Median total income","Dollars","81","units","0","v21247447","4.2.2.23","33920","","","","0"
"2022","Prince Edward Island","2016A000211","Lone-parent families","0 to 24 years","Median total income","Dollars","81","units","0","v21247447","4.2.2.23","33120","","","","0"
"2000","Prince Edward Island","2016A000211","Lone-parent families","25 to 34 years","Median total income","Dollars","81","units","0","v21247463","4.2.3.23","19900","","","","0"
"2001","Prince Edward Island","2016A000211","Lone-parent families","25 to 34 years","Median total income","Dollars","81","units","0","v21247463","4.2.3.23","21000","","","","0"
"2002","Prince Edward Island","2016A000211","Lone-parent families","25 to 34 years","Median total income","Dollars","81","units","0","v21247463","4.2.3.23","21200","","","","0"
"2003","Prince Edward Island","2016A000211","Lone-parent families","25 to 34 years","Median total income","Dollars","81","units","0","v21247463","4.2.3.23","21900","","","","0"
"2004","Prince Edward Island","2016A000211","Lone-parent families","25 to 34 years","Median total income","Dollars","81","units","0","v21247463","4.2.3.23","22300","","","","0"
"2005","Prince Edward Island","2016A000211","Lone-parent families","25 to 34 years","Median total income","Dollars","81","units","0","v21247463","4.2.3.23","22500","","","","0"
"2006","Prince Edward Island","2016A000211","Lone-parent families","25 to 34 years","Median total income","Dollars","81","units","0","v21247463","4.2.3.23","24400","","","","0"
"2007","Prince Edward Island","2016A000211","Lone-parent families","25 to 34 years","Median total income","Dollars","81","units","0","v21247463","4.2.3.23","25440","","","","0"
"2008","Prince Edward Island","2016A000211","Lone-parent families","25 to 34 years","Median total income","Dollars","81","units","0","v21247463","4.2.3.23","26260","","","","0"
"2009","Prince Edward Island","2016A000211","Lone-parent families","25 to 34 years","Median total income","Dollars","81","units","0","v21247463","4.2.3.23","26100","","","","0"
"2010","Prince Edward Island","2016A000211","Lone-parent families","25 to 34 years","Median total income","Dollars","81","units","0","v21247463","4.2.3.23","27530","","","","0"
"2011","Prince Edward Island","2016A000211","Lone-parent families","25 to 34 years","Median total income","Dollars","81","units","0","v21247463","4.2.3.23","28150","","","","0"
"2012","Prince Edward Island","2016A000211","Lone-parent families","25 to 34 years","Median total income","Dollars","81","units","0","v21247463","4.2.3.23","27970","","","","0"
"2013","Prince Edward Island","2016A000211","Lone-parent families","25 to 34 years","Median total income","Dollars","81","units","0","v21247463","4.2.3.23","28820","","","","0"
"2014","Prince Edward Island","2016A000211","Lone-parent families","25 to 34 years","Median total income","Dollars","81","units","0","v21247463","4.2.3.23","28940","","","","0"
"2015","Prince Edward Island","2016A000211","Lone-parent families","25 to 34 years","Median total income","Dollars","81","units","0","v21247463","4.2.3.23","30720","","","","0"
"2016","Prince Edward Island","2016A000211","Lone-parent families","25 to 34 years","Median total income","Dollars","81","units","0","v21247463","4.2.3.23","31460","","","","0"
"2017","Prince Edward Island","2016A000211","Lone-parent families","25 to 34 years","Median total income","Dollars","81","units","0","v21247463","4.2.3.23","33180","","","","0"
"2018","Prince Edward Island","2016A000211","Lone-parent families","25 to 34 years","Median total income","Dollars","81","units","0","v21247463","4.2.3.23","34760","","","","0"
"2019","Prince Edward Island","2016A000211","Lone-parent families","25 to 34 years","Median total income","Dollars","81","units","0","v21247463","4.2.3.23","37390","","","","0"
"2020","Prince Edward Island","2016A000211","Lone-parent families","25 to 34 years","Median total income","Dollars","81","units","0","v21247463","4.2.3.23","43040","","","","0"
"2021","Prince Edward Island","2016A000211","Lone-parent families","25 to 34 years","Median total income","Dollars","81","units","0","v21247463","4.2.3.23","43380","","","","0"
"2022","Prince Edward Island","2016A000211","Lone-parent families","25 to 34 years","Median total income","Dollars","81","units","0","v21247463","4.2.3.23","43330","","","","0"
"2000","Prince Edward Island","2016A000211","Lone-parent families","35 to 44 years","Median total income","Dollars","81","units","0","v21254564","4.2.4.23","23700","","","","0"
"2001","Prince Edward Island","2016A000211","Lone-parent families","35 to 44 years","Median total income","Dollars","81","units","0","v21254564","4.2.4.23","25200","","","","0"
"2002","Prince Edward Island","2016A000211","Lone-parent families","35 to 44 years","Median total income","Dollars","81","units","0","v21254564","4.2.4.23","26400","","","","0"
"2003","Prince Edward Island","2016A000211","Lone-parent families","35 to 44 years","Median total income","Dollars","81","units","0","v21254564","4.2.4.23","26500","","","","0"
"2004","Prince Edward Island","2016A000211","Lone-parent families","35 to 44 years","Median total income","Dollars","81","units","0","v21254564","4.2.4.23","27300","","","","0"
"2005","Prince Edward Island","2016A000211","Lone-parent families","35 to 44 years","Median total income","Dollars","81","units","0","v21254564","4.2.4.23","27600","","","","0"
"2006","Prince Edward Island","2016A000211","Lone-parent families","35 to 44 years","Median total income","Dollars","81","units","0","v21254564","4.2.4.23","30400","","","","0"
"2007","Prince Edward Island","2016A000211","Lone-parent families","35 to 44 years","Median total income","Dollars","81","units","0","v21254564","4.2.4.23","31450","","","","0"
"2008","Prince Edward Island","2016A000211","Lone-parent families","35 to 44 years","Median total income","Dollars","81","units","0","v21254564","4.2.4.23","32020","","","","0"
"2009","Prince Edward Island","2016A000211","Lone-parent families","35 to 44 years","Median total income","Dollars","81","units","0","v21254564","4.2.4.23","33480","","","","0"
"2010","Prince Edward Island","2016A000211","Lone-parent families","35 to 44 years","Median total income","Dollars","81","units","0","v21254564","4.2.4.23","34320","","","","0"
"2011","Prince Edward Island","2016A000211","Lone-parent families","35 to 44 years","Median total income","Dollars","81","units","0","v21254564","4.2.4.23","35800","","","","0"
"2012","Prince Edward Island","2016A000211","Lone-parent families","35 to 44 years","Median total income","Dollars","81","units","0","v21254564","4.2.4.23","35960","","","","0"
"2013","Prince Edward Island","2016A000211","Lone-parent families","35 to 44 years","Median total income","Dollars","81","units","0","v21254564","4.2.4.23","36750","","","","0"
"2014","Prince Edward Island","2016A000211","Lone-parent families","35 to 44 years","Median total income","Dollars","81","units","0","v21254564","4.2.4.23","37120","","","","0"
"2015","Prince Edward Island","2016A000211","Lone-parent families","35 to 44 years","Median total income","Dollars","81","units","0","v21254564","4.2.4.23","38780","","","","0"
"2016","Prince Edward Island","2016A000211","Lone-parent families","35 to 44 years","Median total income","Dollars","81","units","0","v21254564","4.2.4.23","39750","","","","0"
"2017","Prince Edward Island","2016A000211","Lone-parent families","35 to 44 years","Median total income","Dollars","81","units","0","v21254564","4.2.4.23","41770","","","","0"
"2018","Prince Edward Island","2016A000211","Lone-parent families","35 to 44 years","Median total income","Dollars","81","units","0","v21254564","4.2.4.23","44090","","","","0"
"2019","Prince Edward Island","2016A000211","Lone-parent families","35 to 44 years","Median total income","Dollars","81","units","0","v21254564","4.2.4.23","46320","","","","0"
"2020","Prince Edward Island","2016A000211","Lone-parent families","35 to 44 years","Median total income","Dollars","81","units","0","v21254564","4.2.4.23","51120","","","","0"
"2021","Prince Edward Island","2016A000211","Lone-parent families","35 to 44 years","Median total income","Dollars","81","units","0","v21254564","4.2.4.23","52280","","","","0"
"2022","Prince Edward Island","2016A000211","Lone-parent families","35 to 44 years","Median total income","Dollars","81","units","0","v21254564","4.2.4.23","54400","","","","0"
"2000","Prince Edward Island","2016A000211","Lone-parent families","45 to 54 years","Median total income","Dollars","81","units","0","v21254580","4.2.5.23","33200","","","","0"
"2001","Prince Edward Island","2016A000211","Lone-parent families","45 to 54 years","Median total income","Dollars","81","units","0","v21254580","4.2.5.23","35400","","","","0"
"2002","Prince Edward Island","2016A000211","Lone-parent families","45 to 54 years","Median total income","Dollars","81","units","0","v21254580","4.2.5.23","36900","","","","0"
"2003","Prince Edward Island","2016A000211","Lone-parent families","45 to 54 years","Median total income","Dollars","81","units","0","v21254580","4.2.5.23","37500","","","","0"
"2004","Prince Edward Island","2016A000211","Lone-parent families","45 to 54 years","Median total income","Dollars","81","units","0","v21254580","4.2.5.23","39600","","","","0"
"2005","Prince Edward Island","2016A000211","Lone-parent families","45 to 54 years","Median total income","Dollars","81","units","0","v21254580","4.2.5.23","38600","","","","0"
"2006","Prince Edward Island","2016A000211","Lone-parent families","45 to 54 years","Median total income","Dollars","81","units","0","v21254580","4.2.5.23","39600","","","","0"
"2007","Prince Edward Island","2016A000211","Lone-parent families","45 to 54 years","Median total income","Dollars","81","units","0","v21254580","4.2.5.23","41150","","","","0"
"2008","Prince Edward Island","2016A000211","Lone-parent families","45 to 54 years","Median total income","Dollars","81","units","0","v21254580","4.2.5.23","42670","","","","0"
"2009","Prince Edward Island","2016A000211","Lone-parent families","45 to 54 years","Median total income","Dollars","81","units","0","v21254580","4.2.5.23","42450","","","","0"
"2010","Prince Edward Island","2016A000211","Lone-parent families","45 to 54 years","Median total income","Dollars","81","units","0","v21254580","4.2.5.23","41770","","","","0"
"2011","Prince Edward Island","2016A000211","Lone-parent families","45 to 54 years","Median total income","Dollars","81","units","0","v21254580","4.2.5.23","42920","","","","0"
"2012","Prince Edward Island","2016A000211","Lone-parent families","45 to 54 years","Median total income","Dollars","81","units","0","v21254580","4.2.5.23","45170","","","","0"
"2013","Prince Edward Island","2016A000211","Lone-parent families","45 to 54 years","Median total income","Dollars","81","units","0","v21254580","4.2.5.23","46230","","","","0"
"2014","Prince Edward Island","2016A000211","Lone-parent families","45 to 54 years","Median total income","Dollars","81","units","0","v21254580","4.2.5.23","48190","","","","0"
"2015","Prince Edward Island","2016A000211","Lone-parent families","45 to 54 years","Median total income","Dollars","81","units","0","v21254580","4.2.5.23","49940","","","","0"
"2016","Prince Edward Island","2016A000211","Lone-parent families","45 to 54 years","Median total income","Dollars","81","units","0","v21254580","4.2.5.23","51360","","","","0"
"2017","Prince Edward Island","2016A000211","Lone-parent families","45 to 54 years","Median total income","Dollars","81","units","0","v21254580","4.2.5.23","53710","","","","0"
"2018","Prince Edward Island","2016A000211","Lone-parent families","45 to 54 years","Median total income","Dollars","81","units","0","v21254580","4.2.5.23","56960","","","","0"
"2019","Prince Edward Island","2016A000211","Lone-parent families","45 to 54 years","Median total income","Dollars","81","units","0","v21254580","4.2.5.23","58600","","","","0"
"2020","Prince Edward Island","2016A000211","Lone-parent families","45 to 54 years","Median total income","Dollars","81","units","0","v21254580","4.2.5.23","66040","","","","0"
"2021","Prince Edward Island","2016A000211","Lone-parent families","45 to 54 years","Median total income","Dollars","81","units","0","v21254580","4.2.5.23","65190","","","","0"
"2022","Prince Edward Island","2016A000211","Lone-parent families","45 to 54 years","Median total income","Dollars","81","units","0","v21254580","4.2.5.23","67290","","","","0"
"2000","Prince Edward Island","2016A000211","Lone-parent families","55 to 64 years","Median total income","Dollars","81","units","0","v21254596","4.2.6.23","34500","","","","0"
"2001","Prince Edward Island","2016A000211","Lone-parent families","55 to 64 years","Median total income","Dollars","81","units","0","v21254596","4.2.6.23","34600","","","","0"
"2002","Prince Edward Island","2016A000211","Lone-parent families","55 to 64 years","Median total income","Dollars","81","units","0","v21254596","4.2.6.23","37800","","","","0"
"2003","Prince Edward Island","2016A000211","Lone-parent families","55 to 64 years","Median total income","Dollars","81","units","0","v21254596","4.2.6.23","41400","","","","0"
"2004","Prince Edward Island","2016A000211","Lone-parent families","55 to 64 years","Median total income","Dollars","81","units","0","v21254596","4.2.6.23","41900","","","","0"
"2005","Prince Edward Island","2016A000211","Lone-parent families","55 to 64 years","Median total income","Dollars","81","units","0","v21254596","4.2.6.23","44300","","","","0"
"2006","Prince Edward Island","2016A000211","Lone-parent families","55 to 64 years","Median total income","Dollars","81","units","0","v21254596","4.2.6.23","46100","","","","0"
"2007","Prince Edward Island","2016A000211","Lone-parent families","55 to 64 years","Median total income","Dollars","81","units","0","v21254596","4.2.6.23","46990","","","","0"
"2008","Prince Edward Island","2016A000211","Lone-parent families","55 to 64 years","Median total income","Dollars","81","units","0","v21254596","4.2.6.23","48570","","","","0"
"2009","Prince Edward Island","2016A000211","Lone-parent families","55 to 64 years","Median total income","Dollars","81","units","0","v21254596","4.2.6.23","50290","","","","0"
"2010","Prince Edward Island","2016A000211","Lone-parent families","55 to 64 years","Median total income","Dollars","81","units","0","v21254596","4.2.6.23","50740","","","","0"
"2011","Prince Edward Island","2016A000211","Lone-parent families","55 to 64 years","Median total income","Dollars","81","units","0","v21254596","4.2.6.23","51250","","","","0"
"2012","Prince Edward Island","2016A000211","Lone-parent families","55 to 64 years","Median total income","Dollars","81","units","0","v21254596","4.2.6.23","53470","","","","0"
"2013","Prince Edward Island","2016A000211","Lone-parent families","55 to 64 years","Median total income","Dollars","81","units","0","v21254596","4.2.6.23","57670","","","","0"
"2014","Prince Edward Island","2016A000211","Lone-parent families","55 to 64 years","Median total income","Dollars","81","units","0","v21254596","4.2.6.23","59550","","","","0"
"2015","Prince Edward Island","2016A000211","Lone-parent families","55 to 64 years","Median total income","Dollars","81","units","0","v21254596","4.2.6.23","60780","","","","0"
"2016","Prince Edward Island","2016A000211","Lone-parent families","55 to 64 years","Median total income","Dollars","81","units","0","v21254596","4.2.6.23","63490","","","","0"
"2017","Prince Edward Island","2016A000211","Lone-parent families","55 to 64 years","Median total income","Dollars","81","units","0","v21254596","4.2.6.23","63780","","","","0"
"2018","Prince Edward Island","2016A000211","Lone-parent families","55 to 64 years","Median total income","Dollars","81","units","0","v21254596","4.2.6.23","63760","","","","0"
"2019","Prince Edward Island","2016A000211","Lone-parent families","55 to 64 years","Median total income","Dollars","81","units","0","v21254596","4.2.6.23","67580","","","","0"
"2020","Prince Edward Island","2016A000211","Lone-parent families","55 to 64 years","Median total income","Dollars","81","units","0","v21254596","4.2.6.23","73090","","","","0"
"2021","Prince Edward Island","2016A000211","Lone-parent families","55 to 64 years","Median total income","Dollars","81","units","0","v21254596","4.2.6.23","79460","","","","0"
"2022","Prince Edward Island","2016A000211","Lone-parent families","55 to 64 years","Median total income","Dollars","81","units","0","v21254596","4.2.6.23","79260","","","","0"
"2000","Prince Edward Island","2016A000211","Lone-parent families","65 years and over","Median total income","Dollars","81","units","0","v21254612","4.2.7.23","34800","","","","0"
"2001","Prince Edward Island","2016A000211","Lone-parent families","65 years and over","Median total income","Dollars","81","units","0","v21254612","4.2.7.23","38000","","","","0"
"2002","Prince Edward Island","2016A000211","Lone-parent families","65 years and over","Median total income","Dollars","81","units","0","v21254612","4.2.7.23","38000","","","","0"
"2003","Prince Edward Island","2016A000211","Lone-parent families","65 years and over","Median total income","Dollars","81","units","0","v21254612","4.2.7.23","40300","","","","0"
"2004","Prince Edward Island","2016A000211","Lone-parent families","65 years and over","Median total income","Dollars","81","units","0","v21254612","4.2.7.23","40800","","","","0"
"2005","Prince Edward Island","2016A000211","Lone-parent families","65 years and over","Median total income","Dollars","81","units","0","v21254612","4.2.7.23","41800","","","","0"
"2006","Prince Edward Island","2016A000211","Lone-parent families","65 years and over","Median total income","Dollars","81","units","0","v21254612","4.2.7.23","43100","","","","0"
"2007","Prince Edward Island","2016A000211","Lone-parent families","65 years and over","Median total income","Dollars","81","units","0","v21254612","4.2.7.23","45270","","","","0"
"2008","Prince Edward Island","2016A000211","Lone-parent families","65 years and over","Median total income","Dollars","81","units","0","v21254612","4.2.7.23","47100","","","","0"
"2009","Prince Edward Island","2016A000211","Lone-parent families","65 years and over","Median total income","Dollars","81","units","0","v21254612","4.2.7.23","47320","","","","0"
"2010","Prince Edward Island","2016A000211","Lone-parent families","65 years and over","Median total income","Dollars","81","units","0","v21254612","4.2.7.23","46700","","","","0"
"2011","Prince Edward Island","2016A000211","Lone-parent families","65 years and over","Median total income","Dollars","81","units","0","v21254612","4.2.7.23","50380","","","","0"
"2012","Prince Edward Island","2016A000211","Lone-parent families","65 years and over","Median total income","Dollars","81","units","0","v21254612","4.2.7.23","50000","","","","0"
"2013","Prince Edward Island","2016A000211","Lone-parent families","65 years and over","Median total income","Dollars","81","units","0","v21254612","4.2.7.23","52060","","","","0"
"2014","Prince Edward Island","2016A000211","Lone-parent families","65 years and over","Median total income","Dollars","81","units","0","v21254612","4.2.7.23","51850","","","","0"
"2015","Prince Edward Island","2016A000211","Lone-parent families","65 years and over","Median total income","Dollars","81","units","0","v21254612","4.2.7.23","54670","","","","0"
"2016","Prince Edward Island","2016A000211","Lone-parent families","65 years and over","Median total income","Dollars","81","units","0","v21254612","4.2.7.23","56390","","","","0"
"2017","Prince Edward Island","2016A000211","Lone-parent families","65 years and over","Median total income","Dollars","81","units","0","v21254612","4.2.7.23","57900","","","","0"
"2018","Prince Edward Island","2016A000211","Lone-parent families","65 years and over","Median total income","Dollars","81","units","0","v21254612","4.2.7.23","60770","","","","0"
"2019","Prince Edward Island","2016A000211","Lone-parent families","65 years and over","Median total income","Dollars","81","units","0","v21254612","4.2.7.23","63420","","","","0"
"2020","Prince Edward Island","2016A000211","Lone-parent families","65 years and over","Median total income","Dollars","81","units","0","v21254612","4.2.7.23","68230","","","","0"
"2021","Prince Edward Island","2016A000211","Lone-parent families","65 years and over","Median total income","Dollars","81","units","0","v21254612","4.2.7.23","68790","","","","0"
"2022","Prince Edward Island","2016A000211","Lone-parent families","65 years and over","Median total income","Dollars","81","units","0","v21254612","4.2.7.23","70360","","","","0"
"2000","Prince Edward Island","2016A000211","Persons not in census families","Total all ages","Median total income","Dollars","81","units","0","v21247484","4.3.1.23","15700","","","","0"
"2001","Prince Edward Island","2016A000211","Persons not in census families","Total all ages","Median total income","Dollars","81","units","0","v21247484","4.3.1.23","16900","","","","0"
"2002","Prince Edward Island","2016A000211","Persons not in census families","Total all ages","Median total income","Dollars","81","units","0","v21247484","4.3.1.23","17300","","","","0"
"2003","Prince Edward Island","2016A000211","Persons not in census families","Total all ages","Median total income","Dollars","81","units","0","v21247484","4.3.1.23","17900","","","","0"
"2004","Prince Edward Island","2016A000211","Persons not in census families","Total all ages","Median total income","Dollars","81","units","0","v21247484","4.3.1.23","18200","","","","0"
"2005","Prince Edward Island","2016A000211","Persons not in census families","Total all ages","Median total income","Dollars","81","units","0","v21247484","4.3.1.23","18900","","","","0"
"2006","Prince Edward Island","2016A000211","Persons not in census families","Total all ages","Median total income","Dollars","81","units","0","v21247484","4.3.1.23","20100","","","","0"
"2007","Prince Edward Island","2016A000211","Persons not in census families","Total all ages","Median total income","Dollars","81","units","0","v21247484","4.3.1.23","21180","","","","0"
"2008","Prince Edward Island","2016A000211","Persons not in census families","Total all ages","Median total income","Dollars","81","units","0","v21247484","4.3.1.23","22110","","","","0"
"2009","Prince Edward Island","2016A000211","Persons not in census families","Total all ages","Median total income","Dollars","81","units","0","v21247484","4.3.1.23","22880","","","","0"
"2010","Prince Edward Island","2016A000211","Persons not in census families","Total all ages","Median total income","Dollars","81","units","0","v21247484","4.3.1.23","23210","","","","0"
"2011","Prince Edward Island","2016A000211","Persons not in census families","Total all ages","Median total income","Dollars","81","units","0","v21247484","4.3.1.23","23860","","","","0"
"2012","Prince Edward Island","2016A000211","Persons not in census families","Total all ages","Median total income","Dollars","81","units","0","v21247484","4.3.1.23","24800","","","","0"
"2013","Prince Edward Island","2016A000211","Persons not in census families","Total all ages","Median total income","Dollars","81","units","0","v21247484","4.3.1.23","25240","","","","0"
"2014","Prince Edward Island","2016A000211","Persons not in census families","Total all ages","Median total income","Dollars","81","units","0","v21247484","4.3.1.23","25700","","","","0"
"2015","Prince Edward Island","2016A000211","Persons not in census families","Total all ages","Median total income","Dollars","81","units","0","v21247484","4.3.1.23","26040","","","","0"
"2016","Prince Edward Island","2016A000211","Persons not in census families","Total all ages","Median total income","Dollars","81","units","0","v21247484","4.3.1.23","26750","","","","0"
"2017","Prince Edward Island","2016A000211","Persons not in census families","Total all ages","Median total income","Dollars","81","units","0","v21247484","4.3.1.23","27560","","","","0"
"2018","Prince Edward Island","2016A000211","Persons not in census families","Total all ages","Median total income","Dollars","81","units","0","v21247484","4.3.1.23","28180","","","","0"
"2019","Prince Edward Island","2016A000211","Persons not in census families","Total all ages","Median total income","Dollars","81","units","0","v21247484","4.3.1.23","29040","","","","0"
"2020","Prince Edward Island","2016A000211","Persons not in census families","Total all ages","Median total income","Dollars","81","units","0","v21247484","4.3.1.23","32350","","","","0"
"2021","Prince Edward Island","2016A000211","Persons not in census families","Total all ages","Median total income","Dollars","81","units","0","v21247484","4.3.1.23","32830","","","","0"
"2022","Prince Edward Island","2016A000211","Persons not in census families","Total all ages","Median total income","Dollars","81","units","0","v21247484","4.3.1.23","33590","","","","0"
"2000","Prince Edward Island","2016A000211","Persons not in census families","0 to 24 years","Median total income","Dollars","81","units","0","v21247500","4.3.2.23","8900","","","","0"
"2001","Prince Edward Island","2016A000211","Persons not in census families","0 to 24 years","Median total income","Dollars","81","units","0","v21247500","4.3.2.23","9300","","","","0"
"2002","Prince Edward Island","2016A000211","Persons not in census families","0 to 24 years","Median total income","Dollars","81","units","0","v21247500","4.3.2.23","9200","","","","0"
"2003","Prince Edward Island","2016A000211","Persons not in census families","0 to 24 years","Median total income","Dollars","81","units","0","v21247500","4.3.2.23","9800","","","","0"
"2004","Prince Edward Island","2016A000211","Persons not in census families","0 to 24 years","Median total income","Dollars","81","units","0","v21247500","4.3.2.23","10200","","","","0"
"2005","Prince Edward Island","2016A000211","Persons not in census families","0 to 24 years","Median total income","Dollars","81","units","0","v21247500","4.3.2.23","10100","","","","0"
"2006","Prince Edward Island","2016A000211","Persons not in census families","0 to 24 years","Median total income","Dollars","81","units","0","v21247500","4.3.2.23","10600","","","","0"
"2007","Prince Edward Island","2016A000211","Persons not in census families","0 to 24 years","Median total income","Dollars","81","units","0","v21247500","4.3.2.23","11180","","","","0"
"2008","Prince Edward Island","2016A000211","Persons not in census families","0 to 24 years","Median total income","Dollars","81","units","0","v21247500","4.3.2.23","10820","","","","0"
"2009","Prince Edward Island","2016A000211","Persons not in census families","0 to 24 years","Median total income","Dollars","81","units","0","v21247500","4.3.2.23","11150","","","","0"
"2010","Prince Edward Island","2016A000211","Persons not in census families","0 to 24 years","Median total income","Dollars","81","units","0","v21247500","4.3.2.23","11820","","","","0"
"2011","Prince Edward Island","2016A000211","Persons not in census families","0 to 24 years","Median total income","Dollars","81","units","0","v21247500","4.3.2.23","11950","","","","0"
"2012","Prince Edward Island","2016A000211","Persons not in census families","0 to 24 years","Median total income","Dollars","81","units","0","v21247500","4.3.2.23","12540","","","","0"
"2013","Prince Edward Island","2016A000211","Persons not in census families","0 to 24 years","Median total income","Dollars","81","units","0","v21247500","4.3.2.23","12650","","","","0"
"2014","Prince Edward Island","2016A000211","Persons not in census families","0 to 24 years","Median total income","Dollars","81","units","0","v21247500","4.3.2.23","12900","","","","0"
